family,n_fixtures,logloss_model,logloss_close,headline,mean_p_model,mean_p_close,label,rho
1X2,595,1.0603295288645496,1.053440199754385,home,0.41752115850533866,0.42152996773744844,m01_poisson_grw_tight,0.0
OU2.5,379,0.687558214388153,0.6898782309589594,over_25,0.5131015967956045,0.5298282196327917,m01_poisson_grw_tight,0.0
BTTS,178,0.6907911035512397,0.6833706365781275,btts_yes,0.537642407859452,0.5576697512597203,m01_poisson_grw_tight,0.0
1X2,595,1.060965541087725,1.053440199754385,home,0.4175565035157308,0.42152996773744844,m02_poisson_grw_loose_var@0.25,0.25
OU2.5,379,0.6877606812192375,0.6898782309589594,over_25,0.5132110296835558,0.5298282196327917,m02_poisson_grw_loose_var@0.25,0.25
BTTS,178,0.6905087511226851,0.6833706365781275,btts_yes,0.5362397438329439,0.5576697512597203,m02_poisson_grw_loose_var@0.25,0.25
1X2,595,1.061242430828694,1.053440199754385,home,0.4177357541718048,0.42152996773744844,m02_poisson_grw_loose_var@0.50,0.5
OU2.5,379,0.68785729904006,0.6898782309589594,over_25,0.5135542412531457,0.5298282196327917,m02_poisson_grw_loose_var@0.50,0.5
BTTS,178,0.6905354927635925,0.6833706365781275,btts_yes,0.5352224331608231,0.5576697512597203,m02_poisson_grw_loose_var@0.50,0.5
1X2,595,1.0619771850517308,1.053440199754385,home,0.417657803427633,0.42152996773744844,m02_poisson_grw_loose_var@0.75,0.75
OU2.5,379,0.688119850350381,0.6898782309589594,over_25,0.5136567137054939,0.5298282196327917,m02_poisson_grw_loose_var@0.75,0.75
BTTS,178,0.6901198000096501,0.6833706365781275,btts_yes,0.5337473188819546,0.5576697512597203,m02_poisson_grw_loose_var@0.75,0.75
1X2,595,1.0627853427860636,1.053440199754385,home,0.41776385357648615,0.42152996773744844,m02_poisson_grw_loose_var,1.0
OU2.5,379,0.6883598272532367,0.6898782309589594,over_25,0.5138787184921378,0.5298282196327917,m02_poisson_grw_loose_var,1.0
BTTS,178,0.6900349425073543,0.6833706365781275,btts_yes,0.532646892902837,0.5576697512597203,m02_poisson_grw_loose_var,1.0
1X2,595,1.06064086430894,1.053440199754385,home,0.41743936894125955,0.42152996773744844,m03_poisson_grw_loose_tdist@0.25,0.25
OU2.5,379,0.6877626276267919,0.6898782309589594,over_25,0.5128511027136095,0.5298282196327917,m03_poisson_grw_loose_tdist@0.25,0.25
BTTS,178,0.6910105370862769,0.6833706365781275,btts_yes,0.5371817756036008,0.5576697512597203,m03_poisson_grw_loose_tdist@0.25,0.25
1X2,595,1.0605715326754408,1.053440199754385,home,0.417528488862036,0.42152996773744844,m03_poisson_grw_loose_tdist@0.50,0.5
OU2.5,379,0.6876453609675108,0.6898782309589594,over_25,0.5128978516630618,0.5298282196327917,m03_poisson_grw_loose_tdist@0.50,0.5
BTTS,178,0.6906017735551434,0.6833706365781275,btts_yes,0.5369120528147474,0.5576697512597203,m03_poisson_grw_loose_tdist@0.50,0.5
1X2,595,1.0608732339319629,1.053440199754385,home,0.41744989602252436,0.42152996773744844,m03_poisson_grw_loose_tdist@0.75,0.75
OU2.5,379,0.6878930884178025,0.6898782309589594,over_25,0.5124988037084451,0.5298282196327917,m03_poisson_grw_loose_tdist@0.75,0.75
BTTS,178,0.6910628822859032,0.6833706365781275,btts_yes,0.5364641675215708,0.5576697512597203,m03_poisson_grw_loose_tdist@0.75,0.75
1X2,595,1.0612864904454768,1.053440199754385,home,0.4174777134104354,0.42152996773744844,m03_poisson_grw_loose_tdist,1.0
OU2.5,379,0.687865763034522,0.6898782309589594,over_25,0.5124234881327214,0.5298282196327917,m03_poisson_grw_loose_tdist,1.0
BTTS,178,0.6907897182426738,0.6833706365781275,btts_yes,0.5360862142750037,0.5576697512597203,m03_poisson_grw_loose_tdist,1.0
1X2,595,1.060592725798369,1.053440199754385,home,0.41701749936525834,0.42152996773744844,m04_poisson_grw_loose_fixed_spread@0.25,0.25
OU2.5,379,0.6874809296760322,0.6898782309589594,over_25,0.5112192748250901,0.5298282196327917,m04_poisson_grw_loose_fixed_spread@0.25,0.25
BTTS,178,0.6912165363939742,0.6833706365781275,btts_yes,0.5350775966754351,0.5576697512597203,m04_poisson_grw_loose_fixed_spread@0.25,0.25
1X2,595,1.061091696337721,1.053440199754385,home,0.4166417464510629,0.42152996773744844,m04_poisson_grw_loose_fixed_spread@0.50,0.5
OU2.5,379,0.6879909768921059,0.6898782309589594,over_25,0.5097089837229015,0.5298282196327917,m04_poisson_grw_loose_fixed_spread@0.50,0.5
BTTS,178,0.6919354523958112,0.6833706365781275,btts_yes,0.5327038787077312,0.5576697512597203,m04_poisson_grw_loose_fixed_spread@0.50,0.5
1X2,595,1.062132925735297,1.053440199754385,home,0.416199374055253,0.42152996773744844,m04_poisson_grw_loose_fixed_spread@0.75,0.75
OU2.5,379,0.688334626831773,0.6898782309589594,over_25,0.5078503914642899,0.5298282196327917,m04_poisson_grw_loose_fixed_spread@0.75,0.75
BTTS,178,0.6926157776631512,0.6833706365781275,btts_yes,0.5300994233874825,0.5576697512597203,m04_poisson_grw_loose_fixed_spread@0.75,0.75
1X2,595,1.0638885019657303,1.053440199754385,home,0.41574324559076287,0.42152996773744844,m04_poisson_grw_loose_fixed_spread,1.0
OU2.5,379,0.6888893973320197,0.6898782309589594,over_25,0.5061623036745738,0.5298282196327917,m04_poisson_grw_loose_fixed_spread,1.0
BTTS,178,0.6934246771026965,0.6833706365781275,btts_yes,0.5275480707640628,0.5576697512597203,m04_poisson_grw_loose_fixed_spread,1.0
