model,fold,n_target,n_parameters,tape_instructions,gradient_ms,allocated_bytes,compiled_fresh_error,compiled_forward_error,worst_perturbed_error,log_density
m01_poisson_grw_tight,1,0,98,735,0.055383,35440,0.0,1.0266388891608384e-15,0.0,-2378.629240052311
m01_poisson_grw_tight,20,19,1058,10345,0.380977,52256,0.0,5.892649848067186e-16,0.0,-4807.726108882422
m01_poisson_grw_tight,40,19,974,9537,0.339319,52240,0.0,4.690728173656944e-16,0.0,-4856.470336895975
m02_poisson_grw_loose_var,1,0,98,735,0.05418,35440,0.0,7.764620242406832e-16,0.0,-2495.5895036170728
m02_poisson_grw_loose_var,20,19,1058,10345,0.361782,52256,0.0,4.328295137470711e-16,0.0,-5323.083007615002
m02_poisson_grw_loose_var,40,19,974,9537,0.33936,52240,0.0,3.4954356104034686e-16,0.0,-6368.191082039766
m03_poisson_grw_loose_tdist,1,0,98,905,0.063548,35440,0.0,2.926751870545776e-16,0.0,-2561.829827003055
m03_poisson_grw_loose_tdist,20,19,1058,10531,0.381959,52256,0.0,2.2848836922760927e-16,0.0,-4907.617187572954
m03_poisson_grw_loose_tdist,40,19,974,9707,0.354698,52240,0.0,6.948392767345642e-16,0.0,-5012.007789041589
m04_poisson_grw_loose_fixed_spread,1,0,98,741,0.053339,35440,0.0,5.740323836644229e-16,0.0,-2822.6763341648675
m04_poisson_grw_loose_fixed_spread,20,19,1058,10351,0.371099,52256,0.0,3.9989832458192157e-16,0.0,-5321.969067526671
m04_poisson_grw_loose_fixed_spread,40,19,974,9543,0.367071,52240,0.0,1.3038152131980907e-16,0.0,-5806.486307237498
