fold,n_history,block_id,last_history_date,first_oos_date,rating_age_days,block_index
1,720,15064085812519087169,2024-05-04,2024-08-03,91,1
2,720,15064085812519087169,2024-05-04,2024-08-17,105,1
3,720,15064085812519087169,2024-05-04,2024-08-31,119,1
4,720,15064085812519087169,2024-05-04,2024-09-14,133,1
5,720,15064085812519087169,2024-05-04,2024-09-28,147,1
6,720,15064085812519087169,2024-05-04,2024-10-12,161,1
7,720,15064085812519087169,2024-05-04,2024-10-26,175,1
8,720,15064085812519087169,2024-05-04,2024-11-09,189,1
9,720,15064085812519087169,2024-05-04,2024-11-23,203,1
10,720,15064085812519087169,2024-05-04,2024-12-03,213,1
11,720,15064085812519087169,2024-05-04,2024-12-17,227,1
12,720,15064085812519087169,2024-05-04,2025-01-04,245,1
13,720,15064085812519087169,2024-05-04,2025-01-14,255,1
14,720,15064085812519087169,2024-05-04,2025-01-28,269,1
15,720,15064085812519087169,2024-05-04,2025-02-11,283,1
16,720,15064085812519087169,2024-05-04,2025-02-25,297,1
17,720,15064085812519087169,2024-05-04,2025-03-11,311,1
18,720,15064085812519087169,2024-05-04,2025-03-29,329,1
19,720,15064085812519087169,2024-05-04,2025-04-12,343,1
20,720,15064085812519087169,2024-05-04,2025-04-26,357,1
21,720,10387144974707489503,2025-05-03,2025-08-02,91,2
22,720,10387144974707489503,2025-05-03,2025-08-16,105,2
23,720,10387144974707489503,2025-05-03,2025-08-30,119,2
24,720,10387144974707489503,2025-05-03,2025-09-13,133,2
25,720,10387144974707489503,2025-05-03,2025-09-27,147,2
26,720,10387144974707489503,2025-05-03,2025-10-07,157,2
27,720,10387144974707489503,2025-05-03,2025-10-24,174,2
28,720,10387144974707489503,2025-05-03,2025-11-08,189,2
29,720,10387144974707489503,2025-05-03,2025-11-22,203,2
30,720,10387144974707489503,2025-05-03,2025-12-06,217,2
31,720,10387144974707489503,2025-05-03,2025-12-20,231,2
32,720,10387144974707489503,2025-05-03,2026-01-03,245,2
33,720,10387144974707489503,2025-05-03,2026-01-17,259,2
34,720,10387144974707489503,2025-05-03,2026-01-27,269,2
35,720,10387144974707489503,2025-05-03,2026-02-10,283,2
36,720,10387144974707489503,2025-05-03,2026-02-24,297,2
37,720,10387144974707489503,2025-05-03,2026-03-10,311,2
38,720,10387144974707489503,2025-05-03,2026-03-24,325,2
39,720,10387144974707489503,2025-05-03,2026-04-07,339,2
40,720,10387144974707489503,2025-05-03,2026-04-25,357,2
