lambda,fold,sd_rating,sd_rating_exposed,sd_delta_lineup
1.0,1,1.638794229459163,1.775754126909072,6.515124790789602
1.0,2,1.638794229459163,1.775754126909072,6.228382430094287
1.0,3,1.638794229459163,1.775754126909072,6.992650192260549
1.0,4,1.638794229459163,1.775754126909072,6.994958462799743
1.0,5,1.638794229459163,1.775754126909072,6.871972253074317
1.0,6,1.638794229459163,1.775754126909072,6.152728082520337
1.0,7,1.638794229459163,1.775754126909072,5.032964333615741
1.0,8,1.638794229459163,1.775754126909072,6.466680246841601
1.0,9,1.638794229459163,1.775754126909072,15.709103195636605
1.0,10,1.638794229459163,1.775754126909072,6.456951290671819
1.0,11,1.638794229459163,1.775754126909072,7.2070022448038715
1.0,12,1.638794229459163,1.775754126909072,6.364309109342773
1.0,13,1.638794229459163,1.775754126909072,4.273410193817402
1.0,14,1.638794229459163,1.775754126909072,4.490814142443968
1.0,15,1.638794229459163,1.775754126909072,3.8369376387147507
1.0,16,1.638794229459163,1.775754126909072,3.362408916813003
1.0,17,1.638794229459163,1.775754126909072,4.603430339673887
1.0,18,1.638794229459163,1.775754126909072,5.084678111302968
1.0,19,1.638794229459163,1.775754126909072,4.815998356818166
1.0,20,1.638794229459163,1.775754126909072,5.0969391269836875
1.0,21,1.8684958065716981,1.9888547282627054,5.904733981290813
1.0,22,1.8684958065716981,1.9888547282627054,6.513894572464142
1.0,23,1.8684958065716981,1.9888547282627054,4.399865633118096
1.0,24,1.8684958065716981,1.9888547282627054,5.981568610510538
1.0,25,1.8684958065716981,1.9888547282627054,6.985911265548052
1.0,26,1.8684958065716981,1.9888547282627054,5.2112372646535015
1.0,27,1.8684958065716981,1.9888547282627054,6.376756342994056
1.0,28,1.8684958065716981,1.9888547282627054,4.704043520378343
1.0,29,1.8684958065716981,1.9888547282627054,4.3773431833427905
1.0,30,1.8684958065716981,1.9888547282627054,5.863060893270683
1.0,31,1.8684958065716981,1.9888547282627054,6.131165750233923
1.0,32,1.8684958065716981,1.9888547282627054,4.890307270172478
1.0,33,1.8684958065716981,1.9888547282627054,5.096333730604966
1.0,34,1.8684958065716981,1.9888547282627054,5.2253323779396155
1.0,35,1.8684958065716981,1.9888547282627054,5.54163886270952
1.0,36,1.8684958065716981,1.9888547282627054,6.352431259479905
1.0,37,1.8684958065716981,1.9888547282627054,4.068146587397625
1.0,38,1.8684958065716981,1.9888547282627054,5.4333986044641795
1.0,39,1.8684958065716981,1.9888547282627054,4.106331664043507
1.0,40,1.8684958065716981,1.9888547282627054,4.392652361733118
10.0,1,0.6610312328035822,0.7341732155485984,2.27630165686838
10.0,2,0.6610312328035822,0.7341732155485984,2.0801656328491367
10.0,3,0.6610312328035822,0.7341732155485984,2.1720187310789982
10.0,4,0.6610312328035822,0.7341732155485984,2.4910502948174527
10.0,5,0.6610312328035822,0.7341732155485984,1.9706631804051558
10.0,6,0.6610312328035822,0.7341732155485984,2.373384499783435
10.0,7,0.6610312328035822,0.7341732155485984,1.742558444931469
10.0,8,0.6610312328035822,0.7341732155485984,2.495422791139207
10.0,9,0.6610312328035822,0.7341732155485984,4.559270125829362
10.0,10,0.6610312328035822,0.7341732155485984,2.424288473949253
10.0,11,0.6610312328035822,0.7341732155485984,2.675830144174907
10.0,12,0.6610312328035822,0.7341732155485984,3.0524849627953974
10.0,13,0.6610312328035822,0.7341732155485984,2.432948130931907
10.0,14,0.6610312328035822,0.7341732155485984,2.379103260258557
10.0,15,0.6610312328035822,0.7341732155485984,1.879396686988436
10.0,16,0.6610312328035822,0.7341732155485984,1.7102794335273372
10.0,17,0.6610312328035822,0.7341732155485984,2.222106260728335
10.0,18,0.6610312328035822,0.7341732155485984,2.0956330090616175
10.0,19,0.6610312328035822,0.7341732155485984,1.8778687463232944
10.0,20,0.6610312328035822,0.7341732155485984,2.125082312425975
10.0,21,0.7203450058158788,0.8004414471831716,3.446502029035582
10.0,22,0.7203450058158788,0.8004414471831716,3.5491334428901022
10.0,23,0.7203450058158788,0.8004414471831716,1.9271804232407115
10.0,24,0.7203450058158788,0.8004414471831716,3.3092715382370894
10.0,25,0.7203450058158788,0.8004414471831716,3.440331791470936
10.0,26,0.7203450058158788,0.8004414471831716,2.6060492615250737
10.0,27,0.7203450058158788,0.8004414471831716,3.451219565966228
10.0,28,0.7203450058158788,0.8004414471831716,2.874477115959844
10.0,29,0.7203450058158788,0.8004414471831716,2.9589066582905805
10.0,30,0.7203450058158788,0.8004414471831716,2.5474843802330502
10.0,31,0.7203450058158788,0.8004414471831716,3.5618748285240467
10.0,32,0.7203450058158788,0.8004414471831716,2.490731136217196
10.0,33,0.7203450058158788,0.8004414471831716,2.6298321856898785
10.0,34,0.7203450058158788,0.8004414471831716,2.7634789570210554
10.0,35,0.7203450058158788,0.8004414471831716,2.863499786494232
10.0,36,0.7203450058158788,0.8004414471831716,2.408812246129216
10.0,37,0.7203450058158788,0.8004414471831716,2.5597319388279063
10.0,38,0.7203450058158788,0.8004414471831716,2.4022904428976988
10.0,39,0.7203450058158788,0.8004414471831716,2.0339087339962085
10.0,40,0.7203450058158788,0.8004414471831716,2.6531040177483822
50.0,1,0.2901217524146542,0.3278184944030111,0.9350010037639354
50.0,2,0.2901217524146542,0.3278184944030111,1.0911410400607997
50.0,3,0.2901217524146542,0.3278184944030111,0.8801635001260094
50.0,4,0.2901217524146542,0.3278184944030111,1.2078766068441242
50.0,5,0.2901217524146542,0.3278184944030111,0.6659500861877696
50.0,6,0.2901217524146542,0.3278184944030111,0.9412209409740427
50.0,7,0.2901217524146542,0.3278184944030111,0.9072707773754308
50.0,8,0.2901217524146542,0.3278184944030111,1.1844334683638553
50.0,9,0.2901217524146542,0.3278184944030111,0.29260519635329185
50.0,10,0.2901217524146542,0.3278184944030111,1.1276623437545181
50.0,11,0.2901217524146542,0.3278184944030111,1.1342908350430954
50.0,12,0.2901217524146542,0.3278184944030111,1.5843306056263484
50.0,13,0.2901217524146542,0.3278184944030111,1.2014988858046542
50.0,14,0.2901217524146542,0.3278184944030111,1.2666445117760676
50.0,15,0.2901217524146542,0.3278184944030111,1.066814729867306
50.0,16,0.2901217524146542,0.3278184944030111,0.9121435904000967
50.0,17,0.2901217524146542,0.3278184944030111,1.1823459010364512
50.0,18,0.2901217524146542,0.3278184944030111,1.125384415914487
50.0,19,0.2901217524146542,0.3278184944030111,0.928706092861845
50.0,20,0.2901217524146542,0.3278184944030111,0.8187958548147941
50.0,21,0.31396293607158093,0.3572330103940294,1.9459658582695214
50.0,22,0.31396293607158093,0.3572330103940294,2.052169517243217
50.0,23,0.31396293607158093,0.3572330103940294,1.3369984093759197
50.0,24,0.31396293607158093,0.3572330103940294,1.9073063938494548
50.0,25,0.31396293607158093,0.3572330103940294,1.8228279633024875
50.0,26,0.31396293607158093,0.3572330103940294,1.5120904103185688
50.0,27,0.31396293607158093,0.3572330103940294,2.07486589996571
50.0,28,0.31396293607158093,0.3572330103940294,1.934837323634124
50.0,29,0.31396293607158093,0.3572330103940294,1.9296000935698512
50.0,30,0.31396293607158093,0.3572330103940294,1.4007538815753666
50.0,31,0.31396293607158093,0.3572330103940294,1.9708677263006962
50.0,32,0.31396293607158093,0.3572330103940294,1.1703885212921963
50.0,33,0.31396293607158093,0.3572330103940294,1.5891362671482525
50.0,34,0.31396293607158093,0.3572330103940294,1.6130045944639733
50.0,35,0.31396293607158093,0.3572330103940294,1.8689253951817022
50.0,36,0.31396293607158093,0.3572330103940294,1.2646528774969452
50.0,37,0.31396293607158093,0.3572330103940294,1.6160348794104444
50.0,38,0.31396293607158093,0.3572330103940294,1.283806162302099
50.0,39,0.31396293607158093,0.3572330103940294,1.3797268183883566
50.0,40,0.31396293607158093,0.3572330103940294,1.613753332172676
100.0,1,0.2033063753100178,0.23161375876648418,0.7504396224643312
100.0,2,0.2033063753100178,0.23161375876648418,0.9579053925150893
100.0,3,0.2033063753100178,0.23161375876648418,0.6483643347568875
100.0,4,0.2033063753100178,0.23161375876648418,0.9772561284818329
100.0,5,0.2033063753100178,0.23161375876648418,0.5781097686646494
100.0,6,0.2033063753100178,0.23161375876648418,0.6999098196458805
100.0,7,0.2033063753100178,0.23161375876648418,0.8133801290584733
100.0,8,0.2033063753100178,0.23161375876648418,0.9902045818099512
100.0,9,0.2033063753100178,0.23161375876648418,0.445303489524012
100.0,10,0.2033063753100178,0.23161375876648418,0.9171024190835285
100.0,11,0.2033063753100178,0.23161375876648418,0.8756025867820811
100.0,12,0.2033063753100178,0.23161375876648418,1.1837030546838858
100.0,13,0.2033063753100178,0.23161375876648418,0.8834211375144021
100.0,14,0.2033063753100178,0.23161375876648418,0.9428176992281725
100.0,15,0.2033063753100178,0.23161375876648418,0.848552122948511
100.0,16,0.2033063753100178,0.23161375876648418,0.6827967164134569
100.0,17,0.2033063753100178,0.23161375876648418,0.916644016374196
100.0,18,0.2033063753100178,0.23161375876648418,0.9329022324296594
100.0,19,0.2033063753100178,0.23161375876648418,0.7502315931640586
100.0,20,0.2033063753100178,0.23161375876648418,0.5542086315615574
100.0,21,0.21568121246571367,0.24727712562665885,1.482449186147736
100.0,22,0.21568121246571367,0.24727712562665885,1.6089614736797226
100.0,23,0.21568121246571367,0.24727712562665885,1.1995511198557132
100.0,24,0.21568121246571367,0.24727712562665885,1.4826732583936415
100.0,25,0.21568121246571367,0.24727712562665885,1.397356334422117
100.0,26,0.21568121246571367,0.24727712562665885,1.1996938337672394
100.0,27,0.21568121246571367,0.24727712562665885,1.628928322309487
100.0,28,0.21568121246571367,0.24727712562665885,1.5585667237347018
