fold,n_train,n_teams,r2_delta_lineup,r2_delta_wealth
1,720,23,0.88597707797512,0.6631402868363355
2,740,25,0.8843237613211915,0.6489545131224104
3,759,25,0.8833618104410541,0.6269754676868197
4,769,25,0.8828478835899458,0.6242044667446944
5,789,25,0.8825275187226838,0.6139706504502642
6,809,25,0.8821158448377667,0.599798384606898
7,820,25,0.8812600607963267,0.5952626861023163
8,835,25,0.8809859684755352,0.5838630317201335
9,855,25,0.8805791286843037,0.5765115452774833
10,857,25,0.8806273154317831,0.576394226780493
11,879,25,0.87942860015715,0.5675205546482754
12,901,25,0.8789952131535927,0.5634890934741734
13,915,25,0.878395567756788,0.56093827928242
14,931,25,0.877893390337959,0.5569061764526746
15,953,25,0.876617849328869,0.5531474009903536
16,973,25,0.876132707500294,0.5477108854727658
17,997,25,0.8751399494020458,0.5426734655782808
18,1020,25,0.8747831003211155,0.5376528654756834
19,1040,25,0.8744664842002294,0.5344750667908647
20,1060,25,0.8739932467965047,0.5269323196911773
21,720,22,0.921869718557629,0.6002158136938516
22,740,23,0.9172160892646043,0.5865323638519377
23,759,23,0.9144227575580123,0.5733436724622956
24,769,23,0.9124147416389375,0.5615119231790698
25,789,23,0.90809942079022,0.5458740404854916
26,809,23,0.9062126481463816,0.5368681923290552
27,820,23,0.9041435244728151,0.5308020027883368
28,835,23,0.9018406031566517,0.5176736764922282
29,854,23,0.9003206269230498,0.5056330315690227
30,865,23,0.8995018336152599,0.5005467046732301
31,884,23,0.8991647057264767,0.4951375928874363
32,904,23,0.8976374761886375,0.49309266318373934
33,914,23,0.896744214527859,0.49260016812827634
34,927,23,0.895282614452815,0.4899842283859335
35,943,23,0.893385028216487,0.48354230335328297
36,967,23,0.893003092146363,0.48167532562629745
37,993,23,0.8902701190034058,0.4788713972818086
38,1018,23,0.8887833044361801,0.4711832463174088
39,1038,23,0.8874580015429718,0.4703367053762305
40,1060,23,0.8853870223838016,0.4655638463459364
