environment,variant,model,calibrator,law,n_shifted,w_median,w_p10,w_p90,var_retention_median,market_share_median
close,close_std,m00_baseline_grw_negbin,scot_lower_close_std,std_w0.85_s0.15,627,0.963706348899715,0.8694165599401021,0.998590838985169,0.9287299312008059,0.03629365110028504
close,close_std_t007,m00_baseline_grw_negbin,scot_lower_close_std_t007,std_w0.30_s0.40,627,0.9732555209706222,0.8250908056417483,0.9990714830358748,0.9472263120748385,0.02674447902937782
close,close_std,m05_wealth_grw_negbin,scot_lower_close_std,std_w0.85_s0.15,627,0.9722867192472002,0.8862364307538944,0.9989231056186467,0.9453414645778769,0.027713280752799774
close,close_std_t007,m05_wealth_grw_negbin,scot_lower_close_std_t007,std_w0.30_s0.40,627,0.9801785306582921,0.8732446689205426,0.9992910981773794,0.9607499520572951,0.01982146934170792
close,close_std,m10_lineup_grw_negbin,scot_lower_close_std,std_w0.85_s0.15,627,0.9626907243190191,0.8676496557100828,0.9988117043045326,0.9267734496078224,0.03730927568098086
close,close_std_t007,m10_lineup_grw_negbin,scot_lower_close_std_t007,std_w0.30_s0.40,627,0.9724065596941095,0.8180868212442156,0.9992175133193877,0.9455745306556058,0.027593440305890504
close,close_std,m12_joint_hybrid_synergy_negbin,scot_lower_close_std,std_w0.85_s0.15,627,0.9696701948870692,0.8837870246240874,0.9989732821777032,0.9402603207172595,0.03032980511293082
close,close_std_t007,m12_joint_hybrid_synergy_negbin,scot_lower_close_std_t007,std_w0.30_s0.40,627,0.9781127742429603,0.867624326410701,0.9993242259575124,0.956704620640694,0.02188722575703972
close,close_std,m00_poisson,scot_lower_close_std,std_w0.85_s0.15,627,0.9647984419906646,0.8688949143586036,0.9986925445559498,0.9308360352924232,0.03520155800933544
close,close_std_t007,m00_poisson,scot_lower_close_std_t007,std_w0.30_s0.40,627,0.9741611203281537,0.8230836288769073,0.9991387513344693,0.9489898894671129,0.025838879671846282
close,close_std,m05_poisson,scot_lower_close_std,std_w0.85_s0.15,627,0.9725965366466647,0.8865242039445023,0.9990617113072496,0.9459440230984548,0.027403463353335322
close,close_std_t007,m05_poisson,scot_lower_close_std_t007,std_w0.30_s0.40,627,0.9804206003488315,0.8738826476140675,0.9993825862672134,0.9612245535891947,0.019579399651168505
close,close_std,m10_poisson,scot_lower_close_std,std_w0.85_s0.15,627,0.962398446385974,0.8667010583266382,0.9987399368616658,0.9262109626372593,0.03760155361402595
close,close_std_t007,m10_poisson,scot_lower_close_std_t007,std_w0.30_s0.40,627,0.9721604796362262,0.8140832553767616,0.9991700824222455,0.9450961346820728,0.027839520363773795
close,close_std,m12_poisson,scot_lower_close_std,std_w0.85_s0.15,627,0.9703564190109581,0.882855776747552,0.9990284533215248,0.941591615266775,0.02964358098904185
close,close_std_t007,m12_poisson,scot_lower_close_std_t007,std_w0.30_s0.40,627,0.9786582486353921,0.8654038082352686,0.9993606408308546,0.957771989849626,0.02134175136460792
t25,t25_inv,m00_baseline_grw_negbin,scot_lower_t25_inv,inv_w0.25_s0.35,580,0.29201155037060483,0.25140173479180666,0.49659056751644903,0.08527074799202485,0.7079884496293951
t25,t25_inv,m05_wealth_grw_negbin,scot_lower_t25_inv,inv_w0.25_s0.35,580,0.28271890030511043,0.2510964644910375,0.4508791455985305,0.07992997828135348,0.7172810996948895
t25,t25_inv,m10_lineup_grw_negbin,scot_lower_t25_inv,inv_w0.25_s0.35,580,0.2948821153836266,0.2515428014931438,0.5201783713035187,0.08695546281355526,0.7051178846163735
t25,t25_inv,m12_joint_hybrid_synergy_negbin,scot_lower_t25_inv,inv_w0.25_s0.35,580,0.28228996106192555,0.2508883315819065,0.4571948391299786,0.07968762215009667,0.7177100389380744
t25,t25_inv,m00_poisson,scot_lower_t25_inv,inv_w0.25_s0.35,580,0.2916924409263912,0.25132223614373034,0.5005537614060498,0.08508448241911615,0.7083075590736088
t25,t25_inv,m05_poisson,scot_lower_t25_inv,inv_w0.25_s0.35,580,0.2839949833097982,0.2511847702765373,0.4542560365019095,0.08065315793516711,0.7160050166902018
t25,t25_inv,m10_poisson,scot_lower_t25_inv,inv_w0.25_s0.35,580,0.29549631665088294,0.2516035771245919,0.514821526821969,0.08731827364897857,0.7045036833491171
t25,t25_inv,m12_poisson,scot_lower_t25_inv,inv_w0.25_s0.35,580,0.28222341622733693,0.25080318439953503,0.4591496506317326,0.07965005668188446,0.7177765837726631
