environment,variant,pair,model_a,model_b,n_a,n_b,n_shared,n_only_a,n_only_b,declined_by_a_pct,only_b_roi_pct,only_b_win_rate_pct,only_b_pnl,only_a_roi_pct,only_a_win_rate_pct,only_a_pnl,shared_p_model_a,shared_p_model_b,shared_roi_a_pct,shared_roi_b_pct
close,raw,m00_baseline_grw_negbin vs m00_poisson,m00_baseline_grw_negbin,m00_poisson,33,50,33,0,17,34.0,20.806391015120973,94.11764705882352,0.010059357548131288,NaN,NaN,0.0,0.795511369986159,0.8037521842936737,-0.04804590622759976,1.9029986782611386
close,raw,m05_wealth_grw_negbin vs m05_poisson,m05_wealth_grw_negbin,m05_poisson,46,64,46,0,18,28.125,15.995804800820666,83.33333333333334,0.009877817267856,NaN,NaN,0.0,0.7897899476084926,0.7978054594535792,0.6318072539308471,-0.022221137586907472
close,raw,m10_lineup_grw_negbin vs m10_poisson,m10_lineup_grw_negbin,m10_poisson,27,47,27,0,20,42.5531914893617,19.9490822212731,95.0,0.009748936171523183,NaN,NaN,0.0,0.7839441786641884,0.7932825019385153,-2.2882628232500823,-0.6641431002798285
close,raw,m12_joint_hybrid_synergy_negbin vs m12_poisson,m12_joint_hybrid_synergy_negbin,m12_poisson,45,60,45,0,15,25.0,17.326673597146236,80.0,0.0073576215373601025,NaN,NaN,0.0,0.7849247793994333,0.7929914648046638,0.680124219241165,0.30720469795961414
close,close_std,m00_baseline_grw_negbin vs m00_poisson,m00_baseline_grw_negbin,m00_poisson,31,49,31,0,18,36.734693877551024,15.657540250923676,88.88888888888889,0.007383770070379296,NaN,NaN,0.0,0.7920041555016204,0.8003924366644597,-1.0844070114631303,1.699074357366709
close,close_std,m05_wealth_grw_negbin vs m05_poisson,m05_wealth_grw_negbin,m05_poisson,43,63,43,0,20,31.746031746031747,5.906092064130568,80.0,0.004051018630410921,NaN,NaN,0.0,0.788477079571149,0.79657799424802,-0.3295587351919042,0.04328429605294865
close,close_std,m10_lineup_grw_negbin vs m10_poisson,m10_lineup_grw_negbin,m10_poisson,25,46,25,0,21,45.65217391304348,21.17129948066253,95.23809523809523,0.013032243113164572,NaN,NaN,0.0,0.7789128527532736,0.7880569042784686,-4.9160455189944035,-4.005191285312104
close,close_std,m12_joint_hybrid_synergy_negbin vs m12_poisson,m12_joint_hybrid_synergy_negbin,m12_poisson,44,59,44,0,15,25.423728813559322,16.983253039492205,80.0,0.0072111757808315784,NaN,NaN,0.0,0.781130058293067,0.7891403724954077,-0.4504341159903312,-0.647940806598279
close,close_std_t007,m00_baseline_grw_negbin vs m00_poisson,m00_baseline_grw_negbin,m00_poisson,30,48,30,0,18,37.5,15.901899403160819,83.33333333333334,0.0067381903528683385,NaN,NaN,0.0,0.7899461004699885,0.7982654493427,-1.7547667139065906,1.6545315630520805
close,close_std_t007,m05_wealth_grw_negbin vs m05_poisson,m05_wealth_grw_negbin,m05_poisson,44,62,44,0,18,29.032258064516128,3.705240397640643,77.77777777777779,0.0023738026487183173,NaN,NaN,0.0,0.7853815530422338,0.7933692494479214,-0.5824193706147472,-0.23682790623189173
close,close_std_t007,m10_lineup_grw_negbin vs m10_poisson,m10_lineup_grw_negbin,m10_poisson,26,47,26,0,21,44.680851063829785,21.37731248774406,95.23809523809523,0.013747946582241665,NaN,NaN,0.0,0.7729341323014176,0.7818799982789877,-6.152926291931129,-4.77230968094767
close,close_std_t007,m12_joint_hybrid_synergy_negbin vs m12_poisson,m12_joint_hybrid_synergy_negbin,m12_poisson,43,58,43,0,15,25.862068965517242,16.112792938470278,80.0,0.006588450068787823,NaN,NaN,0.0,0.7798604561588419,0.7878434001604141,-1.058663773104164,-0.9858020334808437
t25,raw,m00_baseline_grw_negbin vs m00_poisson,m00_baseline_grw_negbin,m00_poisson,28,39,28,0,11,28.205128205128204,-20.03173638234787,63.63636363636363,-0.009241915398154504,NaN,NaN,0.0,0.7867610359091826,0.7946835869876946,21.830964117216038,20.591926992513073
t25,raw,m05_wealth_grw_negbin vs m05_poisson,m05_wealth_grw_negbin,m05_poisson,45,58,45,0,13,22.413793103448278,5.787226107322599,76.92307692307693,0.002101183188148671,NaN,NaN,0.0,0.7878713841470251,0.795555385106742,20.80017831317528,19.212179393491063
t25,raw,m10_lineup_grw_negbin vs m10_poisson,m10_lineup_grw_negbin,m10_poisson,30,42,30,0,12,28.571428571428573,8.234301960129148,83.33333333333334,0.00381839040516275,NaN,NaN,0.0,0.7754470674904168,0.7840741556869641,19.058036482462004,12.6798070876161
t25,raw,m12_joint_hybrid_synergy_negbin vs m12_poisson,m12_joint_hybrid_synergy_negbin,m12_poisson,43,55,43,0,12,21.818181818181817,-12.756601132070434,83.33333333333334,-0.004550716250837295,NaN,NaN,0.0,0.781654755053339,0.7892368181330441,24.10940001809852,21.312030452841093
t25,t25_inv,m00_baseline_grw_negbin vs m00_poisson,m00_baseline_grw_negbin,m00_poisson,16,30,16,0,14,46.666666666666664,8.327569743933898,85.71428571428571,0.004494485175747259,NaN,NaN,0.0,0.7646899677875801,0.7726948907685602,27.412349809434335,23.71733210417907
t25,t25_inv,m05_wealth_grw_negbin vs m05_poisson,m05_wealth_grw_negbin,m05_poisson,26,41,26,0,15,36.58536585365854,18.284360103951162,93.33333333333333,0.008399054769497434,NaN,NaN,0.0,0.7670931649711359,0.7744919157990752,24.604674302719882,23.272469142641178
t25,t25_inv,m10_lineup_grw_negbin vs m10_poisson,m10_lineup_grw_negbin,m10_poisson,16,34,16,0,18,52.94117647058823,4.288062378529292,77.77777777777779,0.0018605283960089012,NaN,NaN,0.0,0.7612532127707025,0.7700671173283722,31.33752775598764,24.770905607591562
t25,t25_inv,m12_joint_hybrid_synergy_negbin vs m12_poisson,m12_joint_hybrid_synergy_negbin,m12_poisson,26,42,26,0,16,38.095238095238095,6.749413748925422,87.5,0.003342050527695421,NaN,NaN,0.0,0.7603766808912655,0.7680136040430203,28.531901386133594,27.410507742229267
