environment,variant,calibrator,law,role,model,likelihood,n_panel,n_slates,n_bets,total_return_pct,cagr_pct,growth_per_slate,growth_lo,growth_hi,roi_pct,p_roi_positive,sharpe_ann,calmar,max_drawdown_pct,win_rate_pct,mean_edge_pp,mean_exposure,capture_ratio,cap_weighted_win_rate_pct,run_id
close,close_std,scot_lower_close_std,std_w0.85_s0.15,control,m00_poisson,Poisson,632,100,1292,418.92287353894375,159.7702245273418,0.016465850802368568,-0.000875317261924462,0.03367190711132999,11.624678914678043,0.9805,1.3881662934128334,10.790994216390882,-38.821527019505275,34.907120743034056,4.364829096199498,0.1786303241216062,1.0286270566890243,36.13727707783529,158d2a80-7ea3-4d6c-b3ab-be62bcf1bc11
close,close_std,scot_lower_close_std,std_w0.85_s0.15,ladder,m00_baseline_grw_negbin,NegBin,632,100,1295,402.48416130958606,154.96704155639355,0.016143939336664616,-0.0016852041770672964,0.03392300410227007,11.448777643053742,0.97925,1.3393580701356853,10.406053797284635,-38.6778858874063,34.20849420849421,4.372315085137883,0.17965904805324098,1.0149424465615609,35.507568422712865,0c0da991-7d4c-4f01-90e2-2af157f27aaa
close,close_std,scot_lower_close_std,std_w0.85_s0.15,ladder,m10_lineup_grw_negbin,NegBin,632,100,1291,354.6578330322844,140.60271377597638,0.015143749347438406,-0.0023564793454566,0.03265739347085173,10.864206353224798,0.967,1.2760664616648745,7.896757508839992,-44.911830284172225,34.62432223082882,4.504773154523944,0.1785308807277212,0.9283276274957408,34.08903600787415,f7fd8385-fa15-4f6a-ae89-e23447907a80
close,close_std,scot_lower_close_std,std_w0.85_s0.15,control,m05_poisson,Joint Gamma-Poisson,632,100,1233,331.95240069579756,133.56164379622183,0.014631452126108209,-0.0005129819035471456,0.030328648921916758,11.266749536292497,0.983,1.4292901847911266,7.742587895217146,-42.87357214257207,35.44201135442011,3.843798799678158,0.15818104450756057,1.0582478154096,37.89536575704251,b0961bc4-c40c-4dbe-9c05-57df7ae0839e
close,close_std,scot_lower_close_std,std_w0.85_s0.15,ladder,m05_wealth_grw_negbin,Joint Gamma-NegBin,632,100,1227,331.67039968860684,133.4732288768816,0.014624921473673178,-0.0009753930654654266,0.030491634807380978,11.235394770549487,0.9825,1.4083652143021828,7.93121260649454,-41.818372062932184,34.96332518337408,3.9163089439188568,0.15937571620796168,1.030440750871338,36.98976361369549,019d41d4-9e0e-41eb-bbc1-8984263f0f14
close,close_std,scot_lower_close_std,std_w0.85_s0.15,control,m10_poisson,Poisson,632,100,1287,322.67757380258547,130.6408816911902,0.014414394655346352,-0.0028186530638079806,0.03171340635451792,10.439986857155423,0.96425,1.232058661653199,6.77486227417193,-47.62865439091532,34.80963480963481,4.481423684116599,0.1775093918958425,0.9582946188257071,34.40750058647513,b13c8fb9-ce34-4210-aa3f-9d2ed493c286
close,close_std,scot_lower_close_std,std_w0.85_s0.15,control,m12_poisson,Joint Gamma-Poisson,632,100,1243,313.934388183626,127.86277701013029,0.01420537292629275,-0.0018153250889319365,0.030752960094229096,11.054955822864413,0.97725,1.3142373943405297,6.109958487407294,-51.380772689478825,34.51327433628318,3.975085370941288,0.16056074709024457,1.0392396163234001,36.36373170586788,3a9a4c7e-378b-45d0-a2d2-c8b69b46786b
close,close_std,scot_lower_close_std,std_w0.85_s0.15,ladder,m12_joint_hybrid_synergy_negbin,Joint Gamma-NegBin,632,100,1243,270.6515994708715,113.72963372973186,0.01310092350418618,-0.003058034820123953,0.02973675393354304,10.267913738403978,0.9635,1.2056459351817157,5.568948394466781,-48.600127043695835,34.352373290426385,4.02315541894963,0.16229211899573204,0.9898583079241068,35.430521099326896,c3d2aede-ddd5-4590-9c75-5937de4b1bbc
close,close_std_t007,scot_lower_close_std_t007,std_w0.30_s0.40,ladder,m10_lineup_grw_negbin,NegBin,632,100,1297,332.7118103617491,133.79961866666142,0.014649017554432854,-0.0023482926285488294,0.03159713488097438,10.555365199147506,0.9705,1.2783805106723356,7.377363687472064,-45.09901157872244,34.69545104086353,4.220937385612113,0.17629691529096023,0.9193692609712052,34.2520801394582,f7fd8385-fa15-4f6a-ae89-e23447907a80
close,close_std_t007,scot_lower_close_std_t007,std_w0.30_s0.40,control,m00_poisson,Poisson,632,100,1290,328.23358283102533,132.39373655987276,0.014544986150020976,-0.0020894299891233235,0.03104429480554197,10.5472031241919,0.9775,1.2759815562474186,8.142646810064708,-40.31042859740799,34.72868217054263,4.104877360153357,0.17521725500668986,1.0368329856098817,36.09157600874519,158d2a80-7ea3-4d6c-b3ab-be62bcf1bc11
