environment,variant,model,likelihood,role,pair,n_shared,n_only_a,n_only_b,overlap_pct,stake_mean_a,stake_mean_b,n_a_larger,roi_when_a_larger_pct,roi_when_b_larger_pct,sizing_delta_pnl,shared_roi_a_pct,shared_roi_b_pct,capture_ratio_a,capture_ratio_b
close,close_std,m00_baseline_grw_negbin,NegBin,ladder,m00_baseline_grw_negbin cal[close_std] vs raw vs raw,1284,11,16,97.94050343249428,0.013988441653033751,0.014351232375850955,568,2.0494544476608367,23.26399935398918,-0.1708210837242502,11.449923677593278,12.087492382017434,1.0149424465615609,1.0173914126006665
close,close_std_t007,m00_baseline_grw_negbin,NegBin,ladder,m00_baseline_grw_negbin cal[close_std_t007] vs raw vs raw,1282,11,18,97.78794813119755,0.013775939063619552,0.014372366133979287,620,-2.3680889508295726,27.16845411058264,-0.38387743770563676,10.447411543071484,12.097280368150818,1.004951303297079,1.0173914126006665
close,close_std,m05_wealth_grw_negbin,Joint Gamma-NegBin,ladder,m05_wealth_grw_negbin cal[close_std] vs raw vs raw,1222,5,13,98.54838709677419,0.013039837170142808,0.013688483190827395,334,0.09793095300075673,17.109862404762612,-0.15959057384049447,11.230849698213435,11.652732754734046,1.030440750871338,1.0408115153820137
close,close_std_t007,m05_wealth_grw_negbin,Joint Gamma-NegBin,ladder,m05_wealth_grw_negbin cal[close_std_t007] vs raw vs raw,1222,6,13,98.46897663174859,0.012875748741157465,0.013686806038727725,375,-2.6309784608081124,17.851953541951627,-0.22760135811120555,10.96142148714884,11.67268858661723,1.035521380253227,1.0408115153820137
close,close_std,m10_lineup_grw_negbin,NegBin,ladder,m10_lineup_grw_negbin cal[close_std] vs raw vs raw,1287,4,14,98.62068965517241,0.013869534168630255,0.01421134216953322,568,5.137968546423208,12.564069165323811,-0.0773494951464305,10.866779734563504,11.028320389783044,0.9283276274957408,0.9239645578650063
close,close_std_t007,m10_lineup_grw_negbin,NegBin,ladder,m10_lineup_grw_negbin cal[close_std_t007] vs raw vs raw,1287,10,14,98.16933638443936,0.013690475873660466,0.01420406496691257,647,3.4705297694357675,13.19632580014625,-0.14963677266549127,10.578130323836774,11.014201020218696,0.9193692609712052,0.9239645578650063
close,close_std,m12_joint_hybrid_synergy_negbin,Joint Gamma-NegBin,ladder,m12_joint_hybrid_synergy_negbin cal[close_std] vs raw vs raw,1231,12,13,98.00955414012739,0.013178839029857153,0.013785063007239898,357,-3.1714697068162274,12.910573690369455,-0.11960690703812843,10.251134678896692,10.505160051315663,0.9898583079241068,1.0072462167325804
close,close_std_t007,m12_joint_hybrid_synergy_negbin,Joint Gamma-NegBin,ladder,m12_joint_hybrid_synergy_negbin cal[close_std_t007] vs raw vs raw,1232,12,12,98.08917197452229,0.012983326511040347,0.013761608864377111,415,-0.12993353531126733,14.491770631929514,-0.18353398606524732,9.984296489274007,10.502160165739648,1.0028302042781725,1.0072462167325804
close,close_std,m00_poisson,Poisson,control,m00_poisson cal[close_std] vs raw vs raw,1289,3,7,99.23017705927637,0.013857163095446209,0.014259998463069698,546,0.03015594005076843,23.36276117628879,-0.18783150973667698,11.615728253055849,12.309462690988097,1.0286270566890243,1.0361968671880641
close,close_std_t007,m00_poisson,Poisson,control,m00_poisson cal[close_std_t007] vs raw vs raw,1286,4,10,98.92307692307692,0.01362373221839512,0.014285687115894207,620,-3.467794416015594,26.972560743449392,-0.41233412501363154,10.547078671683922,12.302795157822569,1.0368329856098817,1.0361968671880641
close,close_std,m05_poisson,Joint Gamma-Poisson,control,m05_poisson cal[close_std] vs raw vs raw,1229,4,18,98.2414068745004,0.01286944148382595,0.013527136268252245,337,-2.6521235401904746,16.40255226588974,-0.1612979535002631,11.258752003384412,11.681568951022077,1.0582478154096,1.079948560365559
close,close_std_t007,m05_poisson,Joint Gamma-Poisson,control,m05_poisson cal[close_std_t007] vs raw vs raw,1229,5,18,98.1629392971246,0.012696455993884408,0.01352018606678766,380,-6.465033838537023,18.28691286023454,-0.24932324900069625,10.86293557511163,11.701574134442701,1.0732897574563944,1.079948560365559
close,close_std,m10_poisson,Poisson,control,m10_poisson cal[close_std] vs raw vs raw,1283,4,16,98.46508058326938,0.013834576698967014,0.014226386391286082,554,-1.8172084403388897,12.93701829308179,-0.1071780118052976,10.432538146087337,10.732412864937046,0.9582946188257071,0.9566491472243781
close,close_std_t007,m10_poisson,Poisson,control,m10_poisson cal[close_std_t007] vs raw vs raw,1284,6,15,98.39080459770115,0.01362928184011954,0.014212254188297175,624,-2.265205183314329,15.026772420908722,-0.22457536029148023,9.944788823306004,10.767512355422864,0.9607924328909844,0.9566491472243781
close,close_std,m12_poisson,Joint Gamma-Poisson,control,m12_poisson cal[close_std] vs raw vs raw,1235,8,18,97.9381443298969,0.01299688694901219,0.013615617530608226,365,-0.2702757377376883,14.853984485688201,-0.1365926484753433,11.066846462441072,11.376251241341063,1.0392396163234001,1.0432274804517943
close,close_std_t007,m12_poisson,Joint Gamma-Poisson,control,m12_poisson cal[close_std_t007] vs raw vs raw,1237,9,16,98.01901743264659,0.012777552737743504,0.013588291624535656,410,0.9415204411001628,17.606116500234915,-0.22995997688038222,10.704493143096425,11.433914249120685,1.054362524443909,1.0432274804517943
t25,t25_inv,m00_baseline_grw_negbin,NegBin,ladder,m00_baseline_grw_negbin cal[t25_inv] vs raw vs raw,977,86,172,79.10931174089069,0.010304806518271075,0.017218429685933227,143,36.55931806765703,8.007957233961337,-0.42627583162289817,16.717393968102325,12.538925598626363,0.9985861255053258,0.9811205503938285
t25,t25_inv,m05_wealth_grw_negbin,Joint Gamma-NegBin,ladder,m05_wealth_grw_negbin cal[t25_inv] vs raw vs raw,914,84,208,75.787728026534,0.008906131028655244,0.016464847016030546,122,10.642957645962726,11.750595955440627,-0.8153416431665057,16.816986434086203,14.514568736158273,1.034646830667925,1.0658020985671133
t25,t25_inv,m10_lineup_grw_negbin,NegBin,ladder,m10_lineup_grw_negbin cal[t25_inv] vs raw vs raw,984,87,169,79.35483870967742,0.010142165036128217,0.017130017957099238,157,41.380267832613065,11.003484319964688,-0.6332583387299885,15.792013922047603,13.106859212943792,0.9281766364584157,0.9441106260696661
t25,t25_inv,m12_joint_hybrid_synergy_negbin,Joint Gamma-NegBin,ladder,m12_joint_hybrid_synergy_negbin cal[t25_inv] vs raw vs raw,917,94,202,75.59769167353669,0.009230865528380934,0.016576690810285778,113,13.691017116291597,15.982817458793978,-1.0839736198115097,17.42545025977394,16.83452227911516,0.9787361089777615,1.0761842651631652
t25,t25_inv,m00_poisson,Poisson,control,m00_poisson cal[t25_inv] vs raw vs raw,954,73,201,77.68729641693811,0.010035964756332096,0.017565296570776774,127,32.05743484980851,9.435463798513597,-0.5931044093016469,17.342203763312437,13.447881071955651,1.0134440384141574,1.0224622048522156
t25,t25_inv,m05_poisson,Joint Gamma-Poisson,control,m05_poisson cal[t25_inv] vs raw vs raw,887,82,237,73.54892205638474,0.008599090671178457,0.01674210292573532,102,9.59400886963314,12.517309447140514,-0.9129819258636338,17.644015779861522,15.210256669383597,1.0671531360121367,1.1104673183674394
t25,t25_inv,m10_poisson,Poisson,control,m10_poisson cal[t25_inv] vs raw vs raw,963,83,180,78.54812398042414,0.009818774480357232,0.017395950953346256,126,50.94184984140352,10.298537013256459,-0.5985956737785323,16.56606642742728,12.923578513330462,0.9486631048497939,0.9473368038879071
t25,t25_inv,m12_poisson,Joint Gamma-Poisson,control,m12_poisson cal[t25_inv] vs raw vs raw,905,79,213,75.60568086883876,0.008741486716418456,0.01668381055691834,99,6.727631076292116,16.12401105793808,-1.1843333475574582,18.80132079898575,17.694822071631258,1.0125786032424924,1.1220178855154472
