contrast,scope,rule,n_obs,n_fixtures,delta,lo,hi,p_better,significant
m00_baseline_grw_negbin − m00_poisson,all,ll,4054,630,0.00013394971920572364,-0.0005923510268023812,0.0008274999243991214,0.3441,false
m00_baseline_grw_negbin − m00_poisson,1X2,ll,1785,595,0.0002300224475916659,-0.00032615336230782483,0.0007859629270733861,0.2077,false
m00_baseline_grw_negbin − m00_poisson,OU1.5,ll,430,215,0.000505606862926093,-0.0020091843765721175,0.002810747586124975,0.3404,false
m00_baseline_grw_negbin − m00_poisson,OU2.5,ll,758,379,-0.0004628873317369754,-0.0017627370748916971,0.0007942206697744286,0.7623,false
m00_baseline_grw_negbin − m00_poisson,OU3.5,ll,528,264,-0.0005771504500783723,-0.0019628025022652112,0.0007061391030326938,0.8085,false
m00_baseline_grw_negbin − m00_poisson,OU4.5,ll,197,104,0.001823430664574986,-0.0013010729646207983,0.004211070132588588,0.1036,false
m00_baseline_grw_negbin − m00_poisson,BTTS,ll,356,178,0.0005938745388409995,-0.0030204181068117387,0.004079401186485828,0.3754,false
m05_wealth_grw_negbin − m05_poisson,all,ll,4054,630,3.3722950975375005e-5,-0.0006086219034800503,0.0006552249739017796,0.4556,false
m05_wealth_grw_negbin − m05_poisson,1X2,ll,1785,595,-4.9352530285868e-5,-0.000540504966320195,0.00043912477534234896,0.576,false
m05_wealth_grw_negbin − m05_poisson,OU1.5,ll,430,215,0.0013829626249638766,-0.000996611749480451,0.003543850293266255,0.124,false
m05_wealth_grw_negbin − m05_poisson,OU2.5,ll,758,379,-0.0005626636393827559,-0.0018319414889331124,0.0007127846306530042,0.8141,false
m05_wealth_grw_negbin − m05_poisson,OU3.5,ll,528,264,-0.0005513604005862525,-0.0016343395469671784,0.0004898225928787784,0.8507,false
m05_wealth_grw_negbin − m05_poisson,OU4.5,ll,197,104,0.000979066999829785,-0.0015256199255553487,0.0031033250664386147,0.2006,false
m05_wealth_grw_negbin − m05_poisson,BTTS,ll,356,178,0.0004350402030201698,-0.003116684045018913,0.0038702136665931153,0.4074,false
m10_lineup_grw_negbin − m10_poisson,all,ll,4054,630,7.251120268661434e-5,-0.0006264564605843567,0.0007430590190220288,0.4177,false
m10_lineup_grw_negbin − m10_poisson,1X2,ll,1785,595,-0.0001504590636593112,-0.0006778843157935594,0.0003831987495333843,0.7082,false
m10_lineup_grw_negbin − m10_poisson,OU1.5,ll,430,215,0.0008362082461908374,-0.0017902528457841684,0.0032083240177383713,0.2506,false
m10_lineup_grw_negbin − m10_poisson,OU2.5,ll,758,379,-7.561901100512838e-5,-0.001388799293317875,0.0012604617810572734,0.5429,false
m10_lineup_grw_negbin − m10_poisson,OU3.5,ll,528,264,-0.00039153292935276347,-0.0017207480088038138,0.0008776638067456957,0.7214,false
m10_lineup_grw_negbin − m10_poisson,OU4.5,ll,197,104,0.0014263571226465958,-0.0010093785366211514,0.003453258742237446,0.1147,false
m10_lineup_grw_negbin − m10_poisson,BTTS,ll,356,178,0.0005225183773598661,-0.0030507316378348666,0.004038163163848825,0.3908,false
m12_joint_hybrid_synergy_negbin − m12_poisson,all,ll,4054,630,0.0001394582885942792,-0.0005274918586930871,0.0007697503803794475,0.3331,false
m12_joint_hybrid_synergy_negbin − m12_poisson,1X2,ll,1785,595,0.0001670065829713572,-0.00026810042469028084,0.0006028764152629083,0.2241,false
m12_joint_hybrid_synergy_negbin − m12_poisson,OU1.5,ll,430,215,0.0006132253636424021,-0.001915915282159255,0.0029477357600724754,0.3083,false
m12_joint_hybrid_synergy_negbin − m12_poisson,OU2.5,ll,758,379,-0.00017821240735938084,-0.0014324731978311031,0.0010500429272454989,0.6121,false
m12_joint_hybrid_synergy_negbin − m12_poisson,OU3.5,ll,528,264,-0.00016338032390952062,-0.0013138465230590707,0.0009119710943666358,0.6163,false
m12_joint_hybrid_synergy_negbin − m12_poisson,OU4.5,ll,197,104,0.0009336278639986827,-0.0021523231859720154,0.0032336502794377093,0.2367,false
m12_joint_hybrid_synergy_negbin − m12_poisson,BTTS,ll,356,178,0.00011515553816292112,-0.003405487555293809,0.0035719273455131605,0.4803,false
m00_baseline_grw_negbin − m00_poisson,all,brier,4054,630,5.783321248116649e-5,-0.0002482685022408914,0.0003531961065780719,0.3453,false
m00_baseline_grw_negbin − m00_poisson,1X2,brier,1785,595,0.00010042630371523724,-0.0001422578198602704,0.00034423286176840873,0.2069,false
m00_baseline_grw_negbin − m00_poisson,OU1.5,brier,430,215,0.00019554775692916417,-0.0006486043798248594,0.0009792002940743807,0.318,false
m00_baseline_grw_negbin − m00_poisson,OU2.5,brier,758,379,-0.00021862495648413782,-0.000839381098727694,0.00038536132972857845,0.76,false
m00_baseline_grw_negbin − m00_poisson,OU3.5,brier,528,264,-0.0001556797563919774,-0.0006926327066828503,0.000361573463180491,0.7224,false
m00_baseline_grw_negbin − m00_poisson,OU4.5,brier,197,104,0.0005705666543324903,4.541982272343197e-5,0.0010208180731230809,0.0173,true
m00_baseline_grw_negbin − m00_poisson,BTTS,brier,356,178,0.00029950661031980354,-0.0014457948209551953,0.002003826558364917,0.3712,false
m05_wealth_grw_negbin − m05_poisson,all,brier,4054,630,-9.335016938374358e-6,-0.00029031350924680867,0.0002614523902489645,0.5227,false
m05_wealth_grw_negbin − m05_poisson,1X2,brier,1785,595,-3.2026693138688584e-5,-0.0002437247892267755,0.00017912047142994985,0.6176,false
