model,scope,n_obs,n_fixtures,delta,lo,hi,p_negative,significant
m00_baseline_grw_negbin,all,4054,630,-0.004804154769856663,-0.02412547213152671,0.007977593587270959,0.679,false
m00_baseline_grw_negbin,1X2,1785,595,0.0037697696138542696,-0.006459299725854737,0.013877794538531702,0.2334,false
m00_baseline_grw_negbin,OU1.5,430,215,0.005096590870684647,-0.0113242757503734,0.02082785441674022,0.2615,false
m00_baseline_grw_negbin,OU2.5,758,379,-0.002788759731238277,-0.01629148236722181,0.010818920876304984,0.6633,false
m00_baseline_grw_negbin,OU3.5,528,264,0.00966512287874045,-0.007496985665945634,0.0269525309872423,0.1304,false
m00_baseline_grw_negbin,OU4.5,197,104,-0.17432661386491488,-0.5165602190010055,0.003173730710233326,0.9537,false
m00_baseline_grw_negbin,BTTS,356,178,0.008304555212271603,-0.0071321305348858825,0.023872373246396843,0.1473,false
m05_wealth_grw_negbin,all,4054,630,-0.007341789116953607,-0.02741310111683034,0.005445111344644754,0.7839,false
m05_wealth_grw_negbin,1X2,1785,595,0.0024161973699568778,-0.005967478014984013,0.010800372436654193,0.2793,false
m05_wealth_grw_negbin,OU1.5,430,215,-0.00519400048764099,-0.021308247195033794,0.010140959301241342,0.7389,false
m05_wealth_grw_negbin,OU2.5,758,379,-0.0005797106443162529,-0.013283120109889118,0.012097553587096785,0.5365,false
m05_wealth_grw_negbin,OU3.5,528,264,0.001338460844146265,-0.014848450131238885,0.018287597104262726,0.4385,false
m05_wealth_grw_negbin,OU4.5,197,104,-0.16116543708402736,-0.5093476565370724,0.01717778656206723,0.7678,false
m05_wealth_grw_negbin,BTTS,356,178,-0.0010134851898354993,-0.014522028229239663,0.012133019641276221,0.5643,false
m10_lineup_grw_negbin,all,4054,630,-0.004056500162955373,-0.023276188833898693,0.008540621538918927,0.6471,false
m10_lineup_grw_negbin,1X2,1785,595,0.005404174878499762,-0.005500502258718107,0.016064849654104006,0.1622,false
m10_lineup_grw_negbin,OU1.5,430,215,0.00626698553192391,-0.008755327508271675,0.02050877658537717,0.1964,false
m10_lineup_grw_negbin,OU2.5,758,379,-0.002354212641146837,-0.014853129113701364,0.010079294656817337,0.6453,false
