model,fixture,lambda_h,lambda_a,r,mass,p_home,p_draw,p_away,d_home,d_over25,d_over35,d_btts,p_over25,p_btts
m00_baseline_grw_negbin,12477128,1.3815078124105884,1.124406941550498,30.560649359260648,0.9999997135851801,0.42720418489658185,0.2644792257865893,0.30831630290199474,-0.0007418125541456266,-0.0029141537555463226,0.0021308579078707923,-0.01082418799369278,0.4535788792622644,0.48967694722493227
m00_baseline_grw_negbin,12477134,1.713287475804404,1.1626428675283864,30.560649359260648,0.9999970311716816,0.49905650107720856,0.2363382589862002,0.26460227110828344,-0.002467133465952398,-0.0052672081915660085,0.0004407638215914722,-0.012141251453601787,0.5401952184212597,0.5447764178036593
m00_baseline_grw_negbin,12477131,1.981412420313914,1.577010889121278,30.560649359260648,0.9999861982481058,0.47129239640781734,0.21217503574041033,0.31651876609987545,-0.0011362981467771816,-0.008541689802929242,-0.003765854207400887,-0.01484713417197936,0.6756710578421833,0.6607844611891309
m00_baseline_grw_negbin,12477135,1.6808140625999899,1.2252433659221211,30.560649359260648,0.9999974018576832,0.4785844474922757,0.2367678258876852,0.284645128477726,-0.0017251724713974737,-0.00536987908253328,0.00031141223968095266,-0.012422684152417651,0.5468859409874718,0.5535895710910468
m00_baseline_grw_negbin,12477132,1.4662059314842915,1.249715326952098,30.560649359260648,0.9999993434669794,0.4212028287031338,0.2528787188870507,0.32591779587679504,-0.0002934313496115726,-0.00413485217487064,0.0012855703963558507,-0.011955996164773608,0.5041763568507747,0.5317475593695845
m00_baseline_grw_negbin,12476800,1.6697925992964473,1.4999167921412804,30.560649359260648,0.9999977973792296,0.41970001508227733,0.23075424484034865,0.3495435374566076,0.0003888485358484739,-0.006729872801093606,-0.0011318931398296428,-0.014032438175465733,0.6051101520501702,0.6123948239199597
m05_wealth_grw_negbin,12477128,1.4589172273822815,1.1657875186145907,30.69834287562655,0.9999996125051158,0.43755045793303043,0.25696320462560707,0.30548594994647055,-0.0008166796985969449,-0.0036131904329348985,0.0017720734719699482,-0.011527695980235841,0.48354916105989343,0.5148138072318862
m05_wealth_grw_negbin,12477134,1.542089024402496,1.2893462417821626,30.69834287562655,0.9999992135596609,0.4317423197697255,0.24631979802969528,0.32193709576024254,-0.0004131042439717847,-0.00483567877447777,0.0007859946123849326,-0.012553971175637058,0.5316741386202198,0.5537301329998189
m05_wealth_grw_negbin,12477131,1.5942308781107206,1.6255980558981684,30.69834287562655,0.9999975668821407,0.379033651882786,0.22955231686204705,0.39141159813731125,0.00172104360389419,-0.007033744849289869,-0.0015361585612431727,-0.014309844703611851,0.6148066089414244,0.6214985210876866
m05_wealth_grw_negbin,12477135,1.5459314571304932,1.2092844588327314,30.69834287562655,0.999999245578407,0.4495670026395593,0.24884998055861976,0.30158226238023833,-0.0010216160280689945,-0.0044188518473430305,0.0011460800061794396,-0.012089994318463582,0.5140197790394875,0.5369278604059505
m05_wealth_grw_negbin,12477132,1.5877404679926017,1.3836145811472076,30.69834287562655,0.9999990533870972,0.42376464997636176,0.23976005722782245,0.3364743461829005,5.03083988391273e-5,-0.0056804810432892205,6.56081839342515e-5,-0.013304342134538127,0.5639332179072265,0.5806844644564694
