model,scope,n_obs,n_fixtures,delta,lo,hi,p_negative,significant
m05_joint_grw_baseline,all,2899,627,0.0013357743712787487,-0.004733127144713513,0.007441744338648076,0.3367,false
m05_joint_grw_baseline,1X2,1785,595,0.0024655499002427467,-0.005901454320297172,0.010530088328317167,0.276,false
m05_joint_grw_baseline,OU2.5,758,379,-1.7047004933497493e-5,-0.013017191874681701,0.01319885220878266,0.4992,false
m05_joint_grw_baseline,BTTS,356,178,-0.001448525392855667,-0.01374855421365954,0.01109218121377576,0.5907,false
m05_joint_grw_baseline,OU1.5,430,215,-0.006576963112604864,-0.022733026905792184,0.00845996369641288,0.8011,false
m05_joint_grw_baseline,OU3.5,528,264,0.0018898212447325173,-0.015022085260303361,0.019031379993582433,0.424,false
m05_joint_grw_supremacy_w040,all,2899,627,-0.000469039991408983,-0.0060751301038009875,0.005127635951740231,0.5635,false
m05_joint_grw_supremacy_w040,1X2,1785,595,0.0002586759817280122,-0.0069897967619699,0.007280026900225864,0.4602,false
m05_joint_grw_supremacy_w040,OU2.5,758,379,-0.0019218380776577987,-0.01511979210551471,0.011556054962361399,0.6096,false
m05_joint_grw_supremacy_w040,BTTS,356,178,-0.0010245233135239714,-0.013965171570072002,0.012078240087969132,0.5616,false
m05_joint_grw_supremacy_w040,OU1.5,430,215,-0.004430946874876117,-0.02096844599506348,0.010760122250873005,0.7046,false
m05_joint_grw_supremacy_w040,OU3.5,528,264,0.0008523716244715693,-0.016161015221436734,0.018375911785587493,0.4747,false
m05_joint_grw_smile_supremacy_w020,all,2899,627,-0.000657673486348785,-0.006099223366024627,0.004685638984716414,0.5813,false
m05_joint_grw_smile_supremacy_w020,1X2,1785,595,-0.000672218689145651,-0.009074285184042966,0.007488564859895678,0.5569,false
m05_joint_grw_smile_supremacy_w020,OU2.5,758,379,-0.002832892178653306,-0.01073429310913489,0.005025062646037121,0.7546,false
m05_joint_grw_smile_supremacy_w020,BTTS,356,178,0.00404676178263783,-0.004102348865941893,0.012076384650280705,0.1611,false
m05_joint_grw_smile_supremacy_w020,OU1.5,430,215,0.0005579576689059524,-0.010267676587316605,0.010700299178062214,0.45,false
m05_joint_grw_smile_supremacy_w020,OU3.5,528,264,-0.0009797644398285331,-0.009980762123365869,0.007708166998243953,0.5844,false
m05_joint_grw_smile_supremacy_w040,all,2899,627,-0.0008952352295053678,-0.006082119565534751,0.004167249552982914,0.6244,false
m05_joint_grw_smile_supremacy_w040,1X2,1785,595,-0.0010290010065396266,-0.008878413208638901,0.006590493899969183,0.596,false
m05_joint_grw_smile_supremacy_w040,OU2.5,758,379,-0.0028959083387623975,-0.010711871489309755,0.004791504022888422,0.7608,false
m05_joint_grw_smile_supremacy_w040,BTTS,356,178,0.0040353325480872795,-0.0038523375324809195,0.011795066278118835,0.1538,false
m05_joint_grw_smile_supremacy_w040,OU1.5,430,215,0.0003677645283172534,-0.010355369091490495,0.010241181286592646,0.4616,false
m05_joint_grw_smile_supremacy_w040,OU3.5,528,264,-0.0014853452619433586,-0.010142898626840173,0.00689711957267454,0.6312,false
m05_joint_grw_smile_supremacy_w070,all,2899,627,-0.000849658928213413,-0.005746299926947636,0.0039736731887107975,0.6291,false
m05_joint_grw_smile_supremacy_w070,1X2,1785,595,-0.0008146570928054109,-0.008050492716795678,0.0062410712408779555,0.5789,false
m05_joint_grw_smile_supremacy_w070,OU2.5,758,379,-0.0031948647856303533,-0.01098804453600808,0.0043993726484912055,0.7854,false
m05_joint_grw_smile_supremacy_w070,BTTS,356,178,0.00396828422829995,-0.0037817096142812087,0.011722518033721971,0.158,false
m05_joint_grw_smile_supremacy_w070,OU1.5,430,215,-0.00021750065077499824,-0.01098936216323805,0.009506386673528903,0.5055,false
m05_joint_grw_smile_supremacy_w070,OU3.5,528,264,-0.0019318041400316567,-0.010510580913523884,0.00633050063182848,0.6733,false
