pair,bet_set,owner,n_bets,win_rate_pct,roi_pct,edge_mean_pp,capture_ratio
m05_joint_grw_supremacy_w040 vs baseline,shared,m05_joint_grw_supremacy_w040,1074,35.567970204841714,13.099898528331721,4.220010622966456,1.0926851791520362
m05_joint_grw_supremacy_w040 vs baseline,shared,baseline,1074,35.567970204841714,13.542174384104268,4.709696412207019,1.0638401821424375
m05_joint_grw_supremacy_w040 vs baseline,exclusive,m05_joint_grw_supremacy_w040,170,42.35294117647059,7.221762281421776,0.8187814198669868,1.5066275680906314
m05_joint_grw_supremacy_w040 vs baseline,exclusive,baseline,173,32.947976878612714,-25.76520937006117,0.49557019056114676,1.1340028528315576
m05_joint_grw_smile_supremacy_w020 vs baseline,shared,m05_joint_grw_smile_supremacy_w020,978,32.0040899795501,15.936687837013471,4.441518812019057,1.0171626494833514
m05_joint_grw_smile_supremacy_w020 vs baseline,shared,baseline,978,32.0040899795501,13.105617555348012,4.561401685298852,1.0913731186018218
m05_joint_grw_smile_supremacy_w020 vs baseline,exclusive,m05_joint_grw_smile_supremacy_w020,262,41.221374045801525,13.798848927401986,1.2042995213232135,1.394542305651271
m05_joint_grw_smile_supremacy_w020 vs baseline,exclusive,baseline,269,46.84014869888476,4.444721857386497,2.5386495964875113,1.4953737300206074
m05_joint_grw_smile_supremacy_w040 vs baseline,shared,m05_joint_grw_smile_supremacy_w040,960,31.770833333333332,16.34984671336176,4.187360207466789,1.0508665114050961
m05_joint_grw_smile_supremacy_w040 vs baseline,shared,baseline,960,31.770833333333332,11.645896072308105,4.629179028522411,1.0722879158278336
m05_joint_grw_smile_supremacy_w040 vs baseline,exclusive,m05_joint_grw_smile_supremacy_w040,277,41.51624548736462,11.875781868580635,1.2434843058134917,1.2410200036083354
m05_joint_grw_smile_supremacy_w040 vs baseline,exclusive,baseline,287,46.68989547038328,11.822704752610077,2.438800426118131,1.7353789048723423
m05_joint_grw_smile_supremacy_w070 vs baseline,shared,m05_joint_grw_smile_supremacy_w070,938,32.51599147121535,16.236135127172215,3.9390612335463406,1.0323140514160758
m05_joint_grw_smile_supremacy_w070 vs baseline,shared,baseline,938,32.51599147121535,13.554662720363961,4.673220114790853,1.0594313159984095
m05_joint_grw_smile_supremacy_w070 vs baseline,exclusive,m05_joint_grw_smile_supremacy_w070,293,43.003412969283275,10.741183672015088,1.2918122717509377,1.1232424846726907
m05_joint_grw_smile_supremacy_w070 vs baseline,exclusive,baseline,309,43.36569579288026,3.339122121485016,2.4610586472608365,1.6173036777163863
