arm,match_id,group,line,selection,side,effective_odds,p_model,p_market,edge,risk,score,outcome,net_pnl,fixture
live_optB,16362609,OverUnder,2.5,under_25,lay,2.3513513513513513,0.47584167009236233,0.42387921329713263,0.051962456795229706,11.681313759802503,5-1,lose,-11.681313759802503,the-spartans-fc v forfar-athletic
live_optB,16362618,OverUnder,2.5,under_25,lay,2.587553579933323,0.4334338605788039,0.383556747839196,0.049877112739607876,9.96734529324696,4-1,lose,-9.96734529324696,clyde-fc v kelty-hearts-fc
live_optB,16362438,OverUnder,2.5,under_25,back,2.74,0.4294774519488358,0.3583138173302107,0.07116363461862507,9.27336430952862,3-1,lose,-9.27336430952862,east-kilbride v peterhead
live_optB,16362438,1X2,0.0,away,back,4.5,0.2706964822847555,0.21766784452296822,0.05302863776178729,6.09866745872122,3-1,lose,-6.09866745872122,east-kilbride v peterhead
live_optB,16362609,1X2,0.0,away,back,5.1,0.24601947870196064,0.19020605656127476,0.05581342214068588,5.97096272699336,5-1,lose,-5.97096272699336,the-spartans-fc v forfar-athletic
live_optB,16362605,OverUnder,2.5,under_25,back,2.44,0.43596410905060345,0.4058441558441559,0.03011995320644756,4.971444729682672,2-0,win,7.015702802528185,annan-athletic v elgin-city
live_optB,16362612,1X2,0.0,away,back,4.5,0.26394941792831017,0.21621621621621623,0.04773320171209394,4.938124388912587,7-3,lose,-4.938124388912587,edinburgh-city-fc v stirling-albion
live_optB,16362607,1X2,0.0,away,back,4.5,0.2590978508432573,0.21741406386320014,0.041683786980057175,4.36236854947847,3-1,lose,-4.36236854947847,stranraer v dumbarton
live_optB,16362607,OverUnder,2.5,under_25,back,2.38,0.44386881567204994,0.41234567901234565,0.0315231366597043,3.2252355100478236,3-1,lose,-3.2252355100478236,stranraer v dumbarton
live_optB,16362618,1X2,0.0,away,back,3.85,0.2833760064175073,0.25082164589502454,0.032554360522482784,3.0005188043548245,4-1,lose,-3.0005188043548245,clyde-fc v kelty-hearts-fc
live_optB,16362605,1X2,0.0,home,back,2.62,0.39612366221640444,0.3721998512967366,0.02392381091966783,2.808999965333077,2-0,win,4.459568344962793,annan-athletic v elgin-city
live_optB,16362439,1X2,0.0,away,back,3.85,0.2840010889123711,0.2527359074953541,0.03126518141701701,2.7362748064596043,2-1,lose,-2.7362748064596043,montrose v cove-rangers
live_optB,16362612,OverUnder,2.5,under_25,back,2.24,0.46078736711521584,0.4371859296482412,0.02360143746697463,2.6398911724694893,7-3,lose,-2.6398911724694893,edinburgh-city-fc v stirling-albion
live_optB,16362437,1X2,0.0,away,back,3.2,0.32420724292486697,0.3032960387057756,0.020911204219091373,1.0649092909016646,1-0,lose,-1.0649092909016646,airdrieonians v alloa-athletic
live_optB,16362438,1X2,0.0,draw,back,4.4,0.23568772187719808,0.22261484098939932,0.01307288088779876,1.0407222437799064,3-1,lose,-1.0407222437799064,east-kilbride v peterhead
base_raw,16362609,OverUnder,2.5,under_25,lay,2.3513513513513513,0.5932338561384122,0.42387921329713263,0.16935464284127955,20.746461379814775,5-1,lose,-20.746461379814775,the-spartans-fc v forfar-athletic
base_raw,16362439,1X2,0.0,away,back,3.85,0.3821434427572044,0.2527359074953541,0.12940753526185034,14.040079813490015,2-1,lose,-14.040079813490015,montrose v cove-rangers
base_raw,16362618,OverUnder,2.5,under_25,lay,2.587553579933323,0.4830718123279136,0.383556747839196,0.09951506448871755,13.589046866191595,4-1,lose,-13.589046866191595,clyde-fc v kelty-hearts-fc
base_raw,16362437,1X2,0.0,away,back,3.2,0.4278163067556188,0.3032960387057756,0.12452026804984323,13.450824736385394,1-0,lose,-13.450824736385394,airdrieonians v alloa-athletic
base_raw,16362438,OverUnder,2.5,under_25,back,2.74,0.45144139796031596,0.3583138173302107,0.09312758063010523,9.189558252383106,3-1,lose,-9.189558252383106,east-kilbride v peterhead
base_raw,16362612,1X2,0.0,away,back,4.5,0.2933144487150138,0.21621621621621623,0.07709823249879755,7.443572424479015,7-3,lose,-7.443572424479015,edinburgh-city-fc v stirling-albion
base_raw,16362618,1X2,0.0,home,back,1.88,0.5455996634669417,0.513650711008428,0.0319489524585137,7.383118148403404,4-1,win,6.3672010911830945,clyde-fc v kelty-hearts-fc
base_raw,16362607,1X2,0.0,away,back,4.5,0.28913440512512745,0.21741406386320014,0.0717203412619273,7.345703913928544,3-1,lose,-7.345703913928544,stranraer v dumbarton
base_raw,16362609,1X2,0.0,away,back,5.1,0.26457665283017706,0.19020605656127476,0.0743705962689023,6.782026017881068,5-1,lose,-6.782026017881068,the-spartans-fc v forfar-athletic
base_raw,16362438,1X2,0.0,away,back,4.5,0.2814221985157386,0.21766784452296822,0.06375435399277035,6.43175074321165,3-1,lose,-6.43175074321165,east-kilbride v peterhead
base_raw,16362440,1X2,0.0,home,back,2.48,0.44025633156001687,0.39220255905215834,0.04805377250785853,6.302544629534676,1-1,lose,-6.302544629534676,queen-of-the-south v east-fife
base_raw,16362605,OverUnder,2.5,under_25,back,2.44,0.4484474853074187,0.4058441558441559,0.042603329463262785,5.3827534808755475,2-0,win,7.596141712211573,annan-athletic v elgin-city
base_raw,16362607,1X2,0.0,draw,back,4.2,0.2358372325884608,0.23294363985342872,0.0028935927350320634,1.6863724035319558,3-1,lose,-1.6863724035319558,stranraer v dumbarton
base_raw,16362438,1X2,0.0,draw,back,4.4,0.240867932304264,0.22261484098939932,0.01825309131486469,1.5380411374442033,3-1,lose,-1.5380411374442033,east-kilbride v peterhead
base_raw,16362605,1X2,0.0,away,back,2.56,0.40135052323678005,0.3809232853115039,0.020427237925276176,1.3638324375848274,2-0,lose,-1.3638324375848274,annan-athletic v elgin-city
base_raw,16362439,1X2,0.0,draw,back,3.6,0.24869994542335896,0.2702870121825315,-0.02158706675917252,1.3047094152255014,2-1,lose,-1.3047094152255014,montrose v cove-rangers
base_raw,16362609,1X2,0.0,draw,back,4.0,0.2749767329346996,0.24251272211562527,0.032464010819074324,1.0196041996347203,5-1,lose,-1.0196041996347203,the-spartans-fc v forfar-athletic
base_optB,16362609,OverUnder,2.5,under_25,lay,2.3513513513513513,0.5169792208990979,0.42387921329713263,0.09310000760196524,17.99745834454138,5-1,lose,-17.99745834454138,the-spartans-fc v forfar-athletic
base_optB,16362618,OverUnder,2.5,under_25,lay,2.587553579933323,0.4253648607691791,0.383556747839196,0.0418081129299831,7.958917136255366,4-1,lose,-7.958917136255366,clyde-fc v kelty-hearts-fc
base_optB,16362438,OverUnder,2.5,under_25,back,2.74,0.39931653388419,0.3583138173302107,0.041002716553979246,6.297630660920214,3-1,lose,-6.297630660920214,east-kilbride v peterhead
base_optB,16362439,1X2,0.0,away,back,3.85,0.3080755094209891,0.2527359074953541,0.05533960192563503,5.94709129967555,2-1,lose,-5.94709129967555,montrose v cove-rangers
base_optB,16362609,1X2,0.0,away,back,5.1,0.24509087089203987,0.19020605656127476,0.054884814330765114,5.760425797788569,5-1,lose,-5.760425797788569,the-spartans-fc v forfar-athletic
base_optB,16362437,1X2,0.0,away,back,3.2,0.355124484572329,0.3032960387057756,0.051828445866553385,5.514190323289408,1-0,lose,-5.514190323289408,airdrieonians v alloa-athletic
base_optB,16362612,1X2,0.0,away,back,4.5,0.2474428692779681,0.21621621621621623,0.031226653061751874,2.7680309540865564,7-3,lose,-2.7680309540865564,edinburgh-city-fc v stirling-albion
base_optB,16362438,1X2,0.0,away,back,4.5,0.24420490095561878,0.21766784452296822,0.026537056432650558,2.465858326760156,3-1,lose,-2.465858326760156,east-kilbride v peterhead
base_optB,16362607,1X2,0.0,away,back,4.5,0.2438272666993118,0.21741406386320014,0.02641320283611165,2.3018019725253507,3-1,lose,-2.3018019725253507,stranraer v dumbarton
base_optB,16362618,1X2,0.0,home,back,1.88,0.5350939818880356,0.513650711008428,0.021443270879607623,1.580262773815323,4-1,win,1.3628186161383344,clyde-fc v kelty-hearts-fc
base_optB,16362605,OverUnder,2.5,under_25,back,2.44,0.42100183085424303,0.4058441558441559,0.015157675010087135,1.4773717514232951,2-0,win,2.084867015608554,annan-athletic v elgin-city
sup040_raw,16362609,OverUnder,2.5,under_25,lay,2.3513513513513513,0.5902021363530082,0.42387921329713263,0.1663229230558756,24.707086337210722,5-1,lose,-24.707086337210722,the-spartans-fc v forfar-athletic
sup040_raw,16362440,1X2,0.0,home,back,2.48,0.48817276406546534,0.39220255905215834,0.095970205013307,20.60641358235912,1-1,lose,-20.60641358235912,queen-of-the-south v east-fife
sup040_raw,16362618,OverUnder,2.5,under_25,lay,2.587553579933323,0.4708459503665979,0.383556747839196,0.08728920252740185,13.89758405714927,4-1,lose,-13.89758405714927,clyde-fc v kelty-hearts-fc
sup040_raw,16362439,1X2,0.0,away,back,3.85,0.3463768000966829,0.2527359074953541,0.09364089260132885,11.433597741577387,2-1,lose,-11.433597741577387,montrose v cove-rangers
sup040_raw,16362607,1X2,0.0,away,back,4.5,0.2995300922253608,0.21741406386320014,0.08211602836216067,10.492457874871779,3-1,lose,-10.492457874871779,stranraer v dumbarton
sup040_raw,16362438,OverUnder,2.5,under_25,back,2.74,0.4343447172961949,0.3583138173302107,0.07603089996598417,9.404580316153854,3-1,lose,-9.404580316153854,east-kilbride v peterhead
sup040_raw,16362437,1X2,0.0,away,back,3.2,0.37422173629621297,0.3032960387057756,0.07092569759043738,8.46227846130139,1-0,lose,-8.46227846130139,airdrieonians v alloa-athletic
sup040_raw,16362612,1X2,0.0,away,back,4.5,0.2776252642045896,0.21621621621621623,0.06140904798837338,6.926885790706776,7-3,lose,-6.926885790706776,edinburgh-city-fc v stirling-albion
sup040_raw,16362605,OverUnder,2.5,under_25,back,2.44,0.44774797916415426,0.4058441558441559,0.04190382331999837,5.8290459080635975,2-0,win,8.225949585459349,annan-athletic v elgin-city
sup040_raw,16362609,1X2,0.0,away,back,5.1,0.23643579242843174,0.19020605656127476,0.04622973586715698,4.333488734437152,5-1,lose,-4.333488734437152,the-spartans-fc v forfar-athletic
sup040_raw,16362607,1X2,0.0,draw,back,4.2,0.23973178109194979,0.23294363985342872,0.0067881412385210615,2.9225964607349635,3-1,lose,-2.9225964607349635,stranraer v dumbarton
sup040_raw,16362618,1X2,0.0,home,back,1.88,0.5264077094280533,0.513650711008428,0.012756998419625298,1.7856983695109145,4-1,win,1.5399862738662125,clyde-fc v kelty-hearts-fc
sup040_raw,16362438,1X2,0.0,away,back,4.5,0.23859870280604414,0.21766784452296822,0.02093085828307592,1.616323978504875,3-1,lose,-1.616323978504875,east-kilbride v peterhead
sup040_raw,16362440,1X2,0.0,draw,back,3.7,0.2453639485380862,0.26288171525658177,-0.01751776671849556,1.5418285017142943,1-1,win,4.079678215536023,queen-of-the-south v east-fife
sup040_raw,16362607,OverUnder,2.5,under_25,back,2.38,0.4325127534811824,0.41234567901234565,0.020167074468836754,1.0401338857039066,3-1,lose,-1.0401338857039066,stranraer v dumbarton
sup040_optB,16362609,OverUnder,2.5,under_25,lay,2.3513513513513513,0.5041980538715176,0.42387921329713263,0.08031884057438499,15.119139666699487,5-1,lose,-15.119139666699487,the-spartans-fc v forfar-athletic
sup040_optB,16362618,OverUnder,2.5,under_25,lay,2.587553579933323,0.4167193312474509,0.383556747839196,0.0331625834082549,5.510453073713533,4-1,lose,-5.510453073713533,clyde-fc v kelty-hearts-fc
sup040_optB,16362439,1X2,0.0,away,back,3.85,0.29164832689144726,0.2527359074953541,0.03891241939609319,3.5800895724235247,2-1,lose,-3.5800895724235247,montrose v cove-rangers
sup040_optB,16362609,1X2,0.0,away,back,5.1,0.22693300432333144,0.19020605656127476,0.03672694776205668,3.3664661877945754,5-1,lose,-3.3664661877945754,the-spartans-fc v forfar-athletic
sup040_optB,16362440,1X2,0.0,home,back,2.48,0.4231669655897763,0.39220255905215834,0.03096440653761795,3.355385972100125,1-1,lose,-3.355385972100125,queen-of-the-south v east-fife
sup040_optB,16362438,OverUnder,2.5,under_25,back,2.74,0.38537178089101476,0.3583138173302107,0.027057963560804033,3.3031035514108513,3-1,lose,-3.3031035514108513,east-kilbride v peterhead
sup040_optB,16362607,1X2,0.0,away,back,4.5,0.24782029156461233,0.21741406386320014,0.030406227701412186,2.685291645248483,3-1,lose,-2.685291645248483,stranraer v dumbarton
sup040_optB,16362437,1X2,0.0,away,back,3.2,0.3335302466016669,0.3032960387057756,0.03023420789589132,2.2975222117301803,1-0,lose,-2.2975222117301803,airdrieonians v alloa-athletic
sup040_optB,16362612,1X2,0.0,away,back,4.5,0.24184110178469787,0.21621621621621623,0.025624885568481637,1.958339097638746,7-3,lose,-1.958339097638746,edinburgh-city-fc v stirling-albion
sup040_optB,16362605,OverUnder,2.5,under_25,back,2.44,0.42033226999544504,0.4058441558441559,0.014488114151289144,1.2611451745314404,2-0,win,1.7797280702987686,annan-athletic v elgin-city
smile020_raw,16362609,OverUnder,2.5,under_25,lay,2.3513513513513513,0.5192785285943469,0.42387921329713263,0.09539931529721424,17.76242974259171,5-1,lose,-17.76242974259171,the-spartans-fc v forfar-athletic
smile020_raw,16362440,1X2,0.0,home,back,2.48,0.48300267130013785,0.39220255905215834,0.09080011224797951,17.092772426723453,1-1,lose,-17.092772426723453,queen-of-the-south v east-fife
smile020_raw,16362618,OverUnder,2.5,under_25,lay,2.587553579933323,0.4611386231272911,0.383556747839196,0.07758187528809507,12.511530228570939,4-1,lose,-12.511530228570939,clyde-fc v kelty-hearts-fc
smile020_raw,16362439,1X2,0.0,away,back,3.85,0.347965796478167,0.2527359074953541,0.09522988898281293,10.599347501069145,2-1,lose,-10.599347501069145,montrose v cove-rangers
smile020_raw,16362607,1X2,0.0,away,back,4.5,0.30348545624053225,0.21741406386320014,0.0860713923773321,9.877928500882668,3-1,lose,-9.877928500882668,stranraer v dumbarton
smile020_raw,16362438,OverUnder,2.5,under_25,back,2.74,0.4113128198962408,0.3583138173302107,0.05299900256603007,7.905261117447826,3-1,lose,-7.905261117447826,east-kilbride v peterhead
smile020_raw,16362437,1X2,0.0,away,back,3.2,0.3756533604455724,0.3032960387057756,0.07235732173979681,7.66571515149178,1-0,lose,-7.66571515149178,airdrieonians v alloa-athletic
smile020_raw,16362609,1X2,0.0,away,back,5.1,0.264794386893814,0.19020605656127476,0.07458833033253925,7.473733088859317,5-1,lose,-7.473733088859317,the-spartans-fc v forfar-athletic
smile020_raw,16362612,1X2,0.0,away,back,4.5,0.2865500371511113,0.21621621621621623,0.0703338209348951,7.311507923412635,7-3,lose,-7.311507923412635,edinburgh-city-fc v stirling-albion
smile020_raw,16362605,OverUnder,2.5,under_25,back,2.44,0.45307993329172513,0.4058441558441559,0.04723577744756924,6.780496040703596,2-0,win,9.568636012640914,annan-athletic v elgin-city
smile020_raw,16362607,OverUnder,2.5,under_25,back,2.38,0.46114965931863217,0.41234567901234565,0.04880398030628652,3.631547776538144,3-1,lose,-3.631547776538144,stranraer v dumbarton
smile020_raw,16362438,1X2,0.0,away,back,4.5,0.2551497594779457,0.21766784452296822,0.03748191495497749,3.4574269049981488,3-1,lose,-3.4574269049981488,east-kilbride v peterhead
