arm,n_legs,risk,net_pnl,n_away,away_risk,away_net,n_home,home_risk,home_net,n_under25,n_wins
live_optB,15,73.78014300971279,-54.52442716720605,7,28.171826025821733,-28.171826025821733,1,2.808999965333077,4.459568344962793,6,2
base_raw,17,125.00000000000001,-98.2707855673264,7,56.85779008696051,-56.85779008696051,2,13.68566277793808,0.06465646164841843,4,2
base_optB,11,60.069039341081165,-53.56371918409566,6,24.75739867412559,-24.75739867412559,1,1.580262773815323,1.3628186161383344,4,2
sup040_raw,15,125.0,-101.99781314584962,6,43.26503258139936,-43.26503258139936,2,22.392111951870035,-19.06642730849291,5,3
sup040_optB,10,42.43693615329095,-39.39606290846074,5,13.88770871483551,-13.88770871483551,1,3.355385972100125,-3.355385972100125,4,1
smile020_raw,18,124.73731653229622,-91.04475932235826,6,46.3856590707137,-46.3856590707137,3,22.843761092640086,-10.460702828849362,5,4
smile020_optB,11,39.473496398246475,-34.20468055963099,5,14.552474144426034,-14.552474144426034,1,2.869068333956832,-2.869068333956832,5,1
smile040_raw,17,123.94367855368598,-78.84771389607239,6,40.59676325511343,-40.59676325511343,3,27.366921629402754,-11.639023841976954,6,4
smile040_optB,11,36.180169934692046,-28.879113213996344,5,12.637788523180024,-12.637788523180024,1,4.080720364019438,-4.080720364019438,5,1
smile070_raw,15,124.03799942151241,-69.3982836540195,5,33.5009694489699,-33.5009694489699,2,31.05751371437263,-15.67745997672439,6,3
smile070_optB,10,31.412584490521283,-21.360604181832258,5,10.054854991855375,-10.054854991855375,1,5.295441461278665,-5.295441461278665,4,1
live ledger (realised fills),11,55.73,-45.88999999999999,6,NaN,NaN,0,NaN,NaN,5,-1
