model,fold,site,mean,rhat,ess_bulk,ess_tail
m05_joint_grw_supremacy_w040,1,σ_sup,0.2096856760487991,1.0038686452518322,3280.520995711302,1425.643558128808
m05_joint_grw_supremacy_w040,2,σ_sup,0.21109687264202584,0.9992883494064395,2616.1911750614704,1468.3484824607092
m05_joint_grw_smile_supremacy_w040,1,σ_sup,0.21639093912562818,1.002980988314349,3312.227909427181,1365.1413261960367
m05_joint_grw_smile_supremacy_w040,1,σ_smile,0.05301643457455191,1.003306606127435,3609.544460630358,1315.380677807448
m05_joint_grw_smile_supremacy_w040,1,log_φ[1],-0.18441320858761212,1.000578444802679,641.6237619600067,824.620146138912
m05_joint_grw_smile_supremacy_w040,1,log_φ[2],-0.03785921428756859,1.0007858843865698,640.0414701172398,868.5969103791275
m05_joint_grw_smile_supremacy_w040,1,log_φ[3],-0.011702067649983416,1.0010229812071365,642.3571031942358,870.9731698119309
m05_joint_grw_smile_supremacy_w040,1,log_φ[4],0.014197094970116442,1.0006865098116284,654.9064195880235,841.1584486988044
m05_joint_grw_smile_supremacy_w040,1,log_φ[5],0.05381190746639248,1.0013492751899038,660.7959167935192,968.888165651652
m05_joint_grw_smile_supremacy_w040,2,σ_sup,0.21818730224636443,1.0010052370879905,3540.9252327580293,1613.453010655065
m05_joint_grw_smile_supremacy_w040,2,σ_smile,0.05276519537348436,1.0044459683894094,3837.160658923665,1716.9769508688619
m05_joint_grw_smile_supremacy_w040,2,log_φ[1],-0.18012573101609897,1.001756581670592,699.6088090775884,1063.0460194707048
m05_joint_grw_smile_supremacy_w040,2,log_φ[2],-0.03373949097631569,1.0015461503394378,709.7306261203606,1054.6259150855965
m05_joint_grw_smile_supremacy_w040,2,log_φ[3],-0.007383438622098056,1.0016259801198024,696.9826177670179,1057.924177252844
m05_joint_grw_smile_supremacy_w040,2,log_φ[4],0.018416511820615687,1.0016181199416652,664.8439224291005,1036.5746657710333
m05_joint_grw_smile_supremacy_w040,2,log_φ[5],0.057871224488823786,1.0016393355290558,690.7466538937357,965.2912700481768
