environment,question,pair,bet_set,owner,n_bets,win_rate_pct,roi_pct,edge_mean_pp,capture_ratio
t25,Q1 raw lead at T−25,m05_joint_grw_smile_supremacy_w020[raw] − m05_joint_grw_baseline[raw],shared,a,862,32.25058004640371,19.478919370497614,4.580259353772961,0.9722836518036514
t25,Q1 raw lead at T−25,m05_joint_grw_smile_supremacy_w020[raw] − m05_joint_grw_baseline[raw],shared,b,862,32.25058004640371,15.069871451476615,4.755994250926878,1.0586955612103202
t25,Q1 raw lead at T−25,m05_joint_grw_smile_supremacy_w020[raw] − m05_joint_grw_baseline[raw],exclusive,a,249,40.562248995983936,-3.740296408629667,1.1559663748337725,0.7928513346393539
t25,Q1 raw lead at T−25,m05_joint_grw_smile_supremacy_w020[raw] − m05_joint_grw_baseline[raw],exclusive,b,262,45.80152671755725,9.739911762259618,2.1520087836399124,2.6755885791139944
t25,"Q2 beyond L2, smile kept",m05_joint_grw_smile_supremacy_w020[t25_inv_pooltot] − m05_joint_grw_baseline[t25_inv],shared,a,786,33.33333333333333,24.390152309666178,2.268132230918726,0.9466674604676748
t25,"Q2 beyond L2, smile kept",m05_joint_grw_smile_supremacy_w020[t25_inv_pooltot] − m05_joint_grw_baseline[t25_inv],shared,b,786,33.33333333333333,18.969075926417634,2.525167171661547,1.0615541357970588
t25,"Q2 beyond L2, smile kept",m05_joint_grw_smile_supremacy_w020[t25_inv_pooltot] − m05_joint_grw_baseline[t25_inv],exclusive,a,169,39.053254437869825,-6.649031642478409,0.7258282075671523,0.7924440825962231
t25,"Q2 beyond L2, smile kept",m05_joint_grw_smile_supremacy_w020[t25_inv_pooltot] − m05_joint_grw_baseline[t25_inv],exclusive,b,183,49.18032786885246,8.824467804097472,1.6549227382814533,1.4631772494215551
t25,"Q3 beyond L2, smile dropped",m05_joint_grw_smile_supremacy_w020[t25_inv_grid] − m05_joint_grw_baseline[t25_inv],shared,a,786,33.33333333333333,24.390152309666178,2.296860421363736,0.9774723749128742
t25,"Q3 beyond L2, smile dropped",m05_joint_grw_smile_supremacy_w020[t25_inv_grid] − m05_joint_grw_baseline[t25_inv],shared,b,786,33.33333333333333,18.969075926417634,2.525167171661547,1.0615541357970588
t25,"Q3 beyond L2, smile dropped",m05_joint_grw_smile_supremacy_w020[t25_inv_grid] − m05_joint_grw_baseline[t25_inv],exclusive,a,169,39.053254437869825,-6.649031642478409,0.8069334499199086,1.0299284717074102
t25,"Q3 beyond L2, smile dropped",m05_joint_grw_smile_supremacy_w020[t25_inv_grid] − m05_joint_grw_baseline[t25_inv],exclusive,b,183,49.18032786885246,8.824467804097472,1.6549227382814533,1.4631772494215551
t25,Q4 pillar instead of L2,m05_joint_grw_smile_supremacy_w020[raw] − m05_joint_grw_baseline[t25_inv],shared,a,764,32.98429319371728,21.264249447980344,5.0579554339354775,0.9252224519329404
t25,Q4 pillar instead of L2,m05_joint_grw_smile_supremacy_w020[raw] − m05_joint_grw_baseline[t25_inv],shared,b,764,32.98429319371728,19.63635510092559,2.651712515672839,1.0709463854128318
t25,Q4 pillar instead of L2,m05_joint_grw_smile_supremacy_w020[raw] − m05_joint_grw_baseline[t25_inv],exclusive,a,347,36.59942363112392,-6.3060139539349285,1.0713003998824118,1.0601252035121083
t25,Q4 pillar instead of L2,m05_joint_grw_smile_supremacy_w020[raw] − m05_joint_grw_baseline[t25_inv],exclusive,b,205,48.78048780487805,7.026385659411942,1.2767019319874775,1.833466074501654
close,close reference (r06),m05_joint_grw_smile_supremacy_w020[raw] − m05_joint_grw_baseline[raw],shared,a,978,32.0040899795501,15.936687837013471,4.441518812019057,1.0171626494833514
close,close reference (r06),m05_joint_grw_smile_supremacy_w020[raw] − m05_joint_grw_baseline[raw],shared,b,978,32.0040899795501,13.105617555348012,4.561401685298852,1.0913731186018218
close,close reference (r06),m05_joint_grw_smile_supremacy_w020[raw] − m05_joint_grw_baseline[raw],exclusive,a,262,41.221374045801525,13.798848927401986,1.2042995213232135,1.394542305651271
close,close reference (r06),m05_joint_grw_smile_supremacy_w020[raw] − m05_joint_grw_baseline[raw],exclusive,b,269,46.84014869888476,4.444721857386497,2.5386495964875113,1.4953737300206074
t25,Q1 raw lead at T−25,m05_joint_grw_smile_supremacy_w040[raw] − m05_joint_grw_baseline[raw],shared,a,837,32.13859020310633,19.567535696433072,4.343561272902151,0.9856564636587327
t25,Q1 raw lead at T−25,m05_joint_grw_smile_supremacy_w040[raw] − m05_joint_grw_baseline[raw],shared,b,837,32.13859020310633,14.951844541628803,4.8321001633917176,1.0515048819346866
t25,Q1 raw lead at T−25,m05_joint_grw_smile_supremacy_w040[raw] − m05_joint_grw_baseline[raw],exclusive,a,250,41.199999999999996,-3.219108775691262,1.2514826337570573,0.944191352205443
t25,Q1 raw lead at T−25,m05_joint_grw_smile_supremacy_w040[raw] − m05_joint_grw_baseline[raw],exclusive,b,287,44.94773519163763,10.608867666719284,2.156883306110648,2.5879350514736004
t25,"Q2 beyond L2, smile kept",m05_joint_grw_smile_supremacy_w040[t25_inv_pooltot] − m05_joint_grw_baseline[t25_inv],shared,a,770,33.63636363636363,25.053015382226462,2.1287819336857403,0.9463241815274457
