question,environment,pair,return_a_pct,return_b_pct,roi_a_pct,roi_b_pct,delta_roi_pp,n_slates,delta_log_growth_per_slate,lo,hi,p_better,delta_total_log_growth
Q1 raw lead at T−25,t25,m05_joint_grw_smile_supremacy_w020[raw] − m05_joint_grw_baseline[raw],542.3950151493619,531.7811340934728,16.905258132567525,14.152408726635706,2.752849405931819,99,0.00016828662139022513,-0.011244087108156206,0.011939263861052634,0.5129,0.01666037551763229
"Q2 beyond L2, smile kept",t25,m05_joint_grw_smile_supremacy_w020[t25_inv_pooltot] − m05_joint_grw_baseline[t25_inv],242.41387493881032,245.85059998036266,21.778749929959023,17.388934246342636,4.389815683616387,99,-0.00010087599794168431,-0.0051864875069346245,0.005317567983585063,0.4853,-0.009986723796226747
"Q3 beyond L2, smile dropped",t25,m05_joint_grw_smile_supremacy_w020[t25_inv_grid] − m05_joint_grw_baseline[t25_inv],242.41387493881032,245.85059998036266,21.778749929959023,17.388934246342636,4.389815683616387,99,-0.00010087599794168431,-0.0051864875069346245,0.005317567983585063,0.4853,-0.009986723796226747
Q4 pillar instead of L2,t25,m05_joint_grw_smile_supremacy_w020[raw] − m05_joint_grw_baseline[t25_inv],542.3950151493619,245.85059998036266,16.905258132567525,17.388934246342636,-0.4836761137751111,99,0.006254510232604552,-0.007731054489538331,0.020128443233961804,0.8144,0.6191965130278507
close reference (r06),close,m05_joint_grw_smile_supremacy_w020[raw] − m05_joint_grw_baseline[raw],588.421873055331,385.77757677304226,15.707413913401693,11.676122043521175,4.031291869880517,100,0.0034865097941014483,-0.007542665293261156,0.01519668702344721,0.7216,0.34865097941014483
Q1 raw lead at T−25,t25,m05_joint_grw_smile_supremacy_w040[raw] − m05_joint_grw_baseline[raw],479.4433329986316,531.7811340934728,16.803446870834335,14.152408726635706,2.6510381441986297,99,-0.0008734864179902268,-0.012068164096514507,0.010741670568069833,0.4414,-0.08647515538103245
"Q2 beyond L2, smile kept",t25,m05_joint_grw_smile_supremacy_w040[t25_inv_pooltot] − m05_joint_grw_baseline[t25_inv],223.66042820924102,245.85059998036266,22.100087971501146,17.388934246342636,4.7111537251585105,99,-0.0006698180276240508,-0.005894588041815489,0.0048874730021249485,0.4064,-0.06631198473478103
"Q3 beyond L2, smile dropped",t25,m05_joint_grw_smile_supremacy_w040[t25_inv_grid] − m05_joint_grw_baseline[t25_inv],223.66042820924102,245.85059998036266,22.100087971501146,17.388934246342636,4.7111537251585105,99,-0.0006698180276240508,-0.005894588041815489,0.0048874730021249485,0.4064,-0.06631198473478103
Q4 pillar instead of L2,t25,m05_joint_grw_smile_supremacy_w040[raw] − m05_joint_grw_baseline[t25_inv],479.4433329986316,245.85059998036266,16.803446870834335,17.388934246342636,-0.5854873755083005,99,0.0052127371932241,-0.008167143895228315,0.01856653978364944,0.7826,0.5160609821291859
close reference (r06),close,m05_joint_grw_smile_supremacy_w040[raw] − m05_joint_grw_baseline[raw],545.0097874045468,385.77757677304226,15.817992802173645,11.676122043521175,4.14187075865247,100,0.0028351463277032523,-0.008347798899423838,0.014429778836182901,0.6866,0.28351463277032524
