environment,policy,smile_return_pct,baseline_return_pct,smile_roi_pct,baseline_roi_pct,n_slates,delta_log_growth_per_slate,lo,hi,p_better,delta_total_log_growth
close,P0 Option B,545.0097874045468,385.77757677304226,15.817992802173645,11.676122043521175,100,0.0028351463277032523,-0.008347798899423838,0.014429778836182901,0.6866,0.28351463277032524
close,+U0.5,507.36177778063507,311.7406282290149,15.333094670364698,10.565426123253253,100,0.0038873101506906866,-0.007218344026391334,0.01551105507806031,0.7492,0.38873101506906865
close,+U1.5,547.2203435752541,488.1316515292475,15.612843311222791,12.521084745984119,100,0.0009573597846697754,-0.010644960864995216,0.012894400487882825,0.5675,0.09573597846697754
close,+U3.5,556.4260315182105,389.7783199144069,15.362512859685648,11.229794373817379,100,0.0029285713604105925,-0.008503627098622247,0.014957820939408365,0.6897,0.29285713604105923
close,+U4.5,546.5737508475345,425.03453433738906,15.565758330967224,11.870177536341629,100,0.002082232286908032,-0.008913526112460726,0.013516873268618822,0.6423,0.20822322869080317
close,+O2.5,555.2262505559268,346.20587104580187,15.517130989756726,10.767897163351218,100,0.0038420015689602993,-0.007949000215425816,0.016301804076517327,0.7317,0.38420015689602993
close,+O3.5,506.6441500687141,345.8118357025728,14.971484124256264,10.663469001596846,100,0.0030804540548799646,-0.008592386177004856,0.015811603669334973,0.6885,0.30804540548799647
close,+O4.5,595.0663575962252,311.1375967302603,16.219860850088164,10.583243755215932,100,0.005250793758627843,-0.00581847277714219,0.017018608544387623,0.82,0.5250793758627843
close,+BTTS_yes,537.2851058428673,339.93337970878514,15.38979317982976,10.930645116309357,100,0.0037059382563548898,-0.007411924699451856,0.015433985977577395,0.7371,0.370593825635489
close,+BTTS_no,514.306834618835,347.57281855476555,15.290382455469665,11.048144134186986,100,0.0031665528646857093,-0.007942623813250478,0.014786548752693095,0.7063,0.31665528646857094
close,+all_unders,561.9513335642669,487.7788341990486,14.961876428443134,11.700731443432744,100,0.0011884129415274864,-0.010728813627201652,0.013399974481686063,0.5821,0.11884129415274865
close,+all_fringe,614.2380563915309,299.0036879497816,14.297315403005479,8.873952097520645,100,0.005822456592540629,-0.007218309230769555,0.01922024754432274,0.8114,0.5822456592540629
t25,P0 Option B,479.4433329986316,531.7811340934728,16.803446870834335,14.152408726635706,99,-0.0008734864179902268,-0.012068164096514507,0.010741670568069833,0.4414,-0.08647515538103245
t25,+U0.5,450.2875586179691,450.8763985191684,16.408020543685765,13.203065597497721,99,-1.0802893280837198e-5,-0.01127761225772997,0.011634776624715,0.4972,-0.0010694864348028826
t25,+U1.5,481.89984169071687,519.7632374296378,16.729645076131604,13.762851903208427,99,-0.0006367594988486521,-0.012114003728817158,0.011178041117097236,0.4583,-0.06303919038601656
t25,+U3.5,438.32017361120705,426.58639941295144,15.4533455626205,12.411376359387464,99,0.00022260688712763123,-0.011071411068089908,0.011748374049978413,0.5168,0.02203808182563549
t25,+U4.5,514.3391189932162,523.4645102768314,16.802349858506215,13.665251212390766,99,-0.00014893693526481472,-0.011525855180315252,0.011563315959530699,0.4916,-0.014744756591216657
t25,+O2.5,491.23065612905003,562.1584356185008,16.42481862001182,13.62582149671682,99,-0.0011444306430994542,-0.012495200664784304,0.010694962789232626,0.423,-0.11329863366684598
t25,+O3.5,478.70774686141556,420.7725092251402,16.629485943472506,12.407572068173321,99,0.001065497892093531,-0.01079046098917649,0.013428453722801907,0.5629,0.10548429131725959
t25,+O4.5,492.1560821725335,509.1802769374777,16.982628805202708,13.852884502441665,99,-0.00028630295652272723,-0.011526995461367482,0.011362187000226776,0.4836,-0.028343992695749998
t25,+BTTS_yes,417.2702676554356,455.74596200204496,15.298643743134718,12.924228020313985,99,-0.0007247049255136814,-0.011942487818894688,0.010876359856455702,0.4505,-0.07174578762585446
t25,+BTTS_no,517.0818862924572,590.6114865511507,16.909097918392128,14.412584685668746,99,-0.0011371281372435187,-0.012448712932539708,0.010473025738672818,0.4248,-0.11257568558710834
t25,+all_unders,440.37366753529585,380.1222044329546,15.009828956125613,11.280718712550033,99,0.0011941435666918655,-0.010309331468840891,0.013020994774657681,0.5807,0.11822021310249468
t25,+all_fringe,458.44251588182107,350.3076506518127,13.865881149464848,9.863257521163517,99,0.0021739461618351195,-0.009732463079180322,0.014575778705267911,0.6332,0.21522067002167683
