left,right,scope,n_obs,n_fixtures,delta,lo,hi,p_negative,significant
m00_baseline_grw,betfair_close,all,2899,627,0.0025182613772673523,-0.00468710199976388,0.00968842444815097,0.2405,false
m05_wealth_grw,betfair_close,all,2899,627,0.0013357743712787487,-0.004946300591253919,0.007411057533770595,0.3288,false
m10_lineup_grw,betfair_close,all,2899,627,0.0037915761333650634,-0.003448166535743569,0.011094913881626416,0.1539,false
m12_joint_hybrid_synergy_grw,betfair_close,all,2899,627,0.002551438357677349,-0.003960412977485036,0.008937458355252616,0.2181,false
m05_joint_td_raw,betfair_close,all,2899,627,0.0011708272445576143,-0.005191089489043158,0.007484451072026878,0.3611,false
m12_hybrid_td_raw,betfair_close,all,2899,627,0.0015542446398133115,-0.0052676750695624325,0.008250550668545853,0.3276,false
m05_joint_grw_raw,betfair_close,all,2899,627,0.0013424993549230513,-0.004939131891370725,0.007408802219330797,0.3278,false
m12_joint_hybrid_synergy_grw,m12_hybrid_td_raw,all,2899,627,0.0009971937178640362,-0.0029892950263421046,0.004968324895624655,0.3117,false
m05_wealth_grw,m05_joint_td_raw,all,2899,627,0.0001649471267211329,-0.0036757080421460577,0.004028302034474071,0.4571,false
m12_joint_hybrid_synergy_grw,m05_wealth_grw,all,2899,627,0.0012156639863986002,-0.0007331723879409239,0.0032180323137195174,0.1192,false
m10_lineup_grw,m00_baseline_grw,all,2899,627,0.0012733147560977107,-0.0010397446299445306,0.0035749857860260786,0.1371,false
m05_wealth_grw,m05_joint_grw_raw,all,2899,627,-6.724983644301926e-6,-0.0002387870502209773,0.00022738955808557237,0.5199,false
m12_joint_hybrid_synergy_grw,m05_joint_grw_raw,all,2899,627,0.001208939002754298,-0.0007776995714178855,0.003220582716524494,0.121,false
m00_baseline_grw,betfair_close,1X2,1785,595,0.0035397471662626046,-0.006539078193373885,0.013504242923947895,0.2464,false
m05_wealth_grw,betfair_close,1X2,1785,595,0.0024655499002427467,-0.0059286760965534275,0.010583394983224987,0.2765,false
