arm,fill_model,slate,as_of,fold_idx,n_fixtures,n_uncovered,n_blocked,n_legs,n_filled,bankroll_before,bankroll_after,risk_requested,venue_stake_requested,venue_stake_filled,risk_filled,net_pnl,slate_return,k_risk,slate_exposure,capped,warning
m12_hybrid_grw_raw,touch_only,2026-08-01,2026-08-01T13:35:00.0,41,10,2,0,12,12,500.0,520.1484411609428,104.02281544018199,104.83003761214913,52.91948007485834,52.157001359569186,20.148441160942795,0.040296882321885594,0.811503490050565,0.20804563088036399,false,"split 43 is the most recent trained fold, but the card being priced is the NEXT round of split 41 (matched 8 of 8 fixtures via get_next_matches); conditioning on 41."
m12_hybrid_grw_raw,touch_only,2026-08-08,2026-08-08T13:35:00.0,41,10,2,0,17,17,520.1484411609428,527.8593895872709,129.13398914931233,129.42613557163938,88.35857815951958,88.06643173719252,7.710948426328216,0.014824515111720421,0.9699165979554017,0.24999999999999997,true,"split 43 is the most recent trained fold, but the card being priced is the NEXT round of split 41 (matched 8 of 8 fixtures via get_next_matches); conditioning on 41."
m12_hybrid_grw_raw,touch_only,2026-08-15,2026-08-15T13:35:00.0,42,9,0,0,15,15,527.8593895872709,544.6119333778844,130.51631926070255,142.6458450625993,100.0511330643132,90.45495557748767,16.75254379061344,0.03173675437262208,0.9414855993635757,0.25,true,"split 43 is the most recent trained fold, but the card being priced is the NEXT round of split 42 (matched 9 of 9 fixtures via get_next_matches); conditioning on 42."
m12_hybrid_grw_raw,touch_only,2026-09-05,2026-09-05T13:35:00.0,43,10,0,0,18,18,544.6119333778844,557.7060870695096,132.732576292371,135.0184891266817,115.35772335760267,114.0427021697272,13.094153691625266,0.024043089930862308,0.7417722154753761,0.25,true,
m12_hybrid_grw_raw,ladder_sweep_v1,2026-08-01,2026-08-01T13:35:00.0,41,10,2,0,12,12,500.0,530.9007112985357,104.02281544018199,104.83003761214913,69.66080888462857,68.85358671266142,30.900711298535704,0.06180142259707141,0.811503490050565,0.20804563088036399,false,"split 43 is the most recent trained fold, but the card being priced is the NEXT round of split 41 (matched 8 of 8 fixtures via get_next_matches); conditioning on 41."
m12_hybrid_grw_raw,ladder_sweep_v1,2026-08-08,2026-08-08T13:35:00.0,41,10,2,0,17,17,530.9007112985357,538.9480779816223,131.80338777747966,132.101573316728,112.65111840445311,112.35293286520476,8.047366683086555,0.015157950463851167,0.9699165979554017,0.24999999999999997,true,"split 43 is the most recent trained fold, but the card being priced is the NEXT round of split 41 (matched 8 of 8 fixtures via get_next_matches); conditioning on 41."
m12_hybrid_grw_raw,ladder_sweep_v1,2026-08-15,2026-08-15T13:35:00.0,42,9,0,0,15,15,538.9480779816223,583.0984664399313,133.258062276378,145.6423917904786,131.80861551675596,119.42428600265544,44.15038845830898,0.08191955823212801,0.9414855993635757,0.25,true,"split 43 is the most recent trained fold, but the card being priced is the NEXT round of split 42 (matched 9 of 9 fixtures via get_next_matches); conditioning on 42."
m12_hybrid_grw_raw,ladder_sweep_v1,2026-09-05,2026-09-05T13:35:00.0,43,10,0,0,18,18,583.0984664399313,595.5308537152331,142.11249687949933,144.559950169468,136.28707879385627,133.86463736167346,12.43238727530186,0.021321248452610363,0.7417722154753761,0.25,true,
m12_hybrid_grw_cal_optB,touch_only,2026-08-01,2026-08-01T13:35:00.0,41,10,2,0,6,6,500.0,525.8734960601943,31.8510625415675,31.8510625415675,20.935846263941222,20.935846263941222,25.87349606019427,0.05174699212038854,0.7529279735197185,0.06816437531854183,false,"split 43 is the most recent trained fold, but the card being priced is the NEXT round of split 41 (matched 8 of 8 fixtures via get_next_matches); conditioning on 41. | calibration scot_lower_t25_inv: 8/8 accepted, 0 refused, 0 absent (100.0% of quoted)"
m12_hybrid_grw_cal_optB,touch_only,2026-08-08,2026-08-08T13:35:00.0,41,10,2,0,12,12,525.8734960601943,511.35747742755353,58.37006129452069,58.37006129452069,41.81197603329642,41.81197603329642,-14.516018632640755,-0.027603632321069046,0.9990930573596796,0.11099639310941684,false,"split 43 is the most recent trained fold, but the card being priced is the NEXT round of split 41 (matched 8 of 8 fixtures via get_next_matches); conditioning on 41. | calibration scot_lower_t25_inv: 7/8 accepted, 1 refused, 0 absent (87.5% of quoted)"
m12_hybrid_grw_cal_optB,touch_only,2026-08-15,2026-08-15T13:35:00.0,42,9,0,0,12,12,511.35747742755353,514.3111773024351,79.73670659744562,94.54400558489306,62.569477615679574,53.796563117989436,2.953699874881523,0.005776193769064398,1.0,0.15593143762866413,false,"split 43 is the most recent trained fold, but the card being priced is the NEXT round of split 42 (matched 9 of 9 fixtures via get_next_matches); conditioning on 42. | calibration scot_lower_t25_inv: 8/9 accepted, 1 refused, 0 absent (88.9% of quoted)"
m12_hybrid_grw_cal_optB,touch_only,2026-09-05,2026-09-05T13:35:00.0,43,10,0,0,11,11,514.3111773024351,506.77379720064295,73.12034891110046,74.94489536090246,58.364160819867614,57.8229701976427,-7.53738010179217,-0.014655291260294535,0.6746352774321679,0.1491431617687892,false,"calibration scot_lower_t25_inv: 10/10 accepted, 0 refused, 0 absent (100.0% of quoted)"
m12_hybrid_grw_cal_optB,ladder_sweep_v1,2026-08-01,2026-08-01T13:35:00.0,41,10,2,0,6,6,500.0,529.289790200555,31.8510625415675,31.8510625415675,25.799278448217827,25.799278448217827,29.289790200555032,0.05857958040111006,0.7529279735197185,0.06816437531854183,false,"split 43 is the most recent trained fold, but the card being priced is the NEXT round of split 41 (matched 8 of 8 fixtures via get_next_matches); conditioning on 41. | calibration scot_lower_t25_inv: 8/8 accepted, 0 refused, 0 absent (100.0% of quoted)"
m12_hybrid_grw_cal_optB,ladder_sweep_v1,2026-08-08,2026-08-08T13:35:00.0,41,10,2,0,12,12,529.289790200555,502.7573713278043,58.749257621901556,58.749257621901556,54.00570222731357,54.00570222731357,-26.532418872750682,-0.05012834058767163,0.9990930573596796,0.11099639310941684,false,"split 43 is the most recent trained fold, but the card being priced is the NEXT round of split 41 (matched 8 of 8 fixtures via get_next_matches); conditioning on 41. | calibration scot_lower_t25_inv: 7/8 accepted, 1 refused, 0 absent (87.5% of quoted)"
m12_hybrid_grw_cal_optB,ladder_sweep_v1,2026-08-15,2026-08-15T13:35:00.0,42,9,0,0,12,12,502.7573713278043,503.98289476241536,78.39567968955267,92.95394674148726,83.06026708023884,68.50200002830425,1.22552343461102,0.0024376041098599084,1.0,0.15593143762866413,false,"split 43 is the most recent trained fold, but the card being priced is the NEXT round of split 42 (matched 9 of 9 fixtures via get_next_matches); conditioning on 42. | calibration scot_lower_t25_inv: 8/9 accepted, 1 refused, 0 absent (88.9% of quoted)"
m12_hybrid_grw_cal_optB,ladder_sweep_v1,2026-09-05,2026-09-05T13:35:00.0,43,10,0,0,11,11,503.98289476241536,491.121385894928,71.6519623461035,73.43986866037554,63.786123711702366,62.40416176090566,-12.86150886748737,-0.02551973291385309,0.6746352774321679,0.1491431617687892,false,"calibration scot_lower_t25_inv: 10/10 accepted, 0 refused, 0 absent (100.0% of quoted)"
m05_wealth_grw_raw,touch_only,2026-08-01,2026-08-01T13:35:00.0,41,10,2,0,12,12,500.0,523.0446510836576,95.01457929555316,95.08084342874444,47.0186222739547,46.9986222739547,23.044651083657644,0.046089302167315285,0.7905239764071218,0.1916414093198922,false,"split 43 is the most recent trained fold, but the card being priced is the NEXT round of split 41 (matched 8 of 8 fixtures via get_next_matches); conditioning on 41."
m05_wealth_grw_raw,touch_only,2026-08-08,2026-08-08T13:35:00.0,41,10,2,0,17,17,523.0446510836576,521.9367076104368,127.86719391712495,128.79988156766956,87.70016658819934,87.0135835566813,-1.107943473220871,-0.0021182579172263874,0.9862760062283432,0.24446707112329,false,"split 43 is the most recent trained fold, but the card being priced is the NEXT round of split 41 (matched 8 of 8 fixtures via get_next_matches); conditioning on 41."
m05_wealth_grw_raw,touch_only,2026-08-15,2026-08-15T13:35:00.0,42,9,0,0,17,17,521.9367076104368,564.5892925205862,126.64203964931178,140.87321808822867,108.94888297580997,97.97415887623126,42.65258491014949,0.08171984129153173,0.8735212255254885,0.24999999999999994,true,"split 43 is the most recent trained fold, but the card being priced is the NEXT round of split 42 (matched 9 of 9 fixtures via get_next_matches); conditioning on 42."
m05_wealth_grw_raw,touch_only,2026-09-05,2026-09-05T13:35:00.0,43,10,0,0,18,18,564.5892925205862,588.4345544069009,136.73858521274192,139.12444462947943,120.87355064277473,119.53754264794327,23.84526188631465,0.042234704416476684,0.7415684447006373,0.25,true,
m05_wealth_grw_raw,ladder_sweep_v1,2026-08-01,2026-08-01T13:35:00.0,41,10,2,0,12,12,500.0,531.2078353470247,95.01457929555316,95.08084342874444,62.01497160110357,61.948707467912286,31.207835347024673,0.062415670694049345,0.7905239764071218,0.1916414093198922,false,"split 43 is the most recent trained fold, but the card being priced is the NEXT round of split 41 (matched 8 of 8 fixtures via get_next_matches); conditioning on 41."
m05_wealth_grw_raw,ladder_sweep_v1,2026-08-08,2026-08-08T13:35:00.0,41,10,2,0,17,17,531.2078353470247,521.1269457891491,129.86282366503002,130.81006781880203,106.27276621437466,105.32552206060265,-10.08088955787554,-0.018977298313549818,0.9862760062283432,0.24446707112329,false,"split 43 is the most recent trained fold, but the card being priced is the NEXT round of split 41 (matched 8 of 8 fixtures via get_next_matches); conditioning on 41."
m05_wealth_grw_raw,ladder_sweep_v1,2026-08-15,2026-08-15T13:35:00.0,42,9,0,0,17,17,521.1269457891491,587.9819847450078,126.4455601007713,140.65465949293073,136.6704539593176,122.46135456715822,66.8550389558587,0.12828935347915904,0.8735212255254885,0.24999999999999994,true,"split 43 is the most recent trained fold, but the card being priced is the NEXT round of split 42 (matched 9 of 9 fixtures via get_next_matches); conditioning on 42."
m05_wealth_grw_raw,ladder_sweep_v1,2026-09-05,2026-09-05T13:35:00.0,43,10,0,0,18,18,587.9819847450078,600.3321773785041,142.40409053042887,144.8888035311182,143.01813653608184,140.5334235353925,12.350192633496288,0.021004372504460727,0.7415684447006373,0.25,true,
m10_lineup_grw_raw,touch_only,2026-08-01,2026-08-01T13:35:00.0,41,10,2,0,11,11,500.0,496.6833864317513,111.84796371435617,114.06379828218769,64.13165160131436,62.45165160131435,-3.3166135682487043,-0.006633227136497409,0.8011830207688956,0.22631211837236057,false,"split 43 is the most recent trained fold, but the card being priced is the NEXT round of split 41 (matched 8 of 8 fixtures via get_next_matches); conditioning on 41."
m10_lineup_grw_raw,touch_only,2026-08-08,2026-08-08T13:35:00.0,41,10,2,0,15,15,496.6833864317513,470.6155983078251,119.88732693148421,119.93702601715393,90.37602993948337,90.32633085381366,-26.067788123926142,-0.05248371263472508,0.9003694710521666,0.25,true,"split 43 is the most recent trained fold, but the card being priced is the NEXT round of split 41 (matched 8 of 8 fixtures via get_next_matches); conditioning on 41."
m10_lineup_grw_raw,touch_only,2026-08-15,2026-08-15T13:35:00.0,42,9,0,0,15,15,470.6155983078251,487.9712322772603,115.44135070081143,122.58682788222085,88.15711245649106,81.0634966880084,17.355633969435214,0.036878577828359745,0.9064711013706661,0.24999999999999997,true,"split 43 is the most recent trained fold, but the card being priced is the NEXT round of split 42 (matched 9 of 9 fixtures via get_next_matches); conditioning on 42."
m10_lineup_grw_raw,touch_only,2026-09-05,2026-09-05T13:35:00.0,43,10,0,0,20,20,487.9712322772603,518.5765433389258,118.19052244578292,120.39316343855955,108.85397047046105,107.55305654395202,30.605311061665578,0.06271949868609457,0.7350252071541885,0.25,true,
m10_lineup_grw_raw,ladder_sweep_v1,2026-08-01,2026-08-01T13:35:00.0,41,10,2,0,11,11,500.0,508.98156632222646,111.84796371435617,114.06379828218769,76.80589491355404,74.5900603457225,8.981566322226433,0.017963132644452866,0.8011830207688956,0.22631211837236057,false,"split 43 is the most recent trained fold, but the card being priced is the NEXT round of split 41 (matched 8 of 8 fixtures via get_next_matches); conditioning on 41."
m10_lineup_grw_raw,ladder_sweep_v1,2026-08-08,2026-08-08T13:35:00.0,41,10,2,0,15,15,508.98156632222646,462.6731596954292,122.85580937617372,122.90673904114739,114.27766255300205,114.22673288802838,-46.308406626797264,-0.09098248284591176,0.9003694710521666,0.25,true,"split 43 is the most recent trained fold, but the card being priced is the NEXT round of split 41 (matched 8 of 8 fixtures via get_next_matches); conditioning on 41."
m10_lineup_grw_raw,ladder_sweep_v1,2026-08-15,2026-08-15T13:35:00.0,42,9,0,0,15,15,462.6731596954292,502.8044379642113,113.4930815729498,120.51796667438208,112.58030316218453,105.55541806075226,40.13127826878208,0.08673785679549663,0.9064711013706661,0.24999999999999997,true,"split 43 is the most recent trained fold, but the card being priced is the NEXT round of split 42 (matched 9 of 9 fixtures via get_next_matches); conditioning on 42."
m10_lineup_grw_raw,ladder_sweep_v1,2026-09-05,2026-09-05T13:35:00.0,43,10,0,0,21,21,502.8044379642113,529.0234170656014,122.69719806053487,125.07975500920963,123.66534126383638,121.28278431516162,26.218979101390133,0.05214548067146606,0.7350252071541885,0.25,true,
m00_baseline_grw_raw,touch_only,2026-08-01,2026-08-01T13:35:00.0,41,10,2,0,13,13,500.0,490.77378360857585,119.89869772900059,121.23267082563551,80.45733017239809,79.12335707576317,-9.22621639142417,-0.01845243278284834,0.7978341856016368,0.2436282759598138,false,"split 43 is the most recent trained fold, but the card being priced is the NEXT round of split 41 (matched 8 of 8 fixtures via get_next_matches); conditioning on 41."
m00_baseline_grw_raw,touch_only,2026-08-08,2026-08-08T13:35:00.0,41,10,2,0,14,14,490.77378360857585,462.9460503988016,117.17910686525082,117.52123672411743,83.28980345273415,82.94767359386753,-27.82773320977425,-0.056701751681114014,0.8934475121354899,0.25,true,"split 43 is the most recent trained fold, but the card being priced is the NEXT round of split 41 (matched 8 of 8 fixtures via get_next_matches); conditioning on 41."
m00_baseline_grw_raw,touch_only,2026-08-15,2026-08-15T13:35:00.0,42,9,0,0,17,17,462.9460503988016,490.4846335016012,115.27148114512121,119.14722994710412,90.73364168308464,87.04022132437177,27.53858310279958,0.059485512575551,0.8755388029894728,0.2500000000000001,true,"split 43 is the most recent trained fold, but the card being priced is the NEXT round of split 42 (matched 9 of 9 fixtures via get_next_matches); conditioning on 42."
m00_baseline_grw_raw,touch_only,2026-09-05,2026-09-05T13:35:00.0,43,10,0,0,19,19,490.4846335016012,536.8524170168361,117.88328603715911,120.00529354104404,107.83488238391348,106.536966851209,46.3677835152349,0.09453463033941006,0.7445408691842391,0.24999999999999997,true,
m00_baseline_grw_raw,ladder_sweep_v1,2026-08-01,2026-08-01T13:35:00.0,41,10,2,0,13,13,500.0,504.0798534499276,119.89869772900059,121.23267082563551,87.48944180516602,86.1554687085311,4.079853449927617,0.008159706899855233,0.7978341856016368,0.2436282759598138,false,"split 43 is the most recent trained fold, but the card being priced is the NEXT round of split 41 (matched 8 of 8 fixtures via get_next_matches); conditioning on 41."
m00_baseline_grw_raw,ladder_sweep_v1,2026-08-08,2026-08-08T13:35:00.0,41,10,2,0,14,14,504.0798534499276,449.5520885475649,120.35611719459601,120.7075230253033,111.49354664101936,111.14214081031207,-54.52776490236273,-0.10817287088379779,0.8934475121354899,0.25,true,"split 43 is the most recent trained fold, but the card being priced is the NEXT round of split 41 (matched 8 of 8 fixtures via get_next_matches); conditioning on 41."
m00_baseline_grw_raw,ladder_sweep_v1,2026-08-15,2026-08-15T13:35:00.0,42,9,0,0,17,17,449.5520885475649,500.24480244947057,111.9364449791073,115.70006056048268,112.4538596727902,108.69024409141483,50.692713901905655,0.11276271469605709,0.8755388029894728,0.2500000000000001,true,"split 43 is the most recent trained fold, but the card being priced is the NEXT round of split 42 (matched 9 of 9 fixtures via get_next_matches); conditioning on 42."
m00_baseline_grw_raw,ladder_sweep_v1,2026-09-05,2026-09-05T13:35:00.0,43,10,0,0,19,19,500.24480244947057,538.439339635803,120.22904920539288,122.39328260246982,121.44152729022181,119.27729389314486,38.19453718633243,0.07635169221011634,0.7445408691842391,0.24999999999999997,true,
m05_joint_grw_raw,touch_only,2026-08-01,2026-08-01T13:35:00.0,41,10,2,0,12,12,500.0,523.3493187424943,95.37505951953683,95.44217045265768,47.384635181360494,47.36463518136049,23.349318742494326,0.046698637484988655,0.7912057364738501,0.1923606857580929,false,"split 43 is the most recent trained fold, but the card being priced is the NEXT round of split 41 (matched 8 of 8 fixtures via get_next_matches); conditioning on 41."
m05_joint_grw_raw,touch_only,2026-08-08,2026-08-08T13:35:00.0,41,10,2,0,17,17,523.3493187424943,522.6455644176657,128.40159419741227,129.25259659688425,87.85282115356573,87.23282896977273,-0.7037543248286919,-0.0013447124121985588,0.9879686368846786,0.24534587052857182,false,"split 43 is the most recent trained fold, but the card being priced is the NEXT round of split 41 (matched 8 of 8 fixtures via get_next_matches); conditioning on 41."
m05_joint_grw_raw,touch_only,2026-08-15,2026-08-15T13:35:00.0,42,9,0,0,17,17,522.6455644176657,565.9638491348855,126.72870963509152,140.90531782086103,108.69007419483059,97.791874563486,43.3182847172198,0.08288271759368177,0.8730805144476382,0.25000000000000006,true,"split 43 is the most recent trained fold, but the card being priced is the NEXT round of split 42 (matched 9 of 9 fixtures via get_next_matches); conditioning on 42."
m05_joint_grw_raw,touch_only,2026-09-05,2026-09-05T13:35:00.0,43,10,0,0,18,18,565.9638491348855,590.0510354427379,137.15864969179222,139.57372810485626,120.8264924505184,119.48711560498158,24.087186307852306,0.04255958458242734,0.7407087275005788,0.25000000000000006,true,
m05_joint_grw_raw,ladder_sweep_v1,2026-08-01,2026-08-01T13:35:00.0,41,10,2,0,12,12,500.0,531.0881109236078,95.37505951953683,95.44217045265768,62.03758467577198,61.970473742651144,31.08811092360782,0.06217622184721564,0.7912057364738501,0.1923606857580929,false,"split 43 is the most recent trained fold, but the card being priced is the NEXT round of split 41 (matched 8 of 8 fixtures via get_next_matches); conditioning on 41."
m05_joint_grw_raw,ladder_sweep_v1,2026-08-08,2026-08-08T13:35:00.0,41,10,2,0,17,17,531.0881109236078,521.0997067173315,130.30027490192725,131.16386111584075,106.16221236252937,105.29862614861587,-9.988404206276286,-0.01880743326922833,0.9879686368846786,0.24534587052857182,false,"split 43 is the most recent trained fold, but the card being priced is the NEXT round of split 41 (matched 8 of 8 fixtures via get_next_matches); conditioning on 41."
m05_joint_grw_raw,ladder_sweep_v1,2026-08-15,2026-08-15T13:35:00.0,42,9,0,0,17,17,521.0997067173315,588.7489178401195,126.35387711955852,140.48855436700086,136.60444154140566,122.46976429396332,67.64921112278802,0.129820090571427,0.8730805144476382,0.25000000000000006,true,"split 43 is the most recent trained fold, but the card being priced is the NEXT round of split 42 (matched 9 of 9 fixtures via get_next_matches); conditioning on 42."
m05_joint_grw_raw,ladder_sweep_v1,2026-09-05,2026-09-05T13:35:00.0,43,10,0,0,19,19,588.7489178401195,600.2183154752063,143.68282548313954,146.19513223977057,144.27835581762685,141.7660490609958,11.469397635086843,0.01948096597300493,0.7407087275005788,0.25000000000000006,true,
m12_hybrid_td_raw,touch_only,2026-08-01,2026-08-01T13:35:00.0,41,10,2,0,13,13,500.0,518.1634943720812,103.65514437886394,105.26783298793062,62.050059363924426,60.43737075485773,18.16349437208118,0.036326988744162354,0.7858274037076471,0.21136026469229718,false,"split 43 is the most recent trained fold, but the card being priced is the NEXT round of split 41 (matched 8 of 8 fixtures via get_next_matches); conditioning on 41."
m12_hybrid_td_raw,touch_only,2026-08-08,2026-08-08T13:35:00.0,41,10,2,0,17,17,518.1634943720812,532.9687158785164,129.5408735930203,130.7066925874019,98.28657617069175,97.12075717631012,14.805221506435132,0.028572490473062626,0.968307013235424,0.25,true,"split 43 is the most recent trained fold, but the card being priced is the NEXT round of split 41 (matched 8 of 8 fixtures via get_next_matches); conditioning on 41."
m12_hybrid_td_raw,touch_only,2026-08-15,2026-08-15T13:35:00.0,42,9,0,0,14,14,532.9687158785164,567.517627732455,130.98003162406732,149.51588501123882,113.07847362139358,100.1388312288521,34.54891185393862,0.06482352683119513,0.9487213323292014,0.25,true,"split 43 is the most recent trained fold, but the card being priced is the NEXT round of split 42 (matched 9 of 9 fixtures via get_next_matches); conditioning on 42."
m12_hybrid_td_raw,touch_only,2026-09-05,2026-09-05T13:35:00.0,43,10,0,0,21,21,567.517627732455,551.9671225029408,138.15235025213298,140.66476195984842,123.48082182932392,121.90447339800419,-15.55050522951425,-0.027400920199865984,0.7323755282755764,0.24999999999999997,true,
