arm,fill_model,slate,as_of,match_id,home_team,away_team,fold_idx,market_group,market_line,selection,venue_selection,side,leverage,venue_odds,effective_odds,p_model,p_market,edge,bankroll_before,stake_fraction,risk_requested,venue_stake_requested,depth_touch,depth_book,venue_stake_filled,risk_filled,fill_pct,fill_vwap,levels_used,slippage_vs_touch,home_goals,away_goals,outcome,gross_return,commission,net_pnl,entry_prob,close_prob,clv,beat_close,has_close
m00_baseline_grw_raw,touch_only,2026-08-01,2026-08-01T13:35:00.0,16362401,alloa-athletic,east-fife,41,1X2,0.0,home,home,back,1.0,2.22,2.22,0.5460803309510225,0.44771349100772245,0.09836683994330003,500.0,0.04147510696416522,20.73755348208261,20.73755348208261,143.8,178.8,20.73755348208261,20.73755348208261,1.0,2.22,1,0.0,0,0,LOSE,0.0,0.0,-20.73755348208261,0.4504504504504504,0.4494315239621982,-0.001018926488252192,false,true
m00_baseline_grw_raw,touch_only,2026-08-01,2026-08-01T13:35:00.0,16362404,east-kilbride,queen-of-the-south,41,1X2,0.0,away,away,back,1.0,4.3,4.3,0.31250135178901145,0.2283361841533065,0.08416516763570495,500.0,0.01963985415259172,9.81992707629586,9.81992707629586,49.4,61.31,9.81992707629586,9.81992707629586,1.0,4.3,1,0.0,5,1,LOSE,0.0,0.0,-9.81992707629586,0.23255813953488372,0.17798860430381147,-0.05456953523107225,false,true
m00_baseline_grw_raw,touch_only,2026-08-01,2026-08-01T13:35:00.0,16362404,east-kilbride,queen-of-the-south,41,1X2,0.0,draw,draw,back,1.0,4.4,4.4,0.24505256815125165,0.22314672542254954,0.021905842728702107,500.0,0.008003355560847563,4.0016777804237815,4.0016777804237815,78.31,138.49,4.0016777804237815,4.0016777804237815,1.0,4.4,1,0.0,5,1,LOSE,0.0,0.0,-4.0016777804237815,0.22727272727272727,0.20315870996293633,-0.02411401730979093,false,true
m00_baseline_grw_raw,touch_only,2026-08-01,2026-08-01T13:35:00.0,16362404,east-kilbride,queen-of-the-south,41,OverUnder,2.5,under_25,over_25,lay,1.3888888888888888,1.72,2.388888888888889,0.4582579430064716,0.4128891316220645,0.045368811384407126,500.0,0.006860433068408186,3.430216534204093,4.764189630839018,6.0,76.5,4.764189630839018,3.4302165342040936,1.0,1.72,1,0.0,5,1,LOSE,0.0,0.0,-3.4302165342040936,0.4186046511627907,0.40047961630695444,-0.018125034855836275,false,true
m00_baseline_grw_raw,touch_only,2026-08-01,2026-08-01T13:35:00.0,16362405,montrose,hamilton-academical,41,1X2,0.0,away,away,back,1.0,2.36,2.36,0.4516257756840355,0.4161285041203544,0.0354972715636811,500.0,0.006853262036151654,3.426631018075827,3.426631018075827,18.0,31.740000000000002,3.426631018075827,3.426631018075827,1.0,2.36,1,0.0,0,5,WIN,8.086849202658952,0.09320436369166249,4.567013820891462,0.42372881355932207,0.42648204240588494,0.002753228846562872,true,true
m00_baseline_grw_raw,touch_only,2026-08-01,2026-08-01T13:35:00.0,16362581,clyde-fc,stranraer,41,OverUnder,2.5,under_25,under_25,back,1.0,2.04,2.04,0.5610754522841161,0.47959183673469385,0.0814836155494223,500.0,0.014100400356212614,7.050200178106307,7.050200178106307,13.0,86.74,7.050200178106307,7.050200178106307,1.0,2.04,1,0.0,3,1,LOSE,0.0,0.0,-7.050200178106307,0.49019607843137253,0.480649188514357,-0.009546889917015522,false,true
m00_baseline_grw_raw,touch_only,2026-08-01,2026-08-01T13:35:00.0,16362582,edinburgh-city-fc,elgin-city,41,1X2,0.0,away,away,back,1.0,3.25,3.25,0.42511367397370176,0.3008279668813248,0.12428570709237696,500.0,0.02903023052471615,14.515115262358075,14.515115262358075,6.22,21.66,6.22,6.22,0.42851881556395716,3.25,1,0.0,0,5,WIN,20.215,0.2799,13.7151,0.3076923076923077,0.3101871239565103,0.002494816264202615,true,true
m00_baseline_grw_raw,touch_only,2026-08-01,2026-08-01T13:35:00.0,16362583,annan-athletic,the-spartans-fc,41,1X2,0.0,away,away,back,1.0,2.3,2.3,0.4481964288320603,0.4281881595421213,0.020008269289938985,500.0,0.002576258439201149,1.2881292196005745,1.2881292196005745,8.0,215.45,1.2881292196005745,1.2881292196005745,1.0,2.3,1,0.0,2,4,WIN,2.962697205081321,0.03349135970961493,1.6410766257711316,0.4347826086956522,0.4306917137903239,-0.004090894905328324,false,true
m00_baseline_grw_raw,touch_only,2026-08-01,2026-08-01T13:35:00.0,16362584,forfar-athletic,kelty-hearts-fc,41,1X2,0.0,draw,draw,back,1.0,3.75,3.75,0.24707171794268737,0.2591195409962627,-0.012047823053575352,500.0,0.014597406790644411,7.298703395322206,7.298703395322206,8.0,35.069900000000004,7.298703395322206,7.298703395322206,1.0,3.75,1,0.0,1,0,LOSE,0.0,0.0,-7.298703395322206,0.26666666666666666,0.2613002580537751,-0.00536640861289156,false,true
m00_baseline_grw_raw,touch_only,2026-08-01,2026-08-01T13:35:00.0,16362584,forfar-athletic,kelty-hearts-fc,41,1X2,0.0,home,home,back,1.0,3.55,3.55,0.496564274158484,0.2737178249960522,0.2228464491624318,500.0,0.07943622751622281,39.71811375811141,39.71811375811141,8.53,21.18,8.53,8.53,0.2147634716982995,3.55,1,0.0,1,0,WIN,30.281499999999994,0.4350299999999999,21.316469999999995,0.28169014084507044,0.2738283526179972,-0.00786178822707323,false,true
