match_id,tournament_id,fs,match_date,home_team,away_team,home_cat,away_cat
9173615,982,2020,2020-11-28,st-mirren,aberdeen,T1,T1
9173616,982,2020,2020-11-28,arbroath,dunfermline-athletic,T2,T2
9173617,982,2020,2020-11-28,hibernian,dundee-fc,T1,T2
9173619,982,2020,2020-11-28,motherwell,st-johnstone,T1,T1
9173621,982,2020,2020-11-28,livingston,ayr-united,T1,T2
9173622,982,2020,2020-11-28,alloa-athletic,heart-of-midlothian,T2,T2
9173618,982,2020,2020-11-29,celtic,ross-county,T1,T1
9173620,982,2020,2020-11-29,falkirk-fc,rangers,T3,T1
9204942,982,2020,2020-12-15,dunfermline-athletic,st-johnstone,T2,T1
9204944,982,2020,2020-12-15,alloa-athletic,hibernian,T2,T1
9204941,982,2020,2020-12-16,st-mirren,rangers,T1,T1
9204943,982,2020,2020-12-16,livingston,ross-county,T1,T1
9262539,73,2020,2021-01-08,queens-park-fc,queen-of-the-south,T4,T2
9262531,73,2020,2021-01-09,alloa-athletic,cove-rangers,T2,T3
9262533,73,2020,2021-01-10,airdrieonians,edinburgh-city-fc,T3,T4
9402648,73,2020,2021-03-23,arbroath,falkirk-fc,T2,T3
9402653,73,2020,2021-03-23,peterhead,stenhousemuir,T3,T4
9402654,73,2020,2021-03-23,partick-thistle,cowdenbeath,T3,T4
9402655,73,2020,2021-03-23,stirling-albion,raith-rovers,T4,T2
9402658,73,2020,2021-03-23,elgin-city,ayr-united,T4,T2
9402660,73,2020,2021-03-23,greenock-morton,dunfermline-athletic,T2,T2
9431998,73,2020,2021-04-02,ross-county,inverness-caledonian-thistle,T1,T2
9431993,73,2020,2021-04-03,dundee-united,partick-thistle,T1,T3
9431994,73,2020,2021-04-03,ayr-united,clyde-fc,T2,T3
9431995,73,2020,2021-04-03,dundee-fc,st-johnstone,T2,T1
9431996,73,2020,2021-04-03,dumbarton,aberdeen,T3,T1
9431999,73,2020,2021-04-03,east-fife,greenock-morton,T3,T2
9432000,73,2020,2021-04-03,forfar-athletic,edinburgh-city-fc,T3,T4
9433932,73,2020,2021-04-03,hamilton-academical,st-mirren,T1,T1
9433933,73,2020,2021-04-03,celtic,falkirk-fc,T1,T3
9433935,73,2020,2021-04-03,stenhousemuir,kilmarnock,T4,T1
9433936,73,2020,2021-04-03,livingston,raith-rovers,T1,T2
9433931,73,2020,2021-04-04,rangers,cove-rangers,T1,T3
9433938,73,2020,2021-04-05,queen-of-the-south,hibernian,T2,T1
9451702,73,2020,2021-04-16,motherwell,greenock-morton,T1,T2
9451703,73,2020,2021-04-16,forfar-athletic,dundee-united,T3,T1
9451704,73,2020,2021-04-16,st-mirren,inverness-caledonian-thistle,T1,T2
9451697,73,2020,2021-04-17,kilmarnock,montrose,T1,T3
9451698,73,2020,2021-04-17,st-johnstone,clyde-fc,T1,T3
9451699,73,2020,2021-04-17,aberdeen,livingston,T1,T1
9451700,73,2020,2021-04-18,stranraer,hibernian,T4,T1
9451701,73,2020,2021-04-18,rangers,celtic,T1,T1
9477431,73,2020,2021-04-24,hibernian,motherwell,T1,T1
9477430,73,2020,2021-04-25,rangers,st-johnstone,T1,T1
9477432,73,2020,2021-04-25,aberdeen,dundee-united,T1,T1
9477429,73,2020,2021-04-26,kilmarnock,st-mirren,T1,T1
9673707,982,2021,2021-08-13,rangers,dunfermline-athletic,T1,T2
9673712,982,2021,2021-08-14,dundee-fc,motherwell,T1,T1
9673713,982,2021,2021-08-14,livingston,st-mirren,T1,T1
9673714,982,2021,2021-08-14,ayr-united,dundee-united,T2,T1
9673708,982,2021,2021-08-15,celtic,heart-of-midlothian,T1,T1
9673715,982,2021,2021-08-15,hibernian,kilmarnock,T1,T2
9673716,982,2021,2021-08-15,arbroath,st-johnstone,T2,T1
9673717,982,2021,2021-08-15,raith-rovers,aberdeen,T2,T1
9724801,1520,2021,2021-09-03,airdrieonians,queens-park-fc,T3,T3
9724803,1520,2021,2021-09-04,stranraer,partick-thistle,T4,T2
9724807,1520,2021,2021-09-04,peterhead,east-fife,T3,T3
9724808,1520,2021,2021-09-04,raith-rovers,forfar-athletic,T2,T4
9724809,1520,2021,2021-09-04,kilmarnock,falkirk-fc,T2,T3
9724811,1520,2021,2021-09-04,montrose,stirling-albion,T3,T4
9724812,1520,2021,2021-09-04,cowdenbeath,alloa-athletic,T4,T3
9724813,1520,2021,2021-09-04,cove-rangers,stenhousemuir,T3,T4
9723455,982,2021,2021-09-22,rangers,livingston,T1,T1
9723456,982,2021,2021-09-22,dundee-fc,st-johnstone,T1,T1
9723453,982,2021,2021-09-23,dundee-united,hibernian,T1,T1
9723454,982,2021,2021-09-23,celtic,raith-rovers,T1,T2
9779704,1520,2021,2021-10-08,queen-of-the-south,partick-thistle,T2,T2
9779724,1520,2021,2021-10-08,kilmarnock,queens-park-fc,T2,T3
9779737,1520,2021,2021-10-09,cove-rangers,albion-rovers,T3,T4
9779755,1520,2021,2021-10-09,elgin-city,inverness-caledonian-thistle,T4,T2
9779770,1520,2021,2021-10-09,raith-rovers,east-fife,T2,T3
9779774,1520,2021,2021-10-09,montrose,greenock-morton,T3,T2
9916808,73,2021,2021-11-26,partick-thistle,dunfermline-athletic,T2,T2
9916804,73,2021,2021-11-27,kelty-hearts-fc,montrose,T4,T3
9916805,73,2021,2021-11-27,inverness-caledonian-thistle,greenock-morton,T2,T2
9916806,73,2021,2021-11-27,cove-rangers,queen-of-the-south,T3,T2
9916812,73,2021,2021-11-27,queens-park-fc,kilmarnock,T3,T2
9916814,73,2021,2021-11-27,falkirk-fc,raith-rovers,T3,T2
9916815,73,2021,2021-11-27,stenhousemuir,airdrieonians,T4,T3
9916817,73,2021,2021-11-27,arbroath,forfar-athletic,T2,T4
9925275,73,2021,2021-11-27,ayr-united,albion-rovers,T2,T4
9871599,1520,2021,2021-11-30,inverness-caledonian-thistle,raith-rovers,T2,T2
9871621,1520,2021,2021-12-01,queen-of-the-south,greenock-morton,T2,T2
9987015,73,2021,2021-12-04,montrose,kelty-hearts-fc,T3,T4
9987013,73,2021,2021-12-07,greenock-morton,inverness-caledonian-thistle,T2,T2
9987014,73,2021,2021-12-07,queen-of-the-south,cove-rangers,T2,T3
10002712,73,2021,2022-01-20,hibernian,cove-rangers,T1,T3
10002708,73,2021,2022-01-21,rangers,stirling-albion,T1,T4
