left,right,scope,n_obs,n_fixtures,delta,lo,hi,p_negative
g1_grw_all_spfl,m00_baseline_grw,all,2899,627,0.0018443285783094736,-0.0019345073276791876,0.005591966540460883,0.1699
g2_grw_all_spfl_cups,g1_grw_all_spfl,all,2899,627,-0.0002759843862167007,-0.0035022912204799245,0.0029138407169897467,0.5637
g2_grw_all_spfl_cups,m00_baseline_grw,all,2899,627,0.0015683441920927715,-0.003054796532370785,0.0062102720548191555,0.2567
g3_grw_joint_all_spfl_cups,g2_grw_all_spfl_cups,all,2899,627,-0.0023176774187714205,-0.008879055527194845,0.004400415465940481,0.7539
g3_grw_joint_all_spfl_cups,m05_joint_grw,all,2899,627,0.0006919469861106168,-0.0037130108211651668,0.0050712233321484924,0.3786
g3_grw_joint_all_spfl_cups,m12_grw,all,2899,627,-0.0005169920166436811,-0.005342518173005649,0.004399595759980625,0.5921
g3_grw_joint_all_spfl_cups,m12_td,all,2899,627,0.0004802017012203569,-0.006307843914665388,0.007139674794523331,0.4458
g1_grw_all_spfl,m00_baseline_grw,1X2,1785,595,0.002501286111835894,-0.0023699902953454935,0.007213684137798949,0.1575
g2_grw_all_spfl_cups,g1_grw_all_spfl,1X2,1785,595,-0.003053110308219776,-0.005503084216251043,-0.0005871536437223443,0.9928
g2_grw_all_spfl_cups,m00_baseline_grw,1X2,1785,595,-0.0005518241963838822,-0.005073870344562254,0.0037770277532468022,0.593
g3_grw_joint_all_spfl_cups,g2_grw_all_spfl_cups,1X2,1785,595,0.0008453929485218318,-0.0054586573141194635,0.007066835627617689,0.3917
g3_grw_joint_all_spfl_cups,m05_joint_grw,1X2,1785,595,0.0015760389423234802,-0.002548718759778596,0.0057051717566813775,0.2284
g3_grw_joint_all_spfl_cups,m12_grw,1X2,1785,595,0.00017266236215423178,-0.00450993277345206,0.0048150119942732385,0.4776
g3_grw_joint_all_spfl_cups,m12_td,1X2,1785,595,0.000818420411910708,-0.005868148714079833,0.007463226726342493,0.4096
