model,scope,n_obs,logloss,market_logloss,brier,market_brier,ece,market_ece,mce,market_mce,rps,market_rps,dynamics,role
g1_grw_all_spfl,all,2899,0.6464436634968842,0.6418155553508617,0.2275066275801324,0.2252928320612554,0.012213458158100012,0.01390748520485936,0.2164025990627898,0.32902138777066514,0.22666935243399194,0.2111040320023605,MultiScaleGRW pooled,candidate
g1_grw_all_spfl,1X2,1785,0.6193889755524499,0.6131180107974481,0.2145546923020737,0.21156444032291422,0.02235801173976079,0.018580646181840455,0.09378330699459247,0.32902138777066514,0.22666935243399194,0.2111040320023605,MultiScaleGRW pooled,candidate
g1_grw_all_spfl,OU2.5,758,0.6875199139777368,0.6898782309589602,0.24711782814988556,0.24829171351414944,0.025131117165952264,0.01829866107755568,0.3800528892548575,0.7079376625841927,0.22666935243399194,0.2111040320023605,MultiScaleGRW pooled,candidate
g1_grw_all_spfl,BTTS,356,0.6946369784303876,0.6833706365781275,0.250691780499964,0.2451580767568855,0.02575791628171927,0.03004396402078209,0.2744056641670747,0.07307236039881282,0.22666935243399194,0.2111040320023605,MultiScaleGRW pooled,candidate
g2_grw_all_spfl_cups,all,2899,0.6461676791106672,0.6418155553508617,0.2273692266192647,0.2252928320612554,0.018058234380821655,0.01390748520485936,0.19255884469049933,0.32902138777066514,0.22419440661108112,0.2111040320023605,MultiScaleGRW pooled,candidate
g2_grw_all_spfl_cups,1X2,1785,0.6163358652442303,0.6131180107974481,0.21312617014395407,0.21156444032291422,0.016664171710867974,0.018580646181840455,0.13849694825926184,0.32902138777066514,0.22419440661108112,0.2111040320023605,MultiScaleGRW pooled,candidate
g2_grw_all_spfl_cups,OU2.5,758,0.6968780589382385,0.6898782309589602,0.2515769712040287,0.24829171351414944,0.043982499966016296,0.01829866107755568,0.15223847890469866,0.7079376625841927,0.22419440661108112,0.2111040320023605,MultiScaleGRW pooled,candidate
g2_grw_all_spfl_cups,BTTS,356,0.6877725101283396,0.6833706365781275,0.24724109575740447,0.2451580767568855,0.05136823398545184,0.03004396402078209,0.38091052103393747,0.07307236039881282,0.22419440661108112,0.2111040320023605,MultiScaleGRW pooled,candidate
g3_grw_joint_all_spfl_cups,all,2899,0.6438500016918945,0.6418155553508617,0.22624733706490774,0.2252928320612554,0.009529611988978368,0.01390748520485936,0.8110567819568854,0.32902138777066514,0.22446221538987057,0.2111040320023605,MultiScaleGRW pooled,candidate
g3_grw_joint_all_spfl_cups,1X2,1785,0.6171812581927506,0.6131180107974481,0.21360241066435334,0.21156444032291422,0.011644677879366258,0.018580646181840455,0.11964111917017384,0.32902138777066514,0.22446221538987057,0.2111040320023605,MultiScaleGRW pooled,candidate
g3_grw_joint_all_spfl_cups,OU2.5,758,0.6903672562333074,0.6898782309589602,0.2482950698892229,0.24829171351414944,0.023048790228264414,0.01829866107755568,0.8112477259689754,0.7079376625841927,0.22446221538987057,0.2111040320023605,MultiScaleGRW pooled,candidate
g3_grw_joint_all_spfl_cups,BTTS,356,0.6785231146233036,0.6833706365781275,0.24270523634625232,0.2451580767568855,0.028267683849708104,0.03004396402078209,0.21223961691983273,0.07307236039881282,0.22446221538987057,0.2111040320023605,MultiScaleGRW pooled,candidate
m00_baseline_grw,all,2899,0.6445993349185737,0.6418155553508617,0.22666715521146624,0.2252928320612554,0.016171880385128092,0.01390748520485936,0.29562264731986765,0.32902138777066514,0.22505698899115203,0.2111040320023605,MultiScaleGRW 56/57,control
m00_baseline_grw,1X2,1785,0.6168876894406137,0.6131180107974481,0.2133981724695556,0.21156444032291422,0.01601126869415567,0.018580646181840455,0.07215159133378368,0.32902138777066514,0.22505698899115203,0.2111040320023605,MultiScaleGRW 56/57,control
m00_baseline_grw,OU2.5,758,0.6878575211927952,0.6898782309589602,0.24735813882216154,0.24829171351414944,0.02204994105320401,0.01829866107755568,0.292758546306467,0.7079376625841927,0.22505698899115203,0.2111040320023605,MultiScaleGRW 56/57,control
m00_baseline_grw,BTTS,356,0.6914408573407652,0.6833706365781275,0.24914290975473835,0.2451580767568855,0.029740458422543792,0.03004396402078209,0.29848674833326827,0.07307236039881282,0.22505698899115203,0.2111040320023605,MultiScaleGRW 56/57,control
m05_joint_grw,all,2899,0.643158054705786,0.6418155553508617,0.2260291840723017,0.2252928320612554,0.011739438495240131,0.01390748520485936,0.05420957244134761,0.32902138777066514,0.22384896187856188,0.2111040320023605,MultiScaleGRW 56/57,control
m05_joint_grw,1X2,1785,0.6156052192504295,0.6131180107974481,0.21286636682580276,0.21156444032291422,0.011472418312680638,0.018580646181840455,0.29925444105451304,0.32902138777066514,0.22384896187856188,0.2111040320023605,MultiScaleGRW 56/57,control
m05_joint_grw,OU2.5,758,0.6898975884176783,0.6898782309589602,0.24840346386257917,0.24829171351414944,0.02847300613426743,0.01829866107755568,0.048699589003917354,0.7079376625841927,0.22384896187856188,0.2111040320023605,MultiScaleGRW 56/57,control
m05_joint_grw,BTTS,356,0.6817907646333045,0.6833706365781275,0.24438852312839432,0.2451580767568855,0.026618857217594535,0.03004396402078209,0.06720458971334592,0.07307236039881282,0.22384896187856188,0.2111040320023605,MultiScaleGRW 56/57,control
m12_grw,all,2899,0.6443669937085393,0.6418155553508617,0.22658647922158026,0.2252928320612554,0.008626804472396374,0.01390748520485936,0.29520502821725225,0.32902138777066514,0.2249329946938164,0.2111040320023605,MultiScaleGRW 56/57,control
m12_grw,1X2,1785,0.6170085958305986,0.6131180107974481,0.21349828472128515,0.21156444032291422,0.014035671593558308,0.018580646181840455,0.0543901595979539,0.32902138777066514,0.2249329946938164,0.2111040320023605,MultiScaleGRW 56/57,control
m12_grw,OU2.5,758,0.6897270450654828,0.6898782309589602,0.24833299640336687,0.24829171351414944,0.01327734213467759,0.01829866107755568,0.29520502821725225,0.7079376625841927,0.2249329946938164,0.2111040320023605,MultiScaleGRW 56/57,control
m12_grw,BTTS,356,0.684961997314052,0.6833706365781275,0.24590829708459874,0.2451580767568855,0.040210337940266926,0.03004396402078209,0.10268053329853599,0.07307236039881282,0.2249329946938164,0.2111040320023605,MultiScaleGRW 56/57,control
m12_td,all,2899,0.6433697999906764,0.6418155553508617,0.22604583756864916,0.2252928320612554,0.00995616723169428,0.01390748520485936,0.19640169051638687,0.32902138777066514,0.22447242161176623,0.2111040320023605,TimeDecay(180) 56/57,control
m12_td,1X2,1785,0.6163628377808433,0.6131180107974481,0.21311380224484566,0.21156444032291422,0.015540487807250399,0.018580646181840455,0.19640169051638687,0.32902138777066514,0.22447242161176623,0.2111040320023605,TimeDecay(180) 56/57,control
m12_td,OU2.5,758,0.6873233182836874,0.6898782309589602,0.24710668204282463,0.24829171351414944,0.010027086429431106,0.01829866107755568,0.10781221674809816,0.7079376625841927,0.22447242161176623,0.2111040320023605,TimeDecay(180) 56/57,control
