fold,season,n_train,n_lower,n_upper,n_cup,n_oos,n_target_steps,n_teams
1,24/25,1477,720,757,0,20,1,43
2,24/25,1518,740,778,0,19,1,43
3,24/25,1549,759,790,0,10,2,43
4,24/25,1571,769,802,0,20,4,43
5,24/25,1607,789,818,0,20,4,43
6,24/25,1650,809,841,0,11,6,43
7,24/25,1673,820,853,0,15,6,43
8,24/25,1718,835,883,0,20,8,43
9,24/25,1754,855,899,0,2,9,43
10,24/25,1770,857,913,0,22,9,43
11,24/25,1815,879,936,0,22,10,43
12,24/25,1873,901,972,0,14,12,43
13,24/25,1906,915,991,0,16,12,43
14,24/25,1936,931,1005,0,22,13,43
15,24/25,1972,953,1019,0,20,14,43
16,24/25,2015,973,1042,0,24,15,43
17,24/25,2065,997,1068,0,23,16,43
18,24/25,2106,1020,1086,0,20,18,43
19,24/25,2149,1040,1109,0,20,19,43
20,24/25,2185,1060,1125,0,20,20,43
21,25/26,1477,720,757,0,20,1,42
22,25/26,1518,740,778,0,19,1,43
23,25/26,1546,759,787,0,10,2,43
24,25/26,1570,769,801,0,20,4,43
25,25/26,1609,789,820,0,20,5,43
26,25/26,1652,809,843,0,11,5,43
27,25/26,1680,820,860,0,15,7,43
28,25/26,1720,835,885,0,19,8,43
29,25/26,1753,854,899,0,11,8,43
30,25/26,1788,865,923,0,19,10,43
31,25/26,1828,884,944,0,20,11,43
32,25/26,1875,904,971,0,10,12,43
33,25/26,1906,914,992,0,13,13,43
34,25/26,1930,927,1003,0,16,13,43
35,25/26,1962,943,1019,0,24,14,43
36,25/26,2012,967,1045,0,26,15,43
37,25/26,2060,993,1067,0,25,16,43
38,25/26,2108,1018,1090,0,20,17,43
39,25/26,2143,1038,1105,0,22,18,43
40,25/26,2185,1060,1125,0,10,20,43
