fold,season,n_train,n_lower,n_upper,n_cup,n_oos,n_target_steps,n_teams
1,24/25,1607,720,757,130,20,1,43
2,24/25,1649,740,778,131,19,2,43
3,24/25,1687,759,790,138,10,2,43
4,24/25,1721,769,802,150,20,4,43
5,24/25,1761,789,818,154,20,4,43
6,24/25,1807,809,841,157,11,6,43
7,24/25,1833,820,853,160,15,6,43
8,24/25,1879,835,883,161,20,8,43
9,24/25,1917,855,899,163,2,9,43
10,24/25,1941,857,913,171,22,9,43
11,24/25,1986,879,936,171,22,10,43
12,24/25,2044,901,972,171,14,12,43
13,24/25,2077,915,991,171,16,12,43
14,24/25,2117,931,1005,181,22,13,43
15,24/25,2162,953,1019,190,20,15,43
16,24/25,2205,973,1042,190,24,15,43
17,24/25,2259,997,1068,194,23,17,43
18,24/25,2300,1020,1086,194,20,18,43
19,24/25,2343,1040,1109,194,20,19,43
20,24/25,2379,1060,1125,194,20,20,43
21,25/26,1606,720,757,129,20,1,42
22,25/26,1653,740,778,135,19,2,43
23,25/26,1693,759,787,147,10,3,43
24,25/26,1722,769,801,152,20,4,43
25,25/26,1770,789,820,161,20,5,43
26,25/26,1813,809,843,161,11,5,43
27,25/26,1846,820,860,166,15,7,43
28,25/26,1888,835,885,168,19,8,43
29,25/26,1926,854,899,173,11,9,43
30,25/26,1969,865,923,181,19,10,43
31,25/26,2009,884,944,181,20,11,43
32,25/26,2056,904,971,181,10,12,43
33,25/26,2088,914,992,182,13,13,43
34,25/26,2125,927,1003,195,16,13,43
35,25/26,2163,943,1019,201,24,14,43
36,25/26,2215,967,1045,203,26,15,43
37,25/26,2267,993,1067,207,25,16,43
38,25/26,2315,1018,1090,207,20,17,43
39,25/26,2350,1038,1105,207,22,18,43
40,25/26,2392,1060,1125,207,10,20,43
