model,environment,variant,lambda,beta,nominal_floor,nominal_drawdown_pct,realised_drawdown_pct,overshoot_ratio,mean_slate_exposure,max_slate_exposure,overshoot_vs_1_15
m05_joint_grw_baseline,close,raw,8.0,0.01,0.5623413251903491,43.76586748096509,41.95504957020682,0.958624882471578,0.16732480061910984,0.25000000000000006,-0.19137511752842196
m05_joint_grw_baseline,close,raw,10.0,0.01,0.6309573444801932,36.90426555198067,38.97309901038387,1.0560594670415318,0.14753862790423736,0.25000000000000006,-0.09394053295846816
m05_joint_grw_baseline,close,raw,12.0,0.01,0.6812920690579612,31.870793094203876,36.15203289752927,1.1343311348001563,0.12862310779564173,0.2500000000000001,-0.015668865199843562
m05_joint_grw_baseline,close,raw,15.0,0.01,0.7356422544596414,26.435774554035863,32.29877859184945,1.2217829489288976,0.10600507946710498,0.25000000000000006,0.0717829489288977
m05_joint_grw_baseline,close,raw,18.0,0.01,0.7742636826811271,22.57363173188729,28.843644277528526,1.277758254414343,0.08984292676421049,0.25,0.1277582544143432
m05_joint_grw_baseline,close,raw,20.0,0.01,0.7943282347242815,20.567176527571853,26.380757771762735,1.2826630693035252,0.08130080124308332,0.2300344066428427,0.13266306930352534
m05_joint_grw_baseline,close,raw,23.0,0.01,0.8185467307069029,18.145326929309714,23.381007280343596,1.2885415276027246,0.07111583749668499,0.20128573452991882,0.13854152760272465
m05_joint_grw_baseline,close,raw,28.0,0.01,0.848342898244072,15.165710175592794,19.650417801310347,1.2957136575730621,0.058837089007767115,0.1665835952498007,0.1457136575730622
m05_joint_grw_baseline,close,raw,35.0,0.01,0.8767123872968682,12.328761270313182,16.05800655557762,1.3024833722950098,0.0473904220010984,0.13419144372952788,0.15248337229500986
m05_joint_grw_baseline,close,raw,45.0,0.01,0.9027251779484575,9.727482205154248,12.729794803309339,1.308642312042912,0.037087523101204646,0.10501707311181961,0.15864231204291213
m05_joint_grw_smile_spine_w040,close,raw,8.0,0.01,0.5623413251903491,43.76586748096509,42.81333765155565,0.9782357831745544,0.14554970946963183,0.25000000000000006,-0.17176421682544551
m05_joint_grw_smile_spine_w040,close,raw,10.0,0.01,0.6309573444801932,36.90426555198067,39.15523240330939,1.0609947608402657,0.12353750793017056,0.25,-0.08900523915973424
m05_joint_grw_smile_spine_w040,close,raw,12.0,0.01,0.6812920690579612,31.870793094203876,35.37228599997214,1.1098652579940051,0.10615544720430407,0.25000000000000006,-0.04013474200599476
m05_joint_grw_smile_spine_w040,close,raw,15.0,0.01,0.7356422544596414,26.435774554035863,29.482074003197972,1.1152339774624473,0.08694785749982946,0.25,-0.034766022537552566
m05_joint_grw_smile_spine_w040,close,raw,18.0,0.01,0.7742636826811271,22.57363173188729,25.259863070142767,1.1189986338999645,0.07325141589817175,0.21841577174858945,-0.031001366100035455
m05_joint_grw_smile_spine_w040,close,raw,20.0,0.01,0.7943282347242815,20.567176527571853,23.054550459888727,1.1209390082776973,0.0662443448840627,0.19760111884472376,-0.029060991722302587
m05_joint_grw_smile_spine_w040,close,raw,23.0,0.01,0.8185467307069029,18.145326929309714,20.38205927211996,1.123267679415426,0.057928987355201536,0.17288552857252523,-0.026732320584573976
m05_joint_grw_smile_spine_w040,close,raw,28.0,0.01,0.848342898244072,15.165710175592794,17.078308014130634,1.126113305370685,0.04790621183455435,0.14306012026119502,-0.02388669462931481
m05_joint_grw_smile_spine_w040,close,raw,35.0,0.01,0.8767123872968682,12.328761270313182,13.916750820360177,1.1288036579855565,0.038564591228608266,0.11522799186403655,-0.021196342014443426
m05_joint_grw_smile_spine_w040,close,raw,45.0,0.01,0.9027251779484575,9.727482205154248,11.004261649122407,1.13125487325915,0.030162164187242407,0.09016685702207228,-0.018745126740849827
m05_joint_grw_baseline,t25,l2_calibrated,8.0,0.01,0.5623413251903491,43.76586748096509,20.974340729937012,0.4792396892180715,0.08035172198107138,0.25,-0.6707603107819284
m05_joint_grw_baseline,t25,l2_calibrated,10.0,0.01,0.6309573444801932,36.90426555198067,17.35423304449453,0.47025005876490394,0.06581229246021629,0.20668988932798518,-0.679749941235096
m05_joint_grw_baseline,t25,l2_calibrated,12.0,0.01,0.6812920690579612,31.870793094203876,14.797572818287549,0.46429885740680493,0.05563623838972211,0.17475109298600675,-0.6857011425931949
m05_joint_grw_baseline,t25,l2_calibrated,15.0,0.01,0.7356422544596414,26.435774554035863,12.117825872115906,0.4583873964935867,0.04516116234980775,0.14186543521732958,-0.6916126035064132
m05_joint_grw_baseline,t25,l2_calibrated,18.0,0.01,0.7742636826811271,22.57363173188729,10.259064880794897,0.4544711725009247,0.038005280806903616,0.11939549005844832,-0.6955288274990752
m05_joint_grw_baseline,t25,l2_calibrated,20.0,0.01,0.7943282347242815,20.567176527571853,9.307081171543356,0.45252109151037384,0.034374096646460746,0.10799194861998018,-0.697478908489626
m05_joint_grw_baseline,t25,l2_calibrated,23.0,0.01,0.8185467307069029,18.145326929309714,8.169734909682495,0.4502390583266988,0.03006519636206308,0.09445890498651935,-0.699760941673301
m05_joint_grw_baseline,t25,l2_calibrated,28.0,0.01,0.848342898244072,15.165710175592794,6.787154504081516,0.4475329163948118,0.024869358145406074,0.07813859437154189,-0.7024670836051881
m05_joint_grw_baseline,t25,l2_calibrated,35.0,0.01,0.8767123872968682,12.328761270313182,5.486962807335341,0.4450538612137437,0.020024441787916833,0.06291897101500511,-0.7049461387862562
m05_joint_grw_baseline,t25,l2_calibrated,45.0,0.01,0.9027251779484575,9.727482205154248,4.307904442978711,0.4428591440338082,0.015664781618490303,0.049222457243425284,-0.7071408559661917
m05_joint_grw_smile_spine_w040,t25,l2_calibrated,8.0,0.01,0.5623413251903491,43.76586748096509,16.8599074956005,0.38522959708118,0.0632605147316524,0.1954581060009179,-0.7647704029188199
m05_joint_grw_smile_spine_w040,t25,l2_calibrated,10.0,0.01,0.6309573444801932,36.90426555198067,13.937511239128186,0.37766667431700596,0.051709886323412495,0.15967218432455152,-0.772333325682994
m05_joint_grw_smile_spine_w040,t25,l2_calibrated,12.0,0.01,0.6812920690579612,31.870793094203876,11.877384655832985,0.3726730182310099,0.04370979074233321,0.13495894019283994,-0.7773269817689901
m05_joint_grw_smile_spine_w040,t25,l2_calibrated,15.0,0.01,0.7356422544596414,26.435774554035863,9.721059510458112,0.3677236500329448,0.03547651468107426,0.10952782327614,-0.7822763499670551
m05_joint_grw_smile_spine_w040,t25,l2_calibrated,18.0,0.01,0.7742636826811271,22.57363173188729,8.22698526427574,0.3644511154425534,0.029853139195545792,0.09216016081313594,-0.7855488845574465
m05_joint_grw_smile_spine_w040,t25,l2_calibrated,20.0,0.01,0.7943282347242815,20.567176527571853,7.462255338915834,0.36282351779847455,0.026999925977180903,0.08334880327823661,-0.7871764822015254
m05_joint_grw_smile_spine_w040,t25,l2_calibrated,23.0,0.01,0.8185467307069029,18.145326929309714,6.549021690268285,0.3609205673605035,0.023614462962448284,0.0728944489122302,-0.7890794326394964
m05_joint_grw_smile_spine_w040,t25,l2_calibrated,28.0,0.01,0.848342898244072,15.165710175592794,5.4394307929686,0.35866640796832877,0.01953251739268488,0.06029046743720286,-0.7913335920316711
m05_joint_grw_smile_spine_w040,t25,l2_calibrated,35.0,0.01,0.8767123872968682,12.328761270313182,4.3964832509131195,0.356603810757497,0.01572662254965231,0.04854006670401374,-0.793396189242503
m05_joint_grw_smile_spine_w040,t25,l2_calibrated,45.0,0.01,0.9027251779484575,9.727482205154248,3.451113846277492,0.3547797645364871,0.012302205994792453,0.037968534138725946,-0.7952202354635128
m05_joint_grw_baseline,t25,raw,8.0,0.01,0.5623413251903491,43.76586748096509,40.547248482600345,0.9264582382660504,0.16070041684734085,0.25000000000000006,-0.22354176173394946
m05_joint_grw_baseline,t25,raw,10.0,0.01,0.6309573444801932,36.90426555198067,38.514465795514774,1.0436318192341774,0.13843195263022423,0.25000000000000006,-0.10636818076582255
m05_joint_grw_baseline,t25,raw,12.0,0.01,0.6812920690579612,31.870793094203876,35.501585415986604,1.1139222457078746,0.11920841793195569,0.25,-0.03607775429212534
m05_joint_grw_baseline,t25,raw,15.0,0.01,0.7356422544596414,26.435774554035863,29.685946136161206,1.1229459562639956,0.09754722079977131,0.25,-0.027054043736004285
m05_joint_grw_baseline,t25,raw,18.0,0.01,0.7742636826811271,22.57363173188729,25.44750059528903,1.1273108774669227,0.0824715627655005,0.25,-0.0226891225330772
m05_joint_grw_baseline,t25,raw,20.0,0.01,0.7943282347242815,20.567176527571853,23.232023748316884,1.1295679655966682,0.07460316333270367,0.22812390572830146,-0.020432034403331745
m05_joint_grw_baseline,t25,raw,23.0,0.01,0.8185467307069029,18.145326929309714,20.545644046283883,1.1322829357842539,0.0652415859945735,0.19949594444210683,-0.017717064215746037
m05_joint_grw_baseline,t25,raw,28.0,0.01,0.848342898244072,15.165710175592794,17.222322362452374,1.1356093557800824,0.05395659029439011,0.16498596324738915,-0.014390644219917537
m05_joint_grw_baseline,t25,raw,35.0,0.01,0.8767123872968682,12.328761270313182,14.039532619848838,1.138762630894239,0.043437385542105474,0.13281813204294074,-0.011237369105761008
m05_joint_grw_baseline,t25,raw,45.0,0.01,0.9027251779484575,9.727482205154248,11.105305310749165,1.1416423157129867,0.033974833604584635,0.10388222844006499,-0.008357684287013223
m05_joint_grw_smile_spine_w040,t25,raw,8.0,0.01,0.5623413251903491,43.76586748096509,44.19160730641052,1.0097276679282225,0.13924674576907176,0.25000000000000006,-0.14027233207177736
m05_joint_grw_smile_spine_w040,t25,raw,10.0,0.01,0.6309573444801932,36.90426555198067,40.64656130341395,1.1014055068014332,0.1161521062568365,0.25000000000000006,-0.04859449319856668
m05_joint_grw_smile_spine_w040,t25,raw,12.0,0.01,0.6812920690579612,31.870793094203876,36.80143838676226,1.1547073296225905,0.09880458522831441,0.25000000000000006,0.0047073296225905725
m05_joint_grw_smile_spine_w040,t25,raw,15.0,0.01,0.7356422544596414,26.435774554035863,30.699665682187554,1.1612924606932213,0.08063295313853461,0.25,0.011292460693221429
m05_joint_grw_smile_spine_w040,t25,raw,18.0,0.01,0.7742636826811271,22.57363173188729,26.318800133632674,1.1659089882491083,0.06795354569858023,0.22256467745860647,0.015908988249108358
m05_joint_grw_smile_spine_w040,t25,raw,20.0,0.01,0.7943282347242815,20.567176527571853,24.028391122709568,1.168288271873278,0.061448681723727486,0.20127428960347024,0.018288271873278195
m05_joint_grw_smile_spine_w040,t25,raw,23.0,0.01,0.8185467307069029,18.145326929309714,21.250784447130098,1.1711436520222853,0.05373302707237684,0.17601622516005008,0.02114365202228541
m05_joint_grw_smile_spine_w040,t25,raw,28.0,0.01,0.848342898244072,15.165710175592794,17.81414365587143,1.1746330010012282,0.04443397062092926,0.14556831102074924,0.02463300100122834
m05_joint_grw_smile_spine_w040,t25,raw,35.0,0.01,0.8767123872968682,12.328761270313182,14.522444623521904,1.177932178676455,0.03576774284442633,0.1171866682234215,0.027932178676455033
m05_joint_grw_smile_spine_w040,t25,raw,45.0,0.01,0.9027251779484575,9.727482205154248,11.48755732044732,1.180938405043853,0.02797350861381352,0.09165641690209354,0.030938405043853034
