model,environment,variant,route,run_id,t012_mode,lambda,beta,nominal_floor,nominal_drawdown_pct,n_panel,n_slates,n_bets,terminal_return_pct,cagr_pct,roi_pct,sharpe_ann,sortino,calmar,max_drawdown_pct,realised_drawdown_pct,win_rate_pct,total_turnover,mean_slate_exposure,max_slate_exposure,mean_k_risk,n_capped,overshoot_ratio,pareto_drawdown_sharpe,pareto_all_metrics
m05_joint_grw_baseline,close,raw,native_count,b0961bc4-c40c-4dbe-9c05-57df7ae0839e,excise_pruned,8.0,0.01,0.5623413251903491,43.76586748096509,628,100,1249,431.30000477276076,163.34458675261504,12.101956233438193,1.5536181335594634,0.2622524159868721,10.2800499389479,-41.95504957020682,41.95504957020682,35.708566853482786,16.732480061910984,0.16732480061910984,0.25000000000000006,0.8850344399636295,30,0.958624882471578,false,true
m05_joint_grw_baseline,close,raw,native_count,b0961bc4-c40c-4dbe-9c05-57df7ae0839e,excise_pruned,10.0,0.01,0.6309573444801932,36.90426555198067,628,100,1249,366.2100524908917,144.12831938540108,12.327989054926014,1.6159326449572602,0.2784027462197493,9.396482748095549,-38.97309901038387,38.97309901038387,35.708566853482786,14.753862790423735,0.14753862790423736,0.25000000000000006,0.7304385902186759,18,1.0560594670415318,false,true
m05_joint_grw_baseline,close,raw,native_count,b0961bc4-c40c-4dbe-9c05-57df7ae0839e,excise_pruned,12.0,0.01,0.6812920690579612,31.870793094203876,628,100,1249,288.60514087212346,119.67194480447864,12.250210316270225,1.6093093172478172,0.2756486377061513,7.983095769196635,-36.15203289752927,36.15203289752927,35.708566853482786,12.862310779564178,0.12862310779564173,0.2500000000000001,0.6189515878546844,6,1.1343311348001563,false,true
m05_joint_grw_baseline,close,raw,native_count,b0961bc4-c40c-4dbe-9c05-57df7ae0839e,excise_pruned,15.0,0.01,0.7356422544596414,26.435774554035863,628,100,1249,203.74906525798804,90.43369167739246,11.918994150328066,1.5701843372733406,0.26317128730191264,6.308259139848831,-32.29877859184945,32.29877859184945,35.708566853482786,10.600507946710492,0.10600507946710498,0.25000000000000006,0.5042165502918275,3,1.2217829489288976,false,true
m05_joint_grw_baseline,close,raw,native_count,b0961bc4-c40c-4dbe-9c05-57df7ae0839e,excise_pruned,18.0,0.01,0.7742636826811271,22.57363173188729,628,100,1249,160.47035225622474,74.19706058081694,11.905120963159106,1.5744140848356103,0.263002117471505,5.563456223222244,-28.843644277528526,28.843644277528526,35.708566853482786,8.984292676421044,0.08984292676421049,0.25,0.4258559150139618,1,1.277758254414343,false,true
m05_joint_grw_baseline,close,raw,native_count,b0961bc4-c40c-4dbe-9c05-57df7ae0839e,excise_pruned,20.0,0.01,0.7943282347242815,20.567176527571853,628,100,1249,140.43072378012295,66.29663719123748,11.925028223503258,1.5915481281419401,0.26755121637644624,5.323225549284118,-26.380757771762735,26.380757771762735,35.708566853482786,8.130080124308332,0.08130080124308332,0.2300344066428427,0.3860989651736897,0,1.2826630693035252,false,true
m05_joint_grw_baseline,close,raw,native_count,b0961bc4-c40c-4dbe-9c05-57df7ae0839e,excise_pruned,23.0,0.01,0.8185467307069029,18.145326929309714,628,100,1249,117.61701012095904,56.95727265719914,11.92916890277535,1.610138849746546,0.27242803613579597,5.030450942968553,-23.381007280343596,23.381007280343596,35.708566853482786,7.1115837496684975,0.07111583749668499,0.20128573452991882,0.3389278248446449,0,1.2885415276027246,false,true
m05_joint_grw_baseline,close,raw,native_count,b0961bc4-c40c-4dbe-9c05-57df7ae0839e,excise_pruned,28.0,0.01,0.848342898244072,15.165710175592794,628,100,1249,92.26172434056066,46.079828271028944,11.936427630197992,1.6329097111091233,0.27845065546966635,4.695153318033186,-19.650417801310347,19.650417801310347,35.708566853482786,5.883708900776707,0.058837089007767115,0.1665835952498007,0.28205609343954835,0,1.2957136575730621,false,true
m05_joint_grw_baseline,close,raw,native_count,b0961bc4-c40c-4dbe-9c05-57df7ae0839e,excise_pruned,35.0,0.01,0.8767123872968682,12.328761270313182,628,100,1249,70.6659956593892,36.32954528937673,11.947024218142333,1.6548333582686556,0.2842690801477724,4.400670495108494,-16.05800655557762,16.05800655557762,35.708566853482786,4.739042200109839,0.0473904220010984,0.13419144372952788,0.22903482036056114,0,1.3024833722950098,false,true
m05_joint_grw_baseline,close,raw,native_count,b0961bc4-c40c-4dbe-9c05-57df7ae0839e,excise_pruned,45.0,0.01,0.9027251779484575,9.727482205154248,628,100,1249,52.822723057985385,27.87485296841792,11.959174344061331,1.674998848148808,0.28965545972212703,4.149534527002208,-12.729794803309339,12.729794803309339,35.708566853482786,3.708752310120465,0.037087523101204646,0.10501707311181961,0.1808749363168091,0,1.308642312042912,true,true
m05_joint_grw_smile_spine_w040,close,raw,native_smile,582035c0-e145-44f7-9f40-89e25388e79a,excise_pruned,8.0,0.01,0.5623413251903491,43.76586748096509,628,100,1188,576.1331019902052,202.8454467325048,16.407057164586277,1.5370174842308106,0.23944678131486613,13.45686025880935,-42.81333765155565,42.81333765155565,31.64983164983165,14.554970946963182,0.14554970946963183,0.25000000000000006,0.8651991166039682,15,0.9782357831745544,false,true
m05_joint_grw_smile_spine_w040,close,raw,native_smile,582035c0-e145-44f7-9f40-89e25388e79a,excise_pruned,10.0,0.01,0.6309573444801932,36.90426555198067,628,100,1188,420.56738489395497,160.24718704788023,16.18228878188278,1.5464119173890305,0.24024032321749308,10.741026398770876,-39.15523240330939,39.15523240330939,31.64983164983165,12.353750793017054,0.12353750793017056,0.25,0.7161304315690431,6,1.0609947608402657,false,true
m05_joint_grw_smile_spine_w040,close,raw,native_smile,582035c0-e145-44f7-9f40-89e25388e79a,excise_pruned,12.0,0.01,0.6812920690579612,31.870793094203876,628,100,1188,337.90111291162253,135.4211082387768,16.398556041175603,1.5925437926682473,0.25044240558458625,9.552707815149088,-35.37228599997214,35.37228599997214,31.64983164983165,10.615544720430409,0.10615544720430407,0.25000000000000006,0.6098139616378373,3,1.1098652579940051,false,true
m05_joint_grw_smile_spine_w040,close,raw,native_smile,582035c0-e145-44f7-9f40-89e25388e79a,excise_pruned,15.0,0.01,0.7356422544596414,26.435774554035863,628,100,1188,255.0778082194133,108.47626524395469,16.63125779491986,1.6607324195265019,0.26756885962168425,8.651962822959625,-29.482074003197972,29.482074003197972,31.64983164983165,8.694785749982945,0.08694785749982946,0.25,0.49901030867527185,1,1.1152339774624473,false,true
m05_joint_grw_smile_spine_w040,close,raw,native_smile,582035c0-e145-44f7-9f40-89e25388e79a,excise_pruned,18.0,0.01,0.7742636826811271,22.57363173188729,628,100,1188,197.70216141766696,88.22649172452188,16.638398116802055,1.6902602167062486,0.2756460253587125,7.826731319511842,-25.259863070142767,25.259863070142767,31.64983164983165,7.325141589817174,0.07325141589817175,0.21841577174858945,0.42300358724667936,0,1.1189986338999645,false,true
m05_joint_grw_smile_spine_w040,close,raw,native_smile,582035c0-e145-44f7-9f40-89e25388e79a,excise_pruned,20.0,0.01,0.7943282347242815,20.567176527571853,628,100,1188,171.02679350643905,78.25593294864805,16.634823748520596,1.7048205365657099,0.279552208973234,7.4183529973398805,-23.054550459888727,23.054550459888727,31.64983164983165,6.624434488406269,0.0662443448840627,0.19760111884472376,0.3836589744913158,0,1.1209390082776973,false,true
m05_joint_grw_smile_spine_w040,close,raw,native_smile,582035c0-e145-44f7-9f40-89e25388e79a,excise_pruned,23.0,0.01,0.8185467307069029,18.145326929309714,628,100,1188,141.83580136803462,66.85938180047275,16.634939173655123,1.7224654881118624,0.2843126665693986,6.958855308700224,-20.38205927211996,20.38205927211996,31.64983164983165,5.7928987355201516,0.057928987355201536,0.17288552857252523,0.33677064334310863,0,1.123267679415426,false,true
