model,environment,variant,lambda,n_slates,ret_mean,ret_std,ret_var,ret_skew,ret_excess_kurt,log_mean,log_std,log_var,log_skew,log_excess_kurt
m05_joint_grw_baseline,close,raw,8.0,100,0.020249574138612395,0.08473599326296176,0.007180188554260701,0.5442333576595553,0.06061871799532481,0.016701566564519807,0.08185359621056214,0.006700011212601752,0.32677793567442054,-0.09463801064705368
m05_joint_grw_baseline,close,raw,10.0,100,0.0181885458998224,0.075058095916615,0.005633717762627776,0.6285220719683843,0.4257027636887267,0.015394661029956213,0.07253902496564424,0.005261910142966358,0.40837646912061903,0.21065312777202916
m05_joint_grw_baseline,close,raw,12.0,100,0.015756601220289077,0.06619102161461592,0.004381251342386551,0.6373430766480722,0.8002384555895836,0.013573935800806182,0.06422307603195695,0.004124603495006525,0.4083098018106412,0.5649628168588352
m05_joint_grw_baseline,close,raw,15.0,100,0.012634739220734855,0.055096904094395584,0.003035668840787025,0.5350299294762024,0.9446081187487754,0.011110317313219747,0.05387665936145811,0.002902694423950591,0.3173176758264252,0.8558579567052669
m05_joint_grw_baseline,close,raw,18.0,100,0.01069590910812169,0.04715807359217975,0.0022238839049254413,0.49161072829186553,1.1126002541291484,0.00957318857811773,0.0462980271441792,0.002143507317443154,0.28745890727263596,1.1087063447132621
m05_joint_grw_baseline,close,raw,20.0,100,0.009695143494171969,0.04269266791518138,0.0018226638937159576,0.4958240762152188,1.1193394991860606,0.008772618112528226,0.041969547380475536,0.0017614429073219808,0.31117551491029793,1.1074005087440888
m05_joint_grw_baseline,close,raw,23.0,100,0.008483528371602796,0.03733636621250095,0.0013940042419539824,0.49530053084217446,1.1206769046897938,0.007775664974502227,0.03677045880503657,0.0013520666407328915,0.33401481813029776,1.1032120734077226
m05_joint_grw_baseline,close,raw,28.0,100,0.0070230465491272955,0.030879003724151397,0.0009535128709961558,0.49448320918417743,1.1222025640518556,0.006536874054045362,0.03048125072219281,0.0009291066455891797,0.3612431900230747,1.1008077959607094
m05_joint_grw_baseline,close,raw,35.0,100,0.0056617451935510755,0.02485941347626026,0.0006179904383836703,0.49339868064411896,1.123431596936106,0.005345382186923108,0.02459514191435649,0.0006049210057873355,0.3862097617889859,1.1010334538694773
m05_joint_grw_baseline,close,raw,45.0,100,0.004435361547567084,0.019444386737614523,0.00037808417560191956,0.4921870933770101,1.1242628573360198,0.00424108390800397,0.0192791192534947,0.0003716844391904699,0.4083814778653359,1.103121194447982
m05_joint_grw_smile_spine_w040,close,raw,8.0,100,0.023880424035571748,0.09882170882204448,0.009765730134508944,0.6501255610711796,0.498783107944861,0.01911219767108529,0.09467965315614758,0.008964236721768406,0.3558606827328302,0.22597657772508484
m05_joint_grw_smile_spine_w040,close,raw,10.0,100,0.019991196287201536,0.08416732577935597,0.00708413872884824,0.6063058384263582,0.5546991165467112,0.01649749155539448,0.0812302078302954,0.006598346664152983,0.337752616546104,0.359921905021519
m05_joint_grw_smile_spine_w040,close,raw,12.0,100,0.017407960500558383,0.0729179251727223,0.00531702381149473,0.6261117548823095,0.7723946239511998,0.014768229292903928,0.07060929585628692,0.004985672661320657,0.3712491672655215,0.5953911588690017
m05_joint_grw_smile_spine_w040,close,raw,15.0,100,0.014460522327956192,0.059769605499808975,0.0035724057416027955,0.6487872332808415,0.7754505711886859,0.012671667575541718,0.0580977007294448,0.003375342830048131,0.44193011555040784,0.6109051661122047
m05_joint_grw_smile_spine_w040,close,raw,18.0,100,0.01218786220333225,0.05037353313472006,0.0025374928404747394,0.6537549068934504,0.7755338912948981,0.01090923342395818,0.04914343421092436,0.002415077126043451,0.47963199364011877,0.6279558525954223
m05_joint_grw_smile_spine_w040,close,raw,20.0,100,0.01101963001482595,0.04555222792862249,0.002075005469261175,0.6537721958555657,0.7761468880301163,0.009970474990318397,0.04453095589258976,0.0019830060327077747,0.49615626161859094,0.638432128415761
m05_joint_grw_smile_spine_w040,close,raw,23.0,100,0.009636451810452142,0.03983224144452844,0.0015866074584952089,0.6537219194761442,0.7770992917874788,0.008830888031350603,0.039037202441409374,0.0015239031744515778,0.5156934305582639,0.6522378044942103
m05_joint_grw_smile_spine_w040,close,raw,28.0,100,0.00796922424883165,0.03293849256087308,0.0010849442921826912,0.6536583659105104,0.778240866267196,0.007415515517667068,0.03238299513626478,0.0010486583739953486,0.5392895409263574,0.6705179740360059
m05_joint_grw_smile_spine_w040,close,raw,35.0,100,0.006415272750732139,0.026513993049486553,0.0007029918274282213,0.653596222237172,0.7792985214262003,0.006054713175661275,0.02614678645363504,0.0006836544418519928,0.561342533507776,0.6891909583769849
m05_joint_grw_smile_spine_w040,close,raw,45.0,100,0.00501753418672026,0.02073603219816831,0.0004299830313234729,0.6535379268789677,0.7802445795199793,0.004795986993796226,0.02050736633062801,0.0004205520738185753,0.5812399321115395,0.7073553021448671
m05_joint_grw_baseline,t25,l2_calibrated,8.0,99,0.014483859484470849,0.05180093281929228,0.0026833366409488323,0.7243644347224821,1.251225385056956,0.013114454213668641,0.05034286068137691,0.0025344036215845253,0.5177460495468228,1.0447969400362132
m05_joint_grw_baseline,t25,l2_calibrated,10.0,99,0.011845350716771246,0.04236774414655727,0.001795025744068138,0.7162217616321889,1.205279206152551,0.010922208624895938,0.041368533400088996,0.0017113555556742786,0.5488511212346301,1.0320658186096061
m05_joint_grw_baseline,t25,l2_calibrated,12.0,99,0.010006632342222403,0.035790211925329767,0.0012809392696600172,0.7123050667844965,1.191696220269269,0.009344244303214316,0.035064456287463165,0.001229516094735415,0.5710268647839403,1.0415077007845737
m05_joint_grw_baseline,t25,l2_calibrated,15.0,99,0.008116591699949296,0.02902943789246487,0.0008427082643524753,0.7082603256212423,1.1777115630555333,0.007678290498289839,0.02854325721862003,0.0008147175326483045,0.5937434648094394,1.0526685721862812
m05_joint_grw_baseline,t25,l2_calibrated,18.0,99,0.006827030072201465,0.024416812923748695,0.0005961807533533413,0.7054898019179994,1.168157540953663,0.006515699674382445,0.024068599906063207,0.0005792975014381458,0.6092033757050244,1.0611299575871493
m05_joint_grw_baseline,t25,l2_calibrated,20.0,99,0.00617315017583726,0.022078017322119385,0.0004874388488758036,0.704081653058702,1.1633094514216964,0.005918079248516056,0.021791537410397126,0.00047487110270873743,0.6170316010221764,1.0656829025520276
m05_joint_grw_baseline,t25,l2_calibrated,23.0,99,0.005397666247471914,0.019304323991206178,0.0003726569247574584,0.7024087249597143,1.1575566581389163,0.005202176656289801,0.019083680806674642,0.00036418687313104214,0.6263071115141132,1.0713118889973199
m05_joint_grw_baseline,t25,l2_calibrated,28.0,99,0.00446318710675202,0.01596202784750777,0.0002547863330046135,0.7003886316447533,1.1506200676011709,0.004329127447750566,0.015809826561372507,0.00024995061590067966,0.6374731277429906,1.0784260957092364
m05_joint_grw_baseline,t25,l2_calibrated,35.0,99,0.0035924437164603167,0.012847769563489472,0.00016506518275652648,0.6985022304968158,1.1441524816732906,0.0035053454550090556,0.012748345427574432,0.00016252031114075794,0.6478677201366089,1.0853815538224785
m05_joint_grw_baseline,t25,l2_calibrated,45.0,99,0.0028094268150412006,0.0100473335951598,0.00010094891237242675,0.6968025269578221,1.1383332393873324,0.0027560226786422243,0.009986074907394223,9.972169205608853e-5,0.6572079424337974,1.0919059557095094
m05_joint_grw_smile_spine_w040,t25,l2_calibrated,8.0,99,0.012749943081369586,0.05091768966557348,0.0025926111208796486,1.3820933060310605,2.7806155482321584,0.011467803924432652,0.04879666546980522,0.002381114560972081,1.1809600027389708,2.091784829253018
m05_joint_grw_smile_spine_w040,t25,l2_calibrated,10.0,99,0.010417375449708772,0.04157107065089267,0.0017281539150615095,1.3781848335053986,2.7601684060698695,0.009553506790250042,0.040125414764399764,0.0016100489100151106,1.2123246518430082,2.1831830379224177
m05_joint_grw_smile_spine_w040,t25,l2_calibrated,12.0,99,0.00880250809403812,0.035121715944635576,0.001233534930895669,1.3759501010668158,2.7471080403147186,0.008181212473421932,0.03407345250041771,0.001161000165298222,1.2348113372410734,2.2507093407526373
m05_joint_grw_smile_spine_w040,t25,l2_calibrated,15.0,99,0.007141731922643128,0.028490983481396125,0.000811736139737187,1.3736137346724506,2.7335002766385115,0.006729625367217066,0.027789785990244835,0.0007722722053836082,1.2582385025930525,2.3230956405979155
m05_joint_grw_smile_spine_w040,t25,l2_calibrated,18.0,99,0.006008108665698454,0.02396608233281403,0.0005743731023832208,1.3719967083743887,2.724109608288205,0.005714893928904378,0.02346429811539825,0.000550573286048282,1.2744181050765304,2.3743076056241303
m05_joint_grw_smile_spine_w040,t25,l2_calibrated,20.0,99,0.005433146881021573,0.02167145560650364,0.0004696519881046581,1.3711696519507133,2.7193151522531513,0.005192712014647522,0.021258790166832308,0.000451936159357406,1.282685987545946,2.4008634659312698
m05_joint_grw_smile_spine_w040,t25,l2_calibrated,23.0,99,0.004751125439148615,0.018949872467549193,0.000359097666536379,1.3701825477465512,2.7136004219523917,0.004566664403854815,0.018632175942334087,0.00034715798034609305,1.2925494033031053,2.4328867218124746
m05_joint_grw_smile_spine_w040,t25,l2_calibrated,28.0,99,0.003929080156535567,0.01566997619823,0.0002455481540530947,1.368984049027018,2.706672774318279,0.0038024260226820305,0.015450924801056993,0.00023873107720791807,1.304521431016538,2.47225799518806
m05_joint_grw_smile_spine_w040,t25,l2_calibrated,35.0,99,0.003162913942558831,0.01261347300129011,0.00015909970115427456,1.3678584076776583,2.7001770923300006,0.0030805307044926016,0.012470431115117359,0.00015551165219688718,1.3157649983520796,2.5097362026516157
m05_joint_grw_smile_spine_w040,t25,l2_calibrated,45.0,99,0.0024737828873939347,0.009864652290894692,9.73113648202539e-5,1.3668388356817671,2.6943024857122486,0.0024232161167516797,0.009776543560735183,9.558080399495257e-5,1.325951051742487,2.5441106733521437
m05_joint_grw_baseline,t25,raw,8.0,99,0.022071292233479024,0.08948970742232962,0.008008407734534156,0.4565789089779757,0.33815974354524325,0.018091050834445954,0.08671009989846606,0.0075186414244019645,0.16981278444424616,0.317968962552416
m05_joint_grw_baseline,t25,raw,10.0,99,0.01825340862670976,0.0771608279685885,0.00595379337279811,0.44728858017073025,0.5787415101134137,0.015282571061743381,0.07512781157760037,0.005644188072439424,0.17189188099179573,0.5533071318184444
m05_joint_grw_baseline,t25,raw,12.0,99,0.015320046962285037,0.0666050580393223,0.0044362337564214935,0.40878935615763473,0.912461659591838,0.013094420792917796,0.06517997293659948,0.004248428872015841,0.13253876132980116,0.9417603496688756
m05_joint_grw_baseline,t25,raw,15.0,99,0.01246543807124823,0.05405048136327419,0.002921454535601651,0.3989589379416605,0.9101278325808702,0.010990080954214283,0.05306481312193386,0.002815874391665764,0.17510215918384853,0.9225472037176439
