model,scope,n_obs,logloss,market_logloss,brier,market_brier,ece,market_ece,rps,market_rps
m05_joint_grw_baseline,all,2899,0.6431513297221412,0.6418155553508617,0.22602666692656073,0.2252928320612554,0.012339548783243948,0.01390748520485936,0.22382909760542746,0.2111040320023605
m05_joint_grw_baseline,1X2,1785,0.615583560697691,0.6131180107974481,0.21285602600310086,0.21156444032291422,0.012427592819970856,0.018580646181840455,0.22382909760542746,0.2111040320023605
m05_joint_grw_baseline,OU2.5,758,0.689861183954026,0.6898782309589602,0.24838943929089077,0.24829171351414944,0.03114914238476338,0.01829866107755568,0.22382909760542746,0.2111040320023605
m05_joint_grw_baseline,BTTS,356,0.6819221111852717,0.6833706365781275,0.2444497360170407,0.2451580767568855,0.03661720938185401,0.03004396402078209,0.22382909760542746,0.2111040320023605
m05_joint_grw_baseline,OU0.5,533,0.20844348079164138,1.3183162471185177,0.05125865698149238,0.05433616260677342,0.014734697648778857,0.036416109478396845,NaN,0.2111040320023605
m05_joint_grw_baseline,OU1.5,430,0.5207041400009377,0.5272811031135427,0.1702540808223448,0.17266435474340952,0.03217378313526977,0.010264241635519814,NaN,0.2111040320023605
m05_joint_grw_baseline,OU3.5,528,0.6123487245995802,0.6104589033548479,0.21054494031896992,0.2098660314894639,0.046521929095638244,0.01484560050373574,NaN,0.2111040320023605
m05_joint_grw_baseline,OU4.5,197,0.3457635606685537,0.5079080647524102,0.09449952841298588,0.09594017917176943,0.08504118927386299,0.09633684951953349,NaN,0.2111040320023605
m05_joint_grw_supremacy_w040,all,2899,0.641346515359453,0.6418155553508617,0.22515979083077658,0.2252928320612554,0.019495275267917448,0.01390748520485936,0.222208613478873,0.2111040320023605
m05_joint_grw_supremacy_w040,1X2,1785,0.6133766867791756,0.6131180107974481,0.21181186651248862,0.21156444032291422,0.023433204658174955,0.018580646181840455,0.222208613478873,0.2111040320023605
m05_joint_grw_supremacy_w040,OU2.5,758,0.6879563928813011,0.6898782309589602,0.24742868950466138,0.24829171351414944,0.027829096911185514,0.01829866107755568,0.222208613478873,0.2111040320023605
m05_joint_grw_supremacy_w040,BTTS,356,0.6823461132646035,0.6833706365781275,0.2446716439581322,0.2451580767568855,0.004240433854030834,0.03004396402078209,0.222208613478873,0.2111040320023605
m05_joint_grw_supremacy_w040,OU0.5,533,0.20940427541354317,1.3183162471185177,0.05138801351455344,0.05433616260677342,0.015631633084435617,0.036416109478396845,NaN,0.2111040320023605
m05_joint_grw_supremacy_w040,OU1.5,430,0.5228501562386664,0.5272811031135427,0.17121537320312824,0.17266435474340952,0.023402444397943388,0.010264241635519814,NaN,0.2111040320023605
m05_joint_grw_supremacy_w040,OU3.5,528,0.6113112749793198,0.6104589033548479,0.21016043206353896,0.2098660314894639,0.03063297655347218,0.01484560050373574,NaN,0.2111040320023605
m05_joint_grw_supremacy_w040,OU4.5,197,0.34730807160175914,0.5079080647524102,0.09486031071189145,0.09594017917176943,0.08383585237290488,0.09633684951953349,NaN,0.2111040320023605
m05_joint_grw_smile_supremacy_w020,all,2899,0.6411578818645122,0.6418155553508617,0.22504534072123558,0.2252928320612554,0.015215578274574369,0.01390748520485936,0.22164372269614663,0.2111040320023605
m05_joint_grw_smile_supremacy_w020,1X2,1785,0.6124457921083035,0.6131180107974481,0.21134063278747103,0.21156444032291422,0.024266307995718352,0.018580646181840455,0.22164372269614663,0.2111040320023605
m05_joint_grw_smile_supremacy_w020,OU2.5,758,0.6870453387803068,0.6898782309589602,0.2469389285192199,0.24829171351414944,0.01788071758142288,0.01829866107755568,0.22164372269614663,0.2111040320023605
m05_joint_grw_smile_supremacy_w020,BTTS,356,0.6874173983607658,0.6833706365781275,0.24714523990914372,0.2451580767568855,0.016931233639486513,0.03004396402078209,0.22164372269614663,0.2111040320023605
m05_joint_grw_smile_supremacy_w020,OU0.5,533,0.22267442566822673,1.3183162471185177,0.053212828334577564,0.05433616260677342,0.043978908968951666,0.036416109478396845,NaN,0.2111040320023605
m05_joint_grw_smile_supremacy_w020,OU1.5,430,0.5278390607824485,0.5272811031135427,0.17289284470314187,0.17266435474340952,0.019931243398351645,0.010264241635519814,NaN,0.2111040320023605
m05_joint_grw_smile_supremacy_w020,OU3.5,528,0.6094791389150198,0.6104589033548479,0.20952527179004088,0.2098660314894639,0.02031513372108749,0.01484560050373574,NaN,0.2111040320023605
m05_joint_grw_smile_supremacy_w020,OU4.5,197,0.3471308768007786,0.5079080647524102,0.09534075126547532,0.09594017917176943,0.08888122283085556,0.09633684951953349,NaN,0.2111040320023605
m05_joint_grw_smile_supremacy_w040,all,2899,0.6409203201213555,0.6418155553508617,0.22494110412019608,0.2252928320612554,0.014494373982518011,0.01390748520485936,0.22127829660748882,0.2111040320023605
m05_joint_grw_smile_supremacy_w040,1X2,1785,0.6120890097909093,0.6131180107974481,0.2111833829440496,0.21156444032291422,0.02513903303564383,0.018580646181840455,0.22127829660748882,0.2111040320023605
m05_joint_grw_smile_supremacy_w040,OU2.5,758,0.6869823226201967,0.6898782309589602,0.24691256896698593,0.24829171351414944,0.0228261728779098,0.01829866107755568,0.22127829660748882,0.2111040320023605
m05_joint_grw_smile_supremacy_w040,BTTS,356,0.6874059691262147,0.6833706365781275,0.24714099722568506,0.2451580767568855,0.009457263540236608,0.03004396402078209,0.22127829660748882,0.2111040320023605
m05_joint_grw_smile_supremacy_w040,OU0.5,533,0.22282708008606636,1.3183162471185177,0.05325764172527358,0.05433616260677342,0.044202978998790984,0.036416109478396845,NaN,0.2111040320023605
m05_joint_grw_smile_supremacy_w040,OU1.5,430,0.52764886764186,0.5272811031135427,0.17286035247147463,0.17266435474340952,0.020247332198642252,0.010264241635519814,NaN,0.2111040320023605
m05_joint_grw_smile_supremacy_w040,OU3.5,528,0.6089735580929042,0.6104589033548479,0.2092685922994745,0.2098660314894639,0.02012453747184463,0.01484560050373574,NaN,0.2111040320023605
m05_joint_grw_smile_supremacy_w040,OU4.5,197,0.34762602977764867,0.5079080647524102,0.09552280762280957,0.09594017917176943,0.08906649127179674,0.09633684951953349,NaN,0.2111040320023605
m05_joint_grw_smile_spine_w020,all,2899,0.6410370767127065,0.6418155553508617,0.2249852131512094,0.2252928320612554,0.013952383326884544,0.01390748520485936,0.2218430770711067,0.2111040320023605
