model,strike,K,n_obs,logloss,market_logloss,delta_logloss,mean_p_model,mean_p_market,mean_gap,realised_under_rate
m05_joint_grw_baseline,0.5,0,149,0.15797065403535504,0.15574032167682292,0.002230332358532122,0.07183170580354066,0.06787083734120897,0.003960868462331687,0.03355704697986577
m05_joint_grw_smile_spine_w020,0.5,0,149,0.17215042745979287,0.15574032167682292,0.016410105782969947,0.08930294670816401,0.06787083734120897,0.021432109366955023,0.03355704697986577
m05_joint_grw_smile_spine_w040,0.5,0,149,0.17191309237182775,0.15574032167682292,0.016172770695004834,0.08939313532025486,0.06787083734120897,0.021522297979045903,0.03355704697986577
m05_joint_grw_smile_supremacy_w020,0.5,0,149,0.17911921168720768,0.15574032167682292,0.023378890010384762,0.09935744679089102,0.06787083734120897,0.03148660944968203,0.03355704697986577
m05_joint_grw_smile_supremacy_w040,0.5,0,149,0.17905383128478822,0.15574032167682292,0.0233135096079653,0.09948221356220449,0.06787083734120897,0.031611376220995524,0.03355704697986577
m05_joint_grw_supremacy_w040,0.5,0,149,0.1593842721523793,0.15574032167682292,0.003643950475556379,0.07287781071801,0.06787083734120897,0.005006973376801021,0.03355704697986577
m05_joint_grw_baseline,1.5,1,215,0.5207039996555543,0.5272811031135425,-0.0065771034579882315,0.24229908658689386,0.23045245825536975,0.011846628331524096,0.22790697674418606
m05_joint_grw_smile_spine_w020,1.5,1,215,0.5320689887607958,0.5272811031135425,0.004787885647253298,0.27150905282089527,0.23045245825536975,0.04105659456552551,0.22790697674418606
m05_joint_grw_smile_spine_w040,1.5,1,215,0.5318345028511191,0.5272811031135425,0.004553399737576624,0.27168582418057835,0.23045245825536975,0.041233365925208605,0.22790697674418606
m05_joint_grw_smile_supremacy_w020,1.5,1,215,0.5278390607824484,0.5272811031135425,0.000557957668905873,0.24783822014253754,0.23045245825536975,0.017385761887167814,0.22790697674418606
m05_joint_grw_smile_supremacy_w040,1.5,1,215,0.5276488676418597,0.5272811031135425,0.00036776452831721596,0.2481543089428284,0.23045245825536975,0.017701850687458685,0.22790697674418606
m05_joint_grw_supremacy_w040,1.5,1,215,0.5228498698028763,0.5272811031135425,-0.004431233310666194,0.24440287340689174,0.23045245825536975,0.013950415151521966,0.22790697674418606
m05_joint_grw_baseline,2.5,2,379,0.6898613864854243,0.6898782309589594,-1.6844473535115867e-5,0.4783877099240928,0.4701717803672084,0.008215929556884301,0.49868073878627966
m05_joint_grw_smile_spine_w020,2.5,2,379,0.6862126948573306,0.6898782309589594,-0.0036655361016287857,0.49169238098045803,0.4701717803672084,0.02152060061324953,0.49868073878627966
m05_joint_grw_smile_spine_w040,2.5,2,379,0.6861493534191364,0.6898782309589594,-0.0037288775398229834,0.49219805725162574,0.4701717803672084,0.022026276884417176,0.49868073878627966
m05_joint_grw_smile_supremacy_w020,2.5,2,379,0.6870453387803062,0.6898782309589594,-0.0028328921786532346,0.4779811417979885,0.4701717803672084,0.00780936143078014,0.49868073878627966
m05_joint_grw_smile_supremacy_w040,2.5,2,379,0.6869823226201973,0.6898782309589594,-0.0028959083387620765,0.4784201564222588,0.4701717803672084,0.008248376055050417,0.49868073878627966
m05_joint_grw_supremacy_w040,2.5,2,379,0.6879566842615928,0.6898782309589594,-0.0019215466973665496,0.4823116849865809,0.4701717803672084,0.012139904619372283,0.49868073878627966
m05_joint_grw_baseline,3.5,3,264,0.6123486456034328,0.6104589033548479,0.001889742248584958,0.6841231774749571,0.685934775159916,-0.0018115976849589017,0.6931818181818182
m05_joint_grw_smile_spine_w020,3.5,3,264,0.6100310741858266,0.6104589033548479,-0.00042782916902128765,0.6733273674595988,0.685934775159916,-0.012607407700317107,0.6931818181818182
m05_joint_grw_smile_spine_w040,3.5,3,264,0.6093590492675767,0.6104589033548479,-0.0010998540872712015,0.6736101403361405,0.685934775159916,-0.012324634823775263,0.6931818181818182
m05_joint_grw_smile_supremacy_w020,3.5,3,264,0.6094791389150194,0.6104589033548479,-0.000979764439828501,0.67772914377909,0.685934775159916,-0.008205631380825916,0.6931818181818182
m05_joint_grw_smile_supremacy_w040,3.5,3,264,0.6089735580929045,0.6104589033548479,-0.0014853452619433272,0.6778140734983018,0.685934775159916,-0.008120701661614372,0.6931818181818182
m05_joint_grw_supremacy_w040,3.5,3,264,0.611311250812125,0.6104589033548479,0.0008523474572771361,0.6887303981495457,0.685934775159916,0.002795622989629591,0.6931818181818182
m05_joint_grw_baseline,4.5,4,104,0.3438349187227429,0.6471031959065658,-0.30326827718382293,0.8397490649045924,0.8577709555928491,-0.018021890688256763,0.9038461538461539
m05_joint_grw_smile_spine_w020,4.5,4,104,0.35156385986778166,0.6471031959065658,-0.2955393360387842,0.8077002509370552,0.8577709555928491,-0.05007070465579393,0.9038461538461539
m05_joint_grw_smile_spine_w040,4.5,4,104,0.35175753092688367,0.6471031959065658,-0.2953456649796822,0.8077600458013473,0.8577709555928491,-0.05001090979150205,0.9038461538461539
m05_joint_grw_smile_supremacy_w020,4.5,4,104,0.34596609271195383,0.6471031959065658,-0.301137103194612,0.8168350265223735,0.8577709555928491,-0.04093592907047562,0.9038461538461539
m05_joint_grw_smile_supremacy_w040,4.5,4,104,0.3462574340356881,0.6471031959065658,-0.30084576187087775,0.8167825924719794,0.8577709555928491,-0.040988363120869765,0.9038461538461539
m05_joint_grw_supremacy_w040,4.5,4,104,0.34560214527558075,0.6471031959065658,-0.3015010506309851,0.8412661914878921,0.8577709555928491,-0.016504764104957013,0.9038461538461539
