route,role,model,n_panel,n_slates,n_bets,total_return_pct,cagr_pct,growth_per_slate,growth_lo,growth_hi,roi_pct,p_roi_positive,sharpe_ann,calmar,max_drawdown_pct,win_rate_pct,mean_edge_pp,mean_exposure,n_bets_1x2,n_bets_totals,capture_ratio,run_id
reweighted,pinned,m05_joint_grw_baseline,632,100,1247,385.77757677304226,150.01743292434026,0.015805806721928422,-0.0003705992042185303,0.03232579811669041,11.676122043521175,0.98375,1.4527253832777605,9.041681782277903,-42.66657310691728,35.20449077786688,4.125058211449413,0.16632412452063444,986,261,1.079948560365559,b0961bc4-c40c-4dbe-9c05-57df7ae0839e
reweighted,pinned,m05_joint_grw_supremacy_w040,632,100,1244,404.5723663171682,155.58081179642667,0.016185410851782028,0.00072482358183669,0.032071418121355486,12.751194815133763,0.99225,1.550550898847814,9.487622224388927,-42.64212431194536,36.4951768488746,3.7552124199705474,0.15304215012310587,983,261,1.0696149297792785,0ee58d18-b7e9-4168-8d78-93887b1a8c26
reweighted,pinned,m05_joint_grw_smile_supremacy_w020,632,100,1253,606.4611760925465,210.64834921057178,0.019550980621743857,0.0013842542588162773,0.037578188778317756,15.691287872071266,0.99525,1.6109411097093926,14.916287241270908,-40.657649338809215,32.0830007980846,3.754286059647246,0.15360330388744578,1053,200,0.9979031053509967,fcd5e974-9a46-4a10-9828-6b987a5484d6
grid,pinned,m05_joint_grw_smile_supremacy_w020,632,100,1240,588.421873055331,206.02451191708306,0.01929231651602988,-0.0002899714249227831,0.03899775631219522,15.707413913401693,0.99575,1.4945381105902102,13.367251483612224,-44.01966056946826,33.95161290322581,3.757525703823644,0.15535215656466964,988,252,0.9813783068111814,fcd5e974-9a46-4a10-9828-6b987a5484d6
reweighted,pinned,m05_joint_grw_smile_supremacy_w040,632,100,1250,553.4909313352383,196.9236859266161,0.01877158469910638,0.002052467463791762,0.036043224293749725,15.724619922056439,0.99525,1.640492880600992,14.161866900175292,-39.083189754338626,32.56,3.498312034925468,0.14508381639012732,1051,199,0.9827060445469952,30620d3e-e4bd-4c05-b1a1-85cefa36b728
grid,pinned,m05_joint_grw_smile_supremacy_w040,632,100,1237,545.0097874045468,194.68342091184005,0.01864095304963169,0.0003639309854983053,0.03755112643779103,15.817992802173645,0.99475,1.515921146794607,12.377251952257662,-44.03318196210224,33.95311236863379,3.5281414323997202,0.14713022922911514,984,253,1.0002749794154562,30620d3e-e4bd-4c05-b1a1-85cefa36b728
reweighted,candidate,m05_joint_grw_smile_spine_w020,632,100,1225,485.0418719458329,178.47471455473251,0.017665132346581094,-0.0009956417198415993,0.03645116298163338,14.302667135439975,0.99125,1.4267076047544407,11.550205755608571,-41.994219168806175,33.38775510204081,3.930049576095276,0.15633361010882393,986,239,1.0057111899234992,eaf53852-a078-4190-b744-089966a306f6
grid,candidate,m05_joint_grw_smile_spine_w020,632,100,1283,558.0095163991881,198.11226489405564,0.01884049207845391,-0.00020318319122159345,0.03794353401026698,14.765519877549007,0.9925,1.490885523640977,12.663216696368977,-44.065384789568554,34.06079501169135,3.8379706549961154,0.16074732997813462,1001,282,0.9747252792325757,eaf53852-a078-4190-b744-089966a306f6
reweighted,candidate,m05_joint_grw_smile_spine_w040,632,100,1232,469.353509772741,174.12062188883763,0.01739331337775281,-0.00023818324779535275,0.03551452575754033,14.543256268120428,0.9945,1.4618548772102955,11.274361204509558,-41.63016434004326,33.27922077922078,3.6485161959889085,0.1494110528321869,995,237,1.0329009399910511,582035c0-e145-44f7-9f40-89e25388e79a
grid,candidate,m05_joint_grw_smile_spine_w040,632,100,1269,538.8007971884437,193.03548011830966,0.018544224782988304,0.00027121666264424727,0.03708643688941639,15.021576622636056,0.996,1.5186570740415009,12.242452936743787,-44.01085305145983,34.35776201733648,3.637942446586869,0.15387174310239377,987,282,0.9806674698430715,582035c0-e145-44f7-9f40-89e25388e79a
