model,fixture,p_under_ref,p_under_typed,p_under_legacy,p_under_grid,smile_shift
m05_joint_grw_smile_spine_w020,12477128,0.5033972385140644,0.5033972385140645,0.5033972385140645,0.5033972385140645,-1.1102230246251565e-16
m05_joint_grw_smile_spine_w020,12477134,0.47063161512276835,0.47063161512276813,0.47063161512276813,0.47063161512276813,2.220446049250313e-16
m05_joint_grw_smile_spine_w020,12477131,0.4209524583899916,0.42095245838999046,0.42095245838999046,0.42095245838999046,1.1657341758564144e-15
m05_joint_grw_smile_spine_w020,12477135,0.46931087426946677,0.4693108742694656,0.4693108742694656,0.46931087426946555,1.2212453270876722e-15
m05_joint_grw_smile_spine_w020,12477132,0.4874863028870052,0.4874863028870057,0.4874863028870057,0.4874863028870056,-4.440892098500626e-16
m05_joint_grw_smile_spine_w020,12476800,0.45050232960207914,0.4505023296020796,0.4505023296020796,0.4505023296020796,-4.440892098500626e-16
m05_joint_grw_smile_spine_w040,12477128,0.5041523103201195,0.5041523103201192,0.5041523103201192,0.5041523103201191,4.440892098500626e-16
m05_joint_grw_smile_spine_w040,12477134,0.47068344318027994,0.4706834431802804,0.4706834431802804,0.47068344318028027,-3.3306690738754696e-16
m05_joint_grw_smile_spine_w040,12477131,0.41973001740710447,0.4197300174071054,0.4197300174071054,0.4197300174071054,-9.43689570931383e-16
m05_joint_grw_smile_spine_w040,12477135,0.46859981552257746,0.4685998155225775,0.4685998155225775,0.4685998155225775,-5.551115123125783e-17
m05_joint_grw_smile_spine_w040,12477132,0.4896702746596539,0.48967027465965346,0.48967027465965346,0.4896702746596534,4.996003610813204e-16
m05_joint_grw_smile_spine_w040,12476800,0.4514776669279911,0.4514776669279908,0.4514776669279908,0.45147766692799074,3.3306690738754696e-16
