environment,question,pair,bet_set,owner,n_bets,win_rate_pct,roi_pct,edge_mean_pp,capture_ratio
t25,Q1 raw lead at T−25,m05_joint_grw_smile_spine_w020[raw] − m05_joint_grw_baseline[raw],shared,a,839,30.98927294398093,18.570701276072406,4.790626791702778,1.0200328606825226
t25,Q1 raw lead at T−25,m05_joint_grw_smile_spine_w020[raw] − m05_joint_grw_baseline[raw],shared,b,839,30.98927294398093,15.03861080642627,4.741639483527179,1.0760144668635225
t25,Q1 raw lead at T−25,m05_joint_grw_smile_spine_w020[raw] − m05_joint_grw_baseline[raw],exclusive,a,276,38.768115942028984,0.42474326986771005,1.4917920356619458,0.9608124684933517
t25,Q1 raw lead at T−25,m05_joint_grw_smile_spine_w020[raw] − m05_joint_grw_baseline[raw],exclusive,b,285,48.421052631578945,10.455357493027298,2.404413399766035,2.3052639020726655
t25,"Q2 beyond L2, smile kept",m05_joint_grw_smile_spine_w020[t25_inv_pooltot] − m05_joint_grw_baseline[t25_inv],shared,a,747,31.72690763052209,24.117596570769447,2.303661540839964,1.0349423229928427
t25,"Q2 beyond L2, smile kept",m05_joint_grw_smile_spine_w020[t25_inv_pooltot] − m05_joint_grw_baseline[t25_inv],shared,b,747,31.72690763052209,17.19136777096212,2.614400803828259,1.0586878009676266
t25,"Q2 beyond L2, smile kept",m05_joint_grw_smile_spine_w020[t25_inv_pooltot] − m05_joint_grw_baseline[t25_inv],exclusive,a,228,34.64912280701755,-3.3239772993365118,0.7035742181022374,1.1741844970863258
t25,"Q2 beyond L2, smile kept",m05_joint_grw_smile_spine_w020[t25_inv_pooltot] − m05_joint_grw_baseline[t25_inv],exclusive,b,222,51.80180180180181,18.23546139954677,1.507544403476453,1.826087105887844
t25,"Q3 beyond L2, smile dropped",m05_joint_grw_smile_spine_w020[t25_inv_grid] − m05_joint_grw_baseline[t25_inv],shared,a,796,32.914572864321606,23.41835663659629,2.343072596205431,1.000661528300752
t25,"Q3 beyond L2, smile dropped",m05_joint_grw_smile_spine_w020[t25_inv_grid] − m05_joint_grw_baseline[t25_inv],shared,b,796,32.914572864321606,17.267729497298305,2.5528149865124994,1.0575814561980852
t25,"Q3 beyond L2, smile dropped",m05_joint_grw_smile_spine_w020[t25_inv_grid] − m05_joint_grw_baseline[t25_inv],exclusive,a,184,40.76086956521739,-7.417122417194411,0.992006840913394,0.9780654852494703
t25,"Q3 beyond L2, smile dropped",m05_joint_grw_smile_spine_w020[t25_inv_grid] − m05_joint_grw_baseline[t25_inv],exclusive,b,173,52.02312138728323,18.15698638291327,1.4774076807371836,1.8808669770994564
t25,Q4 pillar instead of L2,m05_joint_grw_smile_spine_w020[raw] − m05_joint_grw_baseline[t25_inv],shared,a,734,31.471389645776565,20.563923469675075,5.26996359768223,0.9906250299258829
t25,Q4 pillar instead of L2,m05_joint_grw_smile_spine_w020[raw] − m05_joint_grw_baseline[t25_inv],shared,b,734,31.471389645776565,18.34169664891203,2.731013410240126,1.0939958254501385
t25,Q4 pillar instead of L2,m05_joint_grw_smile_spine_w020[raw] − m05_joint_grw_baseline[t25_inv],exclusive,a,381,35.69553805774278,-2.8375211125647244,1.4774729642587132,1.0629503292292541
t25,Q4 pillar instead of L2,m05_joint_grw_smile_spine_w020[raw] − m05_joint_grw_baseline[t25_inv],exclusive,b,235,51.48936170212765,13.665600399570186,1.2045464464477869,2.0985817876598514
t25,"H4 spine − five-strike, raw",m05_joint_grw_smile_spine_w020[raw] − m05_joint_grw_smile_supremacy_w020[raw],shared,a,959,30.761209593326384,16.269362469563568,4.4862623835405495,1.0485580185435985
t25,"H4 spine − five-strike, raw",m05_joint_grw_smile_spine_w020[raw] − m05_joint_grw_smile_supremacy_w020[raw],shared,b,959,30.761209593326384,16.180925121351557,4.426005189231158,0.9997579516044516
t25,"H4 spine − five-strike, raw",m05_joint_grw_smile_spine_w020[raw] − m05_joint_grw_smile_supremacy_w020[raw],exclusive,a,156,46.15384615384615,15.185770046025883,0.8252875273457633,0.7683293248599259
t25,"H4 spine − five-strike, raw",m05_joint_grw_smile_spine_w020[raw] − m05_joint_grw_smile_supremacy_w020[raw],exclusive,b,160,33.125,-4.655016492063797,0.42167253987664643,2.7173535975658867
t25,"H4 spine − five-strike, pooltot",m05_joint_grw_smile_spine_w020[t25_inv_pooltot] − m05_joint_grw_smile_supremacy_w020[t25_inv_pooltot],shared,a,736,29.347826086956523,21.61715328661943,2.366094786904318,1.1409392677489387
t25,"H4 spine − five-strike, pooltot",m05_joint_grw_smile_spine_w020[t25_inv_pooltot] − m05_joint_grw_smile_supremacy_w020[t25_inv_pooltot],shared,b,736,29.347826086956523,19.76387179890592,2.294085254609165,1.0332411807411135
t25,"H4 spine − five-strike, pooltot",m05_joint_grw_smile_spine_w020[t25_inv_pooltot] − m05_joint_grw_smile_supremacy_w020[t25_inv_pooltot],exclusive,a,239,41.84100418410041,9.940738322334607,0.584955353862695,1.058943822971853
t25,"H4 spine − five-strike, pooltot",m05_joint_grw_smile_spine_w020[t25_inv_pooltot] − m05_joint_grw_smile_supremacy_w020[t25_inv_pooltot],exclusive,b,217,34.56221198156682,10.15797754010448,1.082623408569741,0.6535185701094411
t25,within arm: pooltot − grid,m05_joint_grw_smile_spine_w020[t25_inv_pooltot] − m05_joint_grw_smile_spine_w020[t25_inv_grid],shared,a,852,32.98122065727699,21.61709294933811,2.210709516968928,0.995763006107149
