question,environment,pair,return_a_pct,return_b_pct,roi_a_pct,roi_b_pct,delta_roi_pp,n_slates,delta_log_growth_per_slate,lo,hi,p_better,delta_total_log_growth
Q1 raw lead at T−25,t25,m05_joint_grw_smile_spine_w020[raw] − m05_joint_grw_baseline[raw],507.4673081526882,531.7811340934728,16.213710501959763,14.152408726635706,2.0613017753240577,99,-0.00039641078109513316,-0.011604687543829395,0.011209242490639435,0.4768,-0.039244667328418185
"Q2 beyond L2, smile kept",t25,m05_joint_grw_smile_spine_w020[t25_inv_pooltot] − m05_joint_grw_baseline[t25_inv],187.83942271647706,245.85059998036266,20.128915948948073,17.388934246342636,2.739981702605437,99,-0.0018545871233851654,-0.006841138033576249,0.0034396831340576194,0.2373,-0.18360412521513136
"Q3 beyond L2, smile dropped",t25,m05_joint_grw_smile_spine_w020[t25_inv_grid] − m05_joint_grw_baseline[t25_inv],232.10024363957794,245.85059998036266,20.44769508113513,17.388934246342636,3.058760834792494,99,-0.0004097982608975109,-0.005314223827909488,0.004771066578160636,0.436,-0.04057002782885358
Q4 pillar instead of L2,t25,m05_joint_grw_smile_spine_w020[raw] − m05_joint_grw_baseline[t25_inv],507.4673081526882,245.85059998036266,16.213710501959763,17.388934246342636,-1.1752237443828726,99,0.005689812830119194,-0.00831774164186321,0.019634361933439485,0.7938,0.5632914701818001
"H4 spine − five-strike, raw",t25,m05_joint_grw_smile_spine_w020[raw] − m05_joint_grw_smile_supremacy_w020[raw],507.4673081526882,450.0545314438508,16.213710501959763,15.444374208244131,0.7693362937156323,99,0.0010028377639885076,-0.003339664494674973,0.0051333830361766026,0.6796,0.09928093863486225
"H4 spine − five-strike, pooltot",t25,m05_joint_grw_smile_spine_w020[t25_inv_pooltot] − m05_joint_grw_smile_supremacy_w020[t25_inv_pooltot],187.83942271647706,170.84375552938096,20.128915948948073,18.668102130055413,1.4608138188926603,99,0.0006147541199931438,-0.002938402350932679,0.003991061712477139,0.6327,0.06086065787932124
within arm: pooltot − grid,t25,m05_joint_grw_smile_spine_w020[t25_inv_pooltot] − m05_joint_grw_smile_spine_w020[t25_inv_grid],187.83942271647706,232.10024363957794,20.128915948948073,20.44769508113513,-0.318779132187057,99,-0.0014447888624876544,-0.003517797530156627,0.0006165015042260964,0.0838,-0.1430340973862778
close reference (r06),close,m05_joint_grw_smile_spine_w020[raw] − m05_joint_grw_baseline[raw],485.0418719458329,385.77757677304226,14.302667135439975,11.676122043521175,2.6265450919188,100,0.0018593256246526749,-0.00904648382766724,0.01334800079544448,0.6287,0.1859325624652675
Q1 raw lead at T−25,t25,m05_joint_grw_smile_spine_w040[raw] − m05_joint_grw_baseline[raw],457.6981207541064,531.7811340934728,16.276777187906166,14.152408726635706,2.1243684612704605,99,-0.0012598506424309406,-0.012725081851278726,0.010603628495906918,0.417,-0.1247252136006631
"Q2 beyond L2, smile kept",t25,m05_joint_grw_smile_spine_w040[t25_inv_pooltot] − m05_joint_grw_baseline[t25_inv],171.11693606148242,245.85059998036266,20.554126732622116,17.388934246342636,3.16519248627948,99,-0.0024591582187026384,-0.007595868842847324,0.0029480623628643536,0.1792,-0.2434566636515612
"Q3 beyond L2, smile dropped",t25,m05_joint_grw_smile_spine_w040[t25_inv_grid] − m05_joint_grw_baseline[t25_inv],220.98799762897374,245.85059998036266,21.04320183929248,17.388934246342636,3.654267592949843,99,-0.0007535672522973128,-0.0057923724204147296,0.0045086226272768575,0.3864,-0.07460315797743397
Q4 pillar instead of L2,t25,m05_joint_grw_smile_spine_w040[raw] − m05_joint_grw_baseline[t25_inv],457.6981207541064,245.85059998036266,16.276777187906166,17.388934246342636,-1.1121570584364697,99,0.004826372968783387,-0.008911339727504899,0.018363151498052403,0.7605,0.47781092390955526
"H4 spine − five-strike, raw",t25,m05_joint_grw_smile_spine_w040[raw] − m05_joint_grw_smile_supremacy_w040[raw],457.6981207541064,381.22630248195276,16.276777187906166,15.143609857701351,1.1331673302048149,99,0.001489698696569419,-0.0028385335467614402,0.005526983744879414,0.7521,0.14748017096037247
"H4 spine − five-strike, pooltot",t25,m05_joint_grw_smile_spine_w040[t25_inv_pooltot] − m05_joint_grw_smile_supremacy_w040[t25_inv_pooltot],171.11693606148242,155.7822765626708,20.554126732622116,19.008418616728292,1.5457081158938237,99,0.0005881174318743443,-0.002762534123892686,0.00379630410432264,0.6367,0.05822362575556009
within arm: pooltot − grid,t25,m05_joint_grw_smile_spine_w040[t25_inv_pooltot] − m05_joint_grw_smile_spine_w040[t25_inv_grid],171.11693606148242,220.98799762897374,20.554126732622116,21.04320183929248,-0.4890751066703629,99,-0.0017055909664053265,-0.00372540032942113,0.0002994067807882008,0.0481,-0.16885350567412732
close reference (r06),close,m05_joint_grw_smile_spine_w040[raw] − m05_joint_grw_baseline[raw],469.353509772741,385.77757677304226,14.543256268120428,11.676122043521175,2.867134224599253,100,0.0015875066558243781,-0.009484887306400113,0.013232746068700969,0.6111,0.1587506655824378
Q1 raw lead at T−25,t25,m05_joint_grw_supremacy_w040[raw] − m05_joint_grw_baseline[raw],605.6257973602172,531.7811340934728,16.172416927644026,14.152408726635706,2.02000820100832,99,0.0011165862379215099,-0.007195017176978326,0.009408657731005066,0.6003,0.11054203755422948
Q2 beyond L2,t25,m05_joint_grw_supremacy_w040[t25_inv] − m05_joint_grw_baseline[t25_inv],219.52830899296657,245.85059998036266,17.979045805244425,17.388934246342636,0.5901115589017891,99,-0.0007996062212639907,-0.004625958604104394,0.0030780659044233887,0.3458,-0.07916101590513508
