environment,variant,model,n_totals_bets,max_abs_vs_smile,min_abs_vs_grid,stake_max_abs_gap,stake_per_strike_gap
close,raw,m05_joint_grw_smile_supremacy_w020,200,1.942890293094024e-15,6.20688043184714e-5,3.219646771412954e-15,1.1e-16/1.2e-15/2.2e-15/3.1e-15/3.2e-15
close,raw,m05_joint_grw_smile_supremacy_w040,199,1.7763568394002505e-15,0.00012926842063659683,3.552713678800501e-15,1.2e-16/9.4e-16/1.8e-15/2.9e-15/3.6e-15
close,raw,m05_joint_grw_smile_spine_w020,239,1.5543122344752192e-15,0.0,3.4416913763379853e-15,1.1e-16/1.4e-15/1.8e-15/3.4e-15/3.3e-15
close,raw,m05_joint_grw_smile_spine_w040,237,1.5543122344752192e-15,0.0,2.9976021664879227e-15,9.7e-17/1.4e-15/1.8e-15/3.0e-15/3.0e-15
t25,raw,m05_joint_grw_smile_supremacy_w020,145,1.8318679906315083e-15,8.298185584432183e-5,3.219646771412954e-15,1.1e-16/1.2e-15/2.2e-15/3.1e-15/3.2e-15
t25,t25_inv_pooltot,m05_joint_grw_smile_supremacy_w020,113,1.7763568394002505e-15,0.00012718345052059599,3.4416913763379853e-15,1.4e-16/1.3e-15/1.9e-15/3.4e-15/3.1e-15
t25,raw,m05_joint_grw_smile_supremacy_w040,150,1.5543122344752192e-15,0.00013259899654832763,3.552713678800501e-15,1.2e-16/9.4e-16/1.8e-15/2.9e-15/3.6e-15
t25,t25_inv_pooltot,m05_joint_grw_smile_supremacy_w040,117,1.5543122344752192e-15,7.473142197300664e-5,3.4416913763379853e-15,1.4e-16/1.4e-15/2.4e-15/3.1e-15/3.4e-15
t25,raw,m05_joint_grw_smile_spine_w020,207,1.7208456881689926e-15,0.0,3.4416913763379853e-15,1.1e-16/1.4e-15/1.8e-15/3.4e-15/3.3e-15
t25,t25_inv_pooltot,m05_joint_grw_smile_spine_w020,174,1.6653345369377348e-15,0.0,3.4416913763379853e-15,1.1e-16/1.4e-15/2.0e-15/2.9e-15/3.4e-15
t25,raw,m05_joint_grw_smile_spine_w040,210,1.6653345369377348e-15,0.0,2.9976021664879227e-15,9.7e-17/1.4e-15/1.8e-15/3.0e-15/3.0e-15
t25,t25_inv_pooltot,m05_joint_grw_smile_spine_w040,169,1.3877787807814457e-15,0.0,3.1086244689504383e-15,1.4e-16/1.3e-15/2.0e-15/2.6e-15/3.1e-15
