environment,policy,model,level,group,n_bets,win_rate_pct,roi_pct,stake_share_pct,edge_mean_pp,odds_mean,capture_ratio
close,+U0.5,m05_joint_grw_baseline,family,O/U 0.5_under_05,81,3.7037037037037033,-63.62369621319987,1.2013243296515,1.7829564379515705,16.13351797069158,0.6714536451184735
close,+U1.5,m05_joint_grw_baseline,family,O/U 1.5_under_15,105,23.809523809523807,37.66330018777109,3.5133416658145977,4.543373481475966,4.746449068914619,1.3844386986987447
close,+U3.5,m05_joint_grw_baseline,family,O/U 3.5_under_35,99,74.74747474747475,2.4327149273554785,6.998235244928429,5.849632197340395,1.500337982656685,0.7777101511258128
close,+U4.5,m05_joint_grw_baseline,family,O/U 4.5_under_45,28,96.42857142857143,18.785391071604973,3.0282940798014386,4.493651733095005,1.2316051139803357,NaN
close,+O2.5,m05_joint_grw_baseline,family,O/U 2.5_over_25,104,50.96153846153846,0.8882818200983329,6.328591091808319,5.891628008783945,1.9287828574084263,1.148724051259153
close,+O3.5,m05_joint_grw_baseline,family,O/U 3.5_over_35,120,36.666666666666664,2.9370897639853415,7.490271404396451,5.518063079620399,3.361172708425817,0.8284840778521544
close,+O4.5,m05_joint_grw_baseline,family,O/U 4.5_over_45,54,9.25925925925926,-30.847083188946826,1.990193872681927,3.657704182135385,7.014084958925831,1.3995669015553172
close,+BTTS_yes,m05_joint_grw_baseline,family,BTTS_btts_yes,52,55.769230769230774,2.0337509825914437,2.8405654008627077,1.8549246830243369,1.7977454968151247,3.2874761624472124
close,+BTTS_no,m05_joint_grw_baseline,family,BTTS_btts_no,69,42.028985507246375,-7.064300013925897,2.865767047838495,3.5204069724282547,2.2807174654258824,1.172084536675238
close,+all_unders,m05_joint_grw_baseline,family,O/U 0.5_under_05,81,3.7037037037037033,-64.45914743715664,1.0469517666058088,1.7829564379515705,16.13351797069158,0.6714536451184735
close,+all_unders,m05_joint_grw_baseline,family,O/U 1.5_under_15,105,23.809523809523807,36.75215881067082,3.133083473289146,4.543373481475966,4.746449068914619,1.3844386986987447
close,+all_unders,m05_joint_grw_baseline,family,O/U 3.5_under_35,99,74.74747474747475,2.3411775697132122,6.454304266646224,5.849632197340395,1.500337982656685,0.7777101511258128
close,+all_unders,m05_joint_grw_baseline,family,O/U 4.5_under_45,28,96.42857142857143,18.547039417283344,2.696708630385748,4.493651733095005,1.2316051139803357,NaN
close,+all_fringe,m05_joint_grw_baseline,family,BTTS_btts_no,69,42.028985507246375,-6.8180864857644465,2.173928158053368,3.5204069724282547,2.2807174654258824,1.172084536675238
close,+all_fringe,m05_joint_grw_baseline,family,BTTS_btts_yes,52,55.769230769230774,2.046372730752216,2.0256611428662534,1.8549246830243369,1.7977454968151247,3.2874761624472124
close,+all_fringe,m05_joint_grw_baseline,family,O/U 0.5_under_05,81,3.7037037037037033,-65.5026681646132,0.8839876155789695,1.7829564379515705,16.13351797069158,0.6714536451184735
close,+all_fringe,m05_joint_grw_baseline,family,O/U 1.5_under_15,105,23.809523809523807,32.751450765200985,2.606520982566057,4.543373481475966,4.746449068914619,1.3844386986987447
close,+all_fringe,m05_joint_grw_baseline,family,O/U 2.5_over_25,104,50.96153846153846,1.4950124152199715,5.032428081810999,5.891628008783945,1.9287828574084263,1.148724051259153
close,+all_fringe,m05_joint_grw_baseline,family,O/U 3.5_over_35,120,36.666666666666664,2.283274954175368,5.997144694003058,5.518063079620399,3.361172708425817,0.8284840778521544
