environment,policy,pair,a_return_pct,b_return_pct,a_roi_pct,b_roi_pct,n_slates,delta_log_growth_per_slate,lo,hi,p_better,delta_total_log_growth
close,P0 Option B,m05_joint_grw_smile_spine_w040 − m05_joint_grw_baseline,469.353509772741,385.77757677304226,14.543256268120428,11.676122043521175,100,0.0015875066558243781,-0.009484887306400113,0.013232746068700969,0.6111,0.1587506655824378
close,P0 Option B,m05_joint_grw_smile_spine_w040 − m05_joint_grw_smile_supremacy_w040,469.353509772741,553.4909313352383,14.543256268120428,15.724619922056439,100,-0.0013782713213535652,-0.005897179900532851,0.0031119128997291754,0.2791,-0.13782713213535652
close,P0 Option B,m05_joint_grw_smile_supremacy_w040 − m05_joint_grw_baseline,553.4909313352383,385.77757677304226,15.724619922056439,11.676122043521175,100,0.002965777977177944,-0.007666851472965799,0.014290029093624371,0.7066,0.2965777977177944
close,+U0.5,m05_joint_grw_smile_spine_w040 − m05_joint_grw_baseline,287.7217033994597,311.7406282290149,11.331713608073853,10.565426123253253,100,-0.0006010578498055652,-0.011790302830255719,0.011183444416277843,0.4637,-0.06010578498055652
close,+U0.5,m05_joint_grw_smile_spine_w040 − m05_joint_grw_smile_supremacy_w040,287.7217033994597,251.464208288315,11.331713608073853,10.465906271126697,100,0.0009817994256168289,-0.0033268547102232684,0.005393467405341663,0.6653,0.09817994256168289
close,+U0.5,m05_joint_grw_smile_supremacy_w040 − m05_joint_grw_baseline,251.464208288315,311.7406282290149,10.465906271126697,10.565426123253253,100,-0.001582857275422394,-0.01254761954456671,0.009870170669628735,0.3981,-0.1582857275422394
close,+U1.5,m05_joint_grw_smile_spine_w040 − m05_joint_grw_baseline,358.301984807392,488.1316515292475,12.048341973485682,12.521084745984119,100,-0.00249422497686459,-0.013862931077998263,0.009453488000960748,0.3417,-0.249422497686459
close,+U1.5,m05_joint_grw_smile_spine_w040 − m05_joint_grw_smile_supremacy_w040,358.301984807392,508.07142484096914,12.048341973485682,14.677513402124745,100,-0.0028276402782437225,-0.007733133797263108,0.002001950142724623,0.1293,-0.28276402782437227
close,+U1.5,m05_joint_grw_smile_supremacy_w040 − m05_joint_grw_baseline,508.07142484096914,488.1316515292475,14.677513402124745,12.521084745984119,100,0.00033341530137913426,-0.010432418677308543,0.011589633531633841,0.5325,0.033341530137913425
close,+U3.5,m05_joint_grw_smile_spine_w040 − m05_joint_grw_baseline,467.91525873578036,389.7783199144069,14.374066257567877,11.229794373817379,100,0.001480193348250814,-0.009718735396251175,0.01324827295648846,0.6014,0.1480193348250814
