gate,environment,model,pass,detail
S0 extended book inert at trust 0,close,m05_joint_grw_baseline,false,"ext return 368.8441 vs canon 385.7776 (Δ -16.9335 pp), bets 1246 vs 1247"
S0 extended book inert at trust 0,close,m05_joint_grw_smile_supremacy_w040,false,"ext return 536.6523 vs canon 553.4909 (Δ -16.8386 pp), bets 1253 vs 1250"
"S2 smile routing + staking, all strikes",close,m05_joint_grw_smile_supremacy_w040,true,"880 totals bets, max |p − smile| 2.3e-15, stake-side gap 3.55e-15"
S0 extended book inert at trust 0,close,m05_joint_grw_smile_spine_w040,false,"ext return 449.8734 vs canon 469.3535 (Δ -19.4801 pp), bets 1247 vs 1232"
"S2 smile routing + staking, all strikes",close,m05_joint_grw_smile_spine_w040,true,"980 totals bets, max |p − smile| 3.0e-15, stake-side gap 3.00e-15"
S0 extended book inert at trust 0,t25,m05_joint_grw_baseline,false,"ext return 509.5218 vs canon 531.7811 (Δ -22.2593 pp), bets 1123 vs 1124"
S0 extended book inert at trust 0,t25,m05_joint_grw_smile_supremacy_w040,false,"ext return 382.3781 vs canon 381.2263 (Δ +1.1518 pp), bets 1117 vs 1112"
"S2 smile routing + staking, all strikes",t25,m05_joint_grw_smile_supremacy_w040,true,"624 totals bets, max |p − smile| 2.4e-15, stake-side gap 3.55e-15"
S0 extended book inert at trust 0,t25,m05_joint_grw_smile_spine_w040,false,"ext return 467.9181 vs canon 457.6981 (Δ +10.2200 pp), bets 1111 vs 1104"
"S2 smile routing + staking, all strikes",t25,m05_joint_grw_smile_spine_w040,true,"690 totals bets, max |p − smile| 2.4e-15, stake-side gap 3.00e-15"
S1 close/P0 vs r06,close,m05_joint_grw_baseline,true,"return 385.7776 vs 385.7776, bets 1247 vs 1247"
S1 close/P0 vs r06,close,m05_joint_grw_smile_supremacy_w040,true,"return 553.4909 vs 553.4909, bets 1250 vs 1250"
S1 close/P0 vs r06,close,m05_joint_grw_smile_spine_w040,true,"return 469.3535 vs 469.3535, bets 1232 vs 1232"
