fold,site,mean,sd,q05,q50,q95,p_positive,prior_mean,prior_sd,prior_p_positive,contraction,p_below_0p02,prior_p_below_0p02,model,h_pass
20,turf_asym.w,0.051556026736181836,0.041301088381367174,-0.014855686653972484,0.05086594904933016,0.1186747238123787,0.8975,0.05,0.05,0.841344746068543,0.17397823237265653,NaN,NaN,m05_joint_td_turf_asym,false
20,ha.γ_base,0.13259452569029023,0.03065310480260576,0.08235271646854078,0.13261598811220313,0.18404186980280585,1.0,0.15,0.05,0.9986501019683699,0.38693790394788485,NaN,NaN,m05_joint_td_turf_asym,
20,ha.σ_γ,0.036523349592616765,0.026143326674814348,0.002454055577666094,0.032199855177918624,0.08308643752673626,1.0,0.03989422804014327,0.030140513749454357,1.0,0.13261841214343506,0.321,0.31084348322064836,m05_joint_td_turf_asym,
40,turf_asym.w,0.03435060680934937,0.0411718473974378,-0.03309834710565984,0.033859291330506164,0.10432375966377729,0.8,0.05,0.05,0.841344746068543,0.176563052051244,NaN,NaN,m05_joint_td_turf_asym,false
40,ha.γ_base,0.12493814410959968,0.030328556579759476,0.0754822927633941,0.12502417072153704,0.17514917140239927,1.0,0.15,0.05,0.9986501019683699,0.3934288684048105,NaN,NaN,m05_joint_td_turf_asym,
40,ha.σ_γ,0.030783438229604807,0.023023167668027086,0.0023888437263610085,0.026144781072613203,0.07414659942973044,1.0,0.03989422804014327,0.030140513749454357,1.0,0.23613884423440257,0.3965,0.31084348322064836,m05_joint_td_turf_asym,
20,turf_asym.w,0.05199267439060903,0.04043138320144474,-0.014336912272962809,0.05245999449792543,0.11903295750514344,0.8995,0.05,0.05,0.841344746068543,0.19137233597110526,NaN,NaN,m05_joint_td_turf_dual,false
20,turf_gen.w,-0.030359839125887043,0.03875036610161606,-0.09418843158730195,-0.03136609200949241,0.034921737616574695,0.2185,0.0,0.05,0.5,0.22499267796767886,NaN,NaN,m05_joint_td_turf_dual,
20,turf_pace.w,0.02277503274090105,0.03560710899603634,-0.03396481073235682,0.022718570840170267,0.08207117946126566,0.742,0.0,0.05,0.5,0.2878578200792732,NaN,NaN,m05_joint_td_turf_dual,false
20,ha.γ_base,0.14578081546411606,0.03282868183286934,0.09157990861577499,0.1463471197389475,0.19965262148130208,1.0,0.15,0.05,0.9986501019683699,0.34342636334261323,NaN,NaN,m05_joint_td_turf_dual,
20,ha.σ_γ,0.03763701771844929,0.027224473237281673,0.003209458223602231,0.0325892698781856,0.08884382396223538,1.0,0.03989422804014327,0.030140513749454357,1.0,0.0967482019852921,0.322,0.31084348322064836,m05_joint_td_turf_dual,
40,turf_asym.w,0.044554934618111865,0.042412955979928404,-0.02220094157006653,0.04397763351395139,0.11627003511442918,0.86,0.05,0.05,0.841344746068543,0.15174088040143197,NaN,NaN,m05_joint_td_turf_dual,false
40,turf_gen.w,-0.03336815445007138,0.03732725164779606,-0.0959833827029217,-0.03254289178454173,0.029032865420862423,0.183,0.0,0.05,0.5,0.2534549670440789,NaN,NaN,m05_joint_td_turf_dual,
40,turf_pace.w,-0.011084923194557032,0.03499939695650298,-0.07302379876242845,-0.009553124224497868,0.04530902132429032,0.3835,0.0,0.05,0.5,0.30001206086994037,NaN,NaN,m05_joint_td_turf_dual,false
40,ha.γ_base,0.1362472277705811,0.03360440174359799,0.08065864491023472,0.13656880862752058,0.1930342704072656,1.0,0.15,0.05,0.9986501019683699,0.32791196512804033,NaN,NaN,m05_joint_td_turf_dual,
40,ha.σ_γ,0.030271342002173948,0.022055666300659835,0.0028658826562584206,0.026089038917756754,0.07245004718168667,1.0,0.03989422804014327,0.030140513749454357,1.0,0.2682385415192494,0.3895,0.31084348322064836,m05_joint_td_turf_dual,
20,turf_asym.w,0.05291256801893511,0.04038692721973453,-0.014021046970557222,0.05424723299565741,0.11775947592795835,0.8965,0.05,0.05,0.841344746068543,0.19226145560530938,NaN,NaN,m05_joint_td_contextual,false
20,turf_gen.w,-0.03158703421905063,0.03862519907600557,-0.09601578907103527,-0.031975583735267446,0.031124958530464972,0.2035,0.0,0.05,0.5,0.22749601847988865,NaN,NaN,m05_joint_td_contextual,
20,turf_pace.w,0.023352422498269385,0.03646488875124605,-0.03628683291747542,0.023611346415969618,0.08361959654663234,0.74,0.0,0.05,0.5,0.270702224975079,NaN,NaN,m05_joint_td_contextual,false
20,midweek.w,0.03308811298924252,0.04455683420596321,-0.03882740323195459,0.03265111624803421,0.10601637656813648,0.7705,0.05,0.05,0.841344746068543,0.10886331588073583,NaN,NaN,m05_joint_td_contextual,false
20,rest_diff.w,-0.00046810215011531826,0.00939734354787271,-0.015612316214355318,-0.00047335436317018484,0.014918907250594625,0.48,0.02,0.02,0.841344746068543,0.5301328226063645,NaN,NaN,m05_joint_td_contextual,
20,ha.γ_base,0.14372729247400332,0.033569538554840045,0.08956667818711093,0.14421332891176478,0.19726952496654832,1.0,0.15,0.05,0.9986501019683699,0.3286092289031991,NaN,NaN,m05_joint_td_contextual,
20,ha.σ_γ,0.03737592540381217,0.026881416040057334,0.003366560991456748,0.03212558238430163,0.08681490725831277,1.0,0.03989422804014327,0.030140513749454357,1.0,0.10813013130726823,0.3115,0.31084348322064836,m05_joint_td_contextual,
40,turf_asym.w,0.045720995733146176,0.04096502260466476,-0.0204086998963823,0.04535807848918644,0.11462163077546988,0.864,0.05,0.05,0.841344746068543,0.18069954790670484,NaN,NaN,m05_joint_td_contextual,false
