fold,site,mean,sd,q05,q50,q95,p_positive,prior_mean,prior_sd,prior_p_positive,contraction,p_below_0p02,prior_p_below_0p02
1,turf_asym.w,0.056581285702213886,0.04347615990871883,-0.016080983176504474,0.05672062755482384,0.1270879736573751,0.90325,0.05,0.05,0.841344746068543,0.1304768018256235,NaN,NaN
1,turf_gen.w,-0.04671349449593279,0.04019570315320934,-0.11272544649545119,-0.04676704978961593,0.01971639326898172,0.11675,0.0,0.05,0.5,0.19608593693581322,NaN,NaN
1,turf_pace.w,-0.00498398556742709,0.038348083666903565,-0.06796594555559127,-0.005288035397417732,0.05680857005510221,0.44225,0.0,0.05,0.5,0.2330383266619287,NaN,NaN
1,midweek.w,0.050860452330337855,0.04486160117658785,-0.021539922035970847,0.05113376021459627,0.12430738106261574,0.872,0.05,0.05,0.841344746068543,0.1027679764682431,NaN,NaN
1,rest_diff.w,-0.0008809065577777751,0.011030495700017427,-0.01901096797102589,-0.0006967388090630337,0.01702768507308312,0.4705,0.02,0.02,0.841344746068543,0.4484752149991287,NaN,NaN
1,ha.γ_base,0.14209255729367468,0.03537166593849561,0.08367458174085426,0.14242426486627863,0.19916409535873592,1.0,0.15,0.05,0.9986501019683699,0.2925666812300878,NaN,NaN
1,ha.σ_γ,0.036490972375656884,0.02701966918378487,0.002867178491689713,0.03135051839702112,0.0876104719843802,1.0,0.03989422804014327,0.030140513749454357,1.0,0.1035431775188631,0.33325,0.31084348322064836
2,turf_asym.w,0.05317413964653109,0.043620622952252774,-0.018262545169246542,0.052948029116145906,0.12551015470137877,0.88825,0.05,0.05,0.841344746068543,0.1275875409549445,NaN,NaN
2,turf_gen.w,-0.03579524420863746,0.04117219819993965,-0.10386979344431613,-0.0363733611373952,0.03240768036112586,0.194,0.0,0.05,0.5,0.17655603600120706,NaN,NaN
2,turf_pace.w,-0.006153693098408394,0.03955053047737992,-0.07185333678254843,-0.006221460937332245,0.05858354372876254,0.4365,0.0,0.05,0.5,0.2089893904524016,NaN,NaN
2,midweek.w,0.050288887051284654,0.0464066291037636,-0.02751262712740853,0.0504609454165355,0.12525123326116136,0.85525,0.05,0.05,0.841344746068543,0.07186741792472806,NaN,NaN
2,rest_diff.w,0.001123650659734876,0.01281772123783951,-0.02022952148790119,0.0011355830023758323,0.021804551519831624,0.53075,0.02,0.02,0.841344746068543,0.3591139381080245,NaN,NaN
2,ha.γ_base,0.14497104428032123,0.03631871278945634,0.08491388080098776,0.14521508482505496,0.20567629214389915,1.0,0.15,0.05,0.9986501019683699,0.27362574421087327,NaN,NaN
2,ha.σ_γ,0.03275470206134933,0.024803700806021012,0.0024200657024866985,0.02739482287213542,0.0790668773092129,1.0,0.03989422804014327,0.030140513749454357,1.0,0.17706443187385812,0.379,0.31084348322064836
3,turf_asym.w,0.048075739709902525,0.04419982289238009,-0.025602128275585764,0.04816958349910778,0.12111862792666515,0.864,0.05,0.05,0.841344746068543,0.11600354215239816,NaN,NaN
3,turf_gen.w,-0.033026201876755715,0.04153499164129071,-0.10164065123629326,-0.03263479458312399,0.03635271494706351,0.20925,0.0,0.05,0.5,0.16930016717418583,NaN,NaN
3,turf_pace.w,-0.01473388006743977,0.03921758566683773,-0.07787858553542104,-0.01445616252552849,0.05128599850890657,0.34575,0.0,0.05,0.5,0.21564828666324543,NaN,NaN
3,midweek.w,0.05017113671189332,0.04556809841923545,-0.02311981970423524,0.04995765949807209,0.1255419230695356,0.8695,0.05,0.05,0.841344746068543,0.08863803161529094,NaN,NaN
3,rest_diff.w,0.0002871039253017216,0.0121538467357996,-0.02017598488431682,0.0005713097386408138,0.019792577416846074,0.5165,0.02,0.02,0.841344746068543,0.3923076632100201,NaN,NaN
3,ha.γ_base,0.14302824411128362,0.037213564630455664,0.0829373479637408,0.143105436430218,0.20291965464117112,0.99975,0.15,0.05,0.9986501019683699,0.2557287073908867,NaN,NaN
3,ha.σ_γ,0.03307571694740855,0.02486576548420522,0.0025289057984425154,0.027868665589567687,0.08093811513609357,1.0,0.03989422804014327,0.030140513749454357,1.0,0.17500525402771638,0.37125,0.31084348322064836
4,turf_asym.w,0.040941777265692036,0.04323398852934295,-0.030738621146094134,0.04167079416628652,0.11304964804613897,0.8255,0.05,0.05,0.841344746068543,0.13532022941314104,NaN,NaN
4,turf_gen.w,-0.02628728621827897,0.0410845837004415,-0.09412279111240046,-0.025741585495695093,0.04027094051929287,0.26075,0.0,0.05,0.5,0.17830832599117008,NaN,NaN
4,turf_pace.w,-0.008419414177301016,0.03756253219323718,-0.06895145289755013,-0.008182234411819604,0.05281068604611683,0.409,0.0,0.05,0.5,0.2487493561352565,NaN,NaN
4,midweek.w,0.04965742152179947,0.04743609025997735,-0.027739082067707328,0.0490548799552208,0.12889304630154094,0.8625,0.05,0.05,0.841344746068543,0.051278194800453036,NaN,NaN
4,rest_diff.w,1.0240257454235346e-5,0.012220815924622092,-0.020389960913206873,-4.4496181854110264e-5,0.020438802953042852,0.4985,0.02,0.02,0.841344746068543,0.38895920376889537,NaN,NaN
4,ha.γ_base,0.14851534562889343,0.03594593566771146,0.0892991232406748,0.14811090875753324,0.20617068460905316,1.0,0.15,0.05,0.9986501019683699,0.2810812866457708,NaN,NaN
4,ha.σ_γ,0.03298448079711898,0.02424312092746122,0.002907659746130312,0.028003613873207454,0.07969082024234161,1.0,0.03989422804014327,0.030140513749454357,1.0,0.19566331453457397,0.35875,0.31084348322064836
