fold,site,mean,sd,q05,q50,q95,p_positive,prior_mean,prior_sd,prior_p_positive,contraction,p_below_0p02,prior_p_below_0p02
1,turf_asym.w,0.05021421541091584,0.04249721299728871,-0.019940737607859124,0.04986172345194155,0.12181013107296108,0.88425,0.05,0.05,0.841344746068543,0.15005574005422584,NaN,NaN
1,ha.γ_base,0.1254832685014526,0.031670950765432325,0.0721471967639404,0.1256392602889475,0.1766646540386443,1.0,0.15,0.05,0.9986501019683699,0.3665809846913536,NaN,NaN
1,ha.σ_γ,0.03933467191536522,0.027792791280401557,0.0036290370863909767,0.034505850567692155,0.09173364035161286,1.0,0.03989422804014327,0.030140513749454357,1.0,0.07789258300533453,0.29225,0.31084348322064836
2,turf_asym.w,0.047508992964432825,0.04563240849457842,-0.027435021865850406,0.048057136763267,0.12330466613837042,0.851,0.05,0.05,0.841344746068543,0.08735183010843162,NaN,NaN
2,ha.γ_base,0.1346309332816737,0.03432589704976413,0.07865909697560107,0.13437385043033917,0.1917587762192319,1.0,0.15,0.05,0.9986501019683699,0.3134820590047174,NaN,NaN
2,ha.σ_γ,0.03298853165538297,0.024466328713342932,0.0025365744978493076,0.02819768546065196,0.0791263813198382,1.0,0.03989422804014327,0.030140513749454357,1.0,0.18825774116787064,0.36975,0.31084348322064836
3,turf_asym.w,0.03940372774537401,0.04372550965184068,-0.034116641276158544,0.039778020997476043,0.11138390942528055,0.8165,0.05,0.05,0.841344746068543,0.12548980696318646,NaN,NaN
3,ha.γ_base,0.1322026052210459,0.03403171024534195,0.07710869658731401,0.1321203125493848,0.1900664891186477,1.0,0.15,0.05,0.9986501019683699,0.3193657950931611,NaN,NaN
3,ha.σ_γ,0.03528737559772813,0.026497157561086185,0.0026525545065949957,0.029481119083485018,0.08610105988608228,1.0,0.03989422804014327,0.030140513749454357,1.0,0.12087903406869194,0.34725,0.31084348322064836
4,turf_asym.w,0.03480955046791666,0.04407739601460207,-0.03812496965662175,0.0349551019062716,0.10741005042111762,0.79175,0.05,0.05,0.841344746068543,0.11845207970795868,NaN,NaN
4,ha.γ_base,0.14099538942622172,0.033410792526742845,0.0857005026593531,0.14160005228598216,0.19452889500810114,1.0,0.15,0.05,0.9986501019683699,0.3317841494651431,NaN,NaN
4,ha.σ_γ,0.03363373979847132,0.0250837198013023,0.00307574076581846,0.02890075202003024,0.08337134736469073,1.0,0.03989422804014327,0.030140513749454357,1.0,0.16777397990582033,0.36975,0.31084348322064836
5,turf_asym.w,0.044355574973434064,0.04338561462634824,-0.02678251974225688,0.0439596212960431,0.11610172484322141,0.84475,0.05,0.05,0.841344746068543,0.1322877074730352,NaN,NaN
5,ha.γ_base,0.14585900920803846,0.033158581739159164,0.09213154687875788,0.1457364251640596,0.19960613284617915,1.0,0.15,0.05,0.9986501019683699,0.3368283652168168,NaN,NaN
5,ha.σ_γ,0.03504202064860748,0.02544332310431682,0.0028741053135436035,0.030895196129334366,0.08233575123000246,1.0,0.03989422804014327,0.030140513749454357,1.0,0.15584308496475352,0.33875,0.31084348322064836
6,turf_asym.w,0.05254997033119351,0.0425377373651363,-0.016246203243337174,0.05220041132443428,0.12371895026761892,0.892,0.05,0.05,0.841344746068543,0.14924525269727396,NaN,NaN
6,ha.γ_base,0.1282952480846012,0.033353121063420206,0.07223005529774741,0.12872075501030278,0.1829624904408045,1.0,0.15,0.05,0.9986501019683699,0.3329375787315959,NaN,NaN
6,ha.σ_γ,0.03684470493634481,0.027154001833644192,0.003053020010695269,0.031793559175396224,0.08960189830444934,1.0,0.03989422804014327,0.030140513749454357,1.0,0.09908629762039911,0.33075,0.31084348322064836
7,turf_asym.w,0.058690061295863086,0.042244633076950366,-0.011421936298883564,0.05815514773211883,0.126471407178883,0.9165,0.05,0.05,0.841344746068543,0.15510733846099267,NaN,NaN
7,ha.γ_base,0.13053809265101735,0.03454293744877794,0.07229727669321301,0.1307097722868648,0.18646393722087812,1.0,0.15,0.05,0.9986501019683699,0.30914125102444123,NaN,NaN
7,ha.σ_γ,0.03714440967492617,0.027502083297594248,0.0033275600401473818,0.031411815724341825,0.08950352831555822,1.0,0.03989422804014327,0.030140513749454357,1.0,0.0875376735045823,0.32925,0.31084348322064836
8,turf_asym.w,0.057078803550304244,0.043182053986256026,-0.014002907719187057,0.05650756660413367,0.1280589455134188,0.9075,0.05,0.05,0.841344746068543,0.1363589202748795,NaN,NaN
8,ha.γ_base,0.13115877373447293,0.033692180389046485,0.07579099536972471,0.13103534898988814,0.18615548890362152,1.0,0.15,0.05,0.9986501019683699,0.32615639221907033,NaN,NaN
8,ha.σ_γ,0.034405475426066784,0.025804345857058607,0.002558851002847202,0.02926674656606911,0.08368827113653957,1.0,0.03989422804014327,0.030140513749454357,1.0,0.1438650956131844,0.3495,0.31084348322064836
9,turf_asym.w,0.05959035284013287,0.043258989684062915,-0.01214283265030196,0.05984798065069897,0.1295410016484117,0.918,0.05,0.05,0.841344746068543,0.1348202063187417,NaN,NaN
9,ha.γ_base,0.12676718109354077,0.03201100575055553,0.07437075205233663,0.12595471813138898,0.18014805673550643,0.99975,0.15,0.05,0.9986501019683699,0.35977988498888946,NaN,NaN
9,ha.σ_γ,0.03349454522929939,0.02454075613797037,0.0029404122623867992,0.028859486916788246,0.08113494596182866,1.0,0.03989422804014327,0.030140513749454357,1.0,0.1857883929262938,0.3545,0.31084348322064836
10,turf_asym.w,0.05825693039506785,0.04354331180963238,-0.013036427251889865,0.0586342285279799,0.1290007082926931,0.90975,0.05,0.05,0.841344746068543,0.12913376380735242,NaN,NaN
10,ha.γ_base,0.1292228539304354,0.03379537707154671,0.07297767766008724,0.1294872548090994,0.1832131753586834,1.0,0.15,0.05,0.9986501019683699,0.3240924585690659,NaN,NaN
10,ha.σ_γ,0.034052247835304,0.02498074399180696,0.002701545832806846,0.029482505382646705,0.08109556367937377,1.0,0.03989422804014327,0.030140513749454357,1.0,0.17119050459917284,0.34625,0.31084348322064836
11,turf_asym.w,0.06536327628707363,0.04250463588147385,-0.004536830780158119,0.06509899621023096,0.13619266037020128,0.9385,0.05,0.05,0.841344746068543,0.14990728237052298,NaN,NaN
11,ha.γ_base,0.11645666136245049,0.033213831688619126,0.0628371649022366,0.11625638258950341,0.1701807722277083,0.99925,0.15,0.05,0.9986501019683699,0.33572336622761756,NaN,NaN
11,ha.σ_γ,0.03340852376965112,0.025303745348983202,0.002446589807281254,0.028078871709499475,0.0823292821700361,1.0,0.03989422804014327,0.030140513749454357,1.0,0.1604739866306597,0.379,0.31084348322064836
12,turf_asym.w,0.053127033371241986,0.043012747678902744,-0.01956219867548499,0.05289458961625879,0.12337275297872861,0.89725,0.05,0.05,0.841344746068543,0.13974504642194518,NaN,NaN
12,ha.γ_base,0.1297638019960519,0.03219829261391817,0.07560165961346195,0.13058307408013559,0.18218266492631208,1.0,0.15,0.05,0.9986501019683699,0.35603414772163666,NaN,NaN
12,ha.σ_γ,0.03388352485371872,0.02593940677822278,0.002439539688538515,0.028286594892640883,0.08489761823226233,1.0,0.03989422804014327,0.030140513749454357,1.0,0.13938405317685176,0.37375,0.31084348322064836
13,turf_asym.w,0.05697314550230922,0.04205184862685151,-0.01007136511248472,0.05726256312700074,0.12669933395612742,0.91475,0.05,0.05,0.841344746068543,0.15896302746296986,NaN,NaN
13,ha.γ_base,0.1348282209239694,0.032829551057486174,0.08143177859485315,0.13408652559240808,0.18904118893643193,1.0,0.15,0.05,0.9986501019683699,0.34340897885027655,NaN,NaN
13,ha.σ_γ,0.031544898841626846,0.023434519031032584,0.0024130515510111575,0.02735048352297008,0.07506296906912167,1.0,0.03989422804014327,0.030140513749454357,1.0,0.22249105553295934,0.38,0.31084348322064836
14,turf_asym.w,0.056096578389467994,0.0415247377303632,-0.010806661160069106,0.05616208535881361,0.12361576619384385,0.908,0.05,0.05,0.841344746068543,0.16950524539273604,NaN,NaN
14,ha.γ_base,0.13486635212314044,0.0325994495682322,0.08147810840552226,0.13512635107882098,0.18820033488245116,1.0,0.15,0.05,0.9986501019683699,0.34801100863535606,NaN,NaN
14,ha.σ_γ,0.03623508545526977,0.026574671045498037,0.0028310093736259923,0.03109666390284485,0.0867994400763005,1.0,0.03989422804014327,0.030140513749454357,1.0,0.11830729673680074,0.33,0.31084348322064836
15,turf_asym.w,0.06110447658472663,0.041894629885524864,-0.007555988614252019,0.061463365628541364,0.12821650925091746,0.9315,0.05,0.05,0.841344746068543,0.1621074022895027,NaN,NaN
15,ha.γ_base,0.13853032127422993,0.032017098727570054,0.08540697221577377,0.1386129829912361,0.19063986003471453,1.0,0.15,0.05,0.9986501019683699,0.35965802544859893,NaN,NaN
15,ha.σ_γ,0.03621110579739745,0.027034751135398806,0.0025414364413159406,0.031123198109314174,0.08871403554583357,1.0,0.03989422804014327,0.030140513749454357,1.0,0.1030427895115682,0.3425,0.31084348322064836
16,turf_asym.w,0.05462374323735092,0.04053467911850204,-0.010757904148141808,0.054839917289689136,0.1209943198014697,0.913,0.05,0.05,0.841344746068543,0.18930641762995926,NaN,NaN
16,ha.γ_base,0.14009987956343123,0.031233741301505226,0.0889830908388725,0.13989550239673382,0.19080612475528996,1.0,0.15,0.05,0.9986501019683699,0.3753251739698955,NaN,NaN
16,ha.σ_γ,0.034433072438189875,0.025179991348301647,0.0025799605817740548,0.02948184971137937,0.08288082561156647,1.0,0.03989422804014327,0.030140513749454357,1.0,0.16457988879643803,0.344,0.31084348322064836
17,turf_asym.w,0.054453800714828256,0.04047256393289923,-0.009902515408131661,0.054916051894263504,0.12132555481809083,0.9075,0.05,0.05,0.841344746068543,0.1905487213420154,NaN,NaN
17,ha.γ_base,0.13536679810637692,0.0312842842365079,0.08380302085070387,0.13527767320882156,0.1871051940931005,1.0,0.15,0.05,0.9986501019683699,0.37431431526984205,NaN,NaN
17,ha.σ_γ,0.031642006278243914,0.023105497574614345,0.0030795991569650986,0.02719235244847379,0.07591728167707493,1.0,0.03989422804014327,0.030140513749454357,1.0,0.23340730796160924,0.382,0.31084348322064836
18,turf_asym.w,0.05440273706995704,0.03962750761968871,-0.011366034564770394,0.05468611319365664,0.119955284341653,0.911,0.05,0.05,0.841344746068543,0.20744984760622587,NaN,NaN
18,ha.γ_base,0.1311959096640672,0.03185238763775098,0.07857457257411303,0.13109095648221103,0.18296432764951803,1.0,0.15,0.05,0.9986501019683699,0.36295224724498043,NaN,NaN
18,ha.σ_γ,0.03294782346792021,0.024631862042665906,0.0025432394628062066,0.02770037008452822,0.07983188414446502,1.0,0.03989422804014327,0.030140513749454357,1.0,0.18276568716046437,0.36375,0.31084348322064836
19,turf_asym.w,0.04808327465072025,0.04125205752661554,-0.0195881984482617,0.0480142181600703,0.11403539430609003,0.88075,0.05,0.05,0.841344746068543,0.17495884946768925,NaN,NaN
19,ha.γ_base,0.12243088134233598,0.031026004459674985,0.07227209748258578,0.1214425480572483,0.17460992475208018,1.0,0.15,0.05,0.9986501019683699,0.37947991080650034,NaN,NaN
19,ha.σ_γ,0.03408928596429921,0.02514132222499074,0.0026649382270594827,0.029826070445716377,0.08171031581543607,1.0,0.03989422804014327,0.030140513749454357,1.0,0.16586285044839755,0.3575,0.31084348322064836
