fold,site,mean,sd,q05,q50,q95,p_positive,prior_mean,prior_sd,prior_p_positive,contraction,p_below_0p02,prior_p_below_0p02
1,turf_asym.w,0.05624831169663921,0.04348108569546189,-0.014435169375182785,0.05678125734202846,0.12603020688842162,0.90275,0.05,0.05,0.841344746068543,0.13037828609076219,NaN,NaN
1,turf_gen.w,-0.04542276289878393,0.03890289118441398,-0.11098624555732395,-0.044287938877107996,0.01903282322519649,0.12025,0.0,0.05,0.5,0.22194217631172042,NaN,NaN
1,turf_pace.w,-0.006487537118537035,0.03744553369111752,-0.06828334686278217,-0.007098866222571697,0.054656664394311674,0.42975,0.0,0.05,0.5,0.2510893261776497,NaN,NaN
1,ha.γ_base,0.14416066795544397,0.03477234424865678,0.08728957517016073,0.1439449257569707,0.20134337449245082,1.0,0.15,0.05,0.9986501019683699,0.30455311502686444,NaN,NaN
1,ha.σ_γ,0.03708175424680062,0.027250714179093936,0.0027731020979873742,0.031997244138198766,0.08774255510213705,1.0,0.03989422804014327,0.030140513749454357,1.0,0.09587758172876981,0.323,0.31084348322064836
2,turf_asym.w,0.054030461532401486,0.04465808811195827,-0.01796181762946073,0.054773729656619016,0.12512745096172148,0.88375,0.05,0.05,0.841344746068543,0.10683823776083468,NaN,NaN
2,turf_gen.w,-0.03439447191317224,0.041398897433048636,-0.1023087542362985,-0.03442061338984967,0.034564102187224804,0.2065,0.0,0.05,0.5,0.17202205133902737,NaN,NaN
2,turf_pace.w,-0.006775953508960122,0.03965616193039466,-0.07142327600288627,-0.0069439527019578805,0.05866633369019284,0.43075,0.0,0.05,0.5,0.20687676139210687,NaN,NaN
2,ha.γ_base,0.14708337297435572,0.03570215285703008,0.08873454356739197,0.1467641055456819,0.20555018684304854,1.0,0.15,0.05,0.9986501019683699,0.28595694285939843,NaN,NaN
2,ha.σ_γ,0.032406492115971824,0.024373752347393335,0.0025660880300028967,0.027243265401146195,0.079224174001358,1.0,0.03989422804014327,0.030140513749454357,1.0,0.1913292338013124,0.3725,0.31084348322064836
3,turf_asym.w,0.046316467223665315,0.04296169990409222,-0.02401047189674306,0.046739246959425954,0.11760593592850292,0.8595,0.05,0.05,0.841344746068543,0.1407660019181557,NaN,NaN
3,turf_gen.w,-0.03263028076122415,0.0406575066158091,-0.10093347559119015,-0.03316374331897705,0.03378114789709902,0.215,0.0,0.05,0.5,0.18684986768381806,NaN,NaN
3,turf_pace.w,-0.016341982509041123,0.038271712758523084,-0.07897074865543252,-0.016204062841731696,0.047253448358869944,0.3285,0.0,0.05,0.5,0.2345657448295384,NaN,NaN
3,ha.γ_base,0.14418496763083674,0.03673939162243664,0.08332856694649682,0.14392420174595544,0.20399927082264976,1.0,0.15,0.05,0.9986501019683699,0.2652121675512672,NaN,NaN
3,ha.σ_γ,0.03374493798964417,0.025197914963898206,0.002338756107018045,0.02860778867355169,0.08202414530401027,1.0,0.03989422804014327,0.030140513749454357,1.0,0.16398522024680584,0.356,0.31084348322064836
