fold,n_train,turf_home,turf_asym,midweek,rest_nonzero,rest_abs_mean
1,720,468,148,62,154,0.9375
2,740,480,153,62,154,0.9121621621621622
3,759,492,158,62,156,0.9077733860342556
4,769,497,160,62,156,0.8959687906371911
5,789,509,166,63,157,0.8770595690747782
6,809,520,170,63,159,0.8689740420271941
7,820,526,171,63,161,0.874390243902439
8,835,535,174,63,161,0.858682634730539
9,855,547,179,63,161,0.8385964912280702
10,857,548,179,63,161,0.8366394399066511
11,879,562,186,67,169,0.8805460750853242
12,901,576,193,70,173,0.8723640399556049
13,915,588,197,71,178,0.898360655737705
14,931,599,204,75,190,0.966702470461869
15,953,609,208,78,196,0.9716684155299056
16,973,622,214,79,202,0.986639260020555
17,997,634,218,83,210,0.9869608826479438
18,1020,646,222,86,214,0.9764705882352941
19,1040,660,229,86,214,0.9576923076923077
20,1060,672,235,86,214,0.939622641509434
21,720,468,160,52,129,0.8625
22,740,482,165,52,129,0.8391891891891892
23,759,495,170,52,131,0.836627140974967
24,769,502,172,52,131,0.8257477243172952
25,789,518,178,52,131,0.8048162230671736
26,809,530,180,52,131,0.7849196538936959
27,820,538,183,53,133,0.7817073170731708
28,835,548,185,54,135,0.770059880239521
29,854,561,189,54,135,0.752927400468384
30,865,568,191,55,137,0.7595375722543353
31,884,580,193,55,140,0.7624434389140271
32,904,597,200,55,140,0.745575221238938
33,914,606,204,55,142,0.7527352297592997
34,927,615,207,57,147,0.7831715210355987
35,943,626,210,58,151,0.7879109225874867
36,967,644,216,65,167,0.8624612202688728
37,993,663,223,71,177,0.8700906344410876
38,1018,678,228,76,183,0.8664047151277013
39,1038,691,232,79,188,0.869942196531792
40,1060,706,236,81,194,0.8764150943396226
