fold,match_id,home_team,away_team,match_date,turf_home,turf_away,turf_asym,midweek,rest_diff,unmapped
1,12477128,stenhousemuir,arbroath,2024-08-03,1.0,0.0,1.0,0.0,0.0,
1,12477134,montrose,kelty-hearts-fc,2024-08-03,1.0,1.0,0.0,0.0,0.0,
1,12477131,cove-rangers,annan-athletic,2024-08-03,1.0,1.0,0.0,0.0,0.0,
1,12477135,alloa-athletic,queen-of-the-south,2024-08-03,1.0,1.0,0.0,0.0,0.0,
1,12477132,inverness-caledonian-thistle,dumbarton,2024-08-03,0.0,0.0,0.0,0.0,0.0,
1,12476800,annan-athletic,inverness-caledonian-thistle,2024-08-10,1.0,0.0,1.0,0.0,0.0,
1,12476794,queen-of-the-south,cove-rangers,2024-08-10,1.0,1.0,0.0,0.0,0.0,
1,12476797,kelty-hearts-fc,stenhousemuir,2024-08-10,1.0,1.0,0.0,0.0,0.0,
1,12476799,arbroath,montrose,2024-08-10,0.0,1.0,0.0,0.0,0.0,
1,12476798,dumbarton,alloa-athletic,2024-08-10,0.0,1.0,0.0,0.0,0.0,
1,12477129,edinburgh-city-fc,stirling-albion,2024-08-03,1.0,0.0,1.0,0.0,0.0,
1,12477126,elgin-city,east-fife,2024-08-03,0.0,1.0,0.0,0.0,0.0,
1,12477130,stranraer,the-spartans-fc,2024-08-03,0.0,1.0,0.0,0.0,0.0,
1,12477123,forfar-athletic,clyde-fc,2024-08-03,1.0,1.0,0.0,0.0,0.0,
1,12477133,bonnyrigg-rose,peterhead,2024-08-03,0.0,0.0,0.0,0.0,0.0,
1,12476632,east-fife,edinburgh-city-fc,2024-08-10,1.0,1.0,0.0,0.0,0.0,
1,12476633,stirling-albion,elgin-city,2024-08-10,0.0,0.0,0.0,0.0,0.0,
1,12476630,the-spartans-fc,bonnyrigg-rose,2024-08-10,1.0,0.0,1.0,0.0,0.0,
1,12476635,peterhead,forfar-athletic,2024-08-10,0.0,1.0,0.0,0.0,0.0,
1,12476636,clyde-fc,stranraer,2024-08-10,1.0,0.0,1.0,0.0,0.0,
2,12476793,inverness-caledonian-thistle,montrose,2024-08-17,0.0,1.0,0.0,0.0,0.0,
2,12476795,cove-rangers,dumbarton,2024-08-17,1.0,0.0,1.0,0.0,0.0,
2,12476796,arbroath,kelty-hearts-fc,2024-08-17,0.0,1.0,0.0,0.0,0.0,
2,12476792,queen-of-the-south,annan-athletic,2024-08-17,1.0,1.0,0.0,0.0,0.0,
2,12476790,alloa-athletic,stenhousemuir,2024-08-17,1.0,1.0,0.0,0.0,0.0,
2,12476788,kelty-hearts-fc,inverness-caledonian-thistle,2024-08-24,1.0,0.0,1.0,0.0,0.0,
2,12476786,stenhousemuir,cove-rangers,2024-08-24,1.0,1.0,0.0,0.0,0.0,
2,12476787,annan-athletic,alloa-athletic,2024-08-24,1.0,1.0,0.0,0.0,0.0,
2,12476791,dumbarton,arbroath,2024-08-24,0.0,0.0,0.0,0.0,0.0,
2,12476789,montrose,queen-of-the-south,2024-08-24,1.0,1.0,0.0,0.0,0.0,
2,12476629,east-fife,forfar-athletic,2024-08-17,1.0,1.0,0.0,0.0,0.0,
2,12476634,clyde-fc,stirling-albion,2024-08-17,1.0,0.0,1.0,0.0,0.0,
2,12476623,peterhead,stranraer,2024-08-17,0.0,0.0,0.0,0.0,0.0,
2,12476631,edinburgh-city-fc,bonnyrigg-rose,2024-08-17,1.0,0.0,1.0,0.0,0.0,
2,12476624,the-spartans-fc,peterhead,2024-08-24,1.0,0.0,1.0,0.0,7.0,
2,12476627,forfar-athletic,edinburgh-city-fc,2024-08-24,1.0,1.0,0.0,0.0,0.0,
2,12476625,bonnyrigg-rose,clyde-fc,2024-08-24,0.0,1.0,0.0,0.0,0.0,
2,12476621,stranraer,elgin-city,2024-08-24,0.0,0.0,0.0,0.0,-7.0,
2,12476622,stirling-albion,east-fife,2024-08-24,0.0,1.0,0.0,0.0,0.0,
3,12476782,arbroath,alloa-athletic,2024-08-31,0.0,1.0,0.0,0.0,0.0,
3,12476785,inverness-caledonian-thistle,queen-of-the-south,2024-08-31,0.0,1.0,0.0,0.0,0.0,
