site,max_rhat,min_ess_bulk,min_ess_tail,worst_rhat_fold
ha.γ_base,1.0038713621168935,2969.2394969102115,2608.8185776322052,1
ha.γ_team_raw[10],1.0047933219424687,3764.082770118463,2371.7136002335296,2
ha.γ_team_raw[11],1.0034856885016181,3749.3194755117365,2425.4469896628448,14
ha.γ_team_raw[12],1.0034756220973398,4290.1522638747,2378.306143738363,25
ha.γ_team_raw[13],1.004850811625944,4218.456226300958,2507.4292821925924,35
ha.γ_team_raw[14],1.0050837870961726,4057.3990499916126,2580.286226579059,24
ha.γ_team_raw[15],1.0046143153097544,3266.885674222657,2399.795711421251,15
ha.γ_team_raw[16],1.0033076044375542,3030.3416752256076,2249.622865471022,1
ha.γ_team_raw[17],1.0041778517448698,3924.4979288133954,2259.442633470256,3
ha.γ_team_raw[18],1.0035277131296527,3353.1663562002104,2296.1792471166295,1
ha.γ_team_raw[19],1.0027998783234648,4551.356839462358,2416.478681801055,30
ha.γ_team_raw[1],1.0102261118449454,4183.74358803565,2309.1308990210787,15
ha.γ_team_raw[20],1.004222468869476,4075.1368075707546,2227.3387514938654,11
ha.γ_team_raw[21],1.00307293492628,3845.123203173515,2370.992302967723,25
ha.γ_team_raw[22],1.0046671356236552,3965.9740048087624,2363.4601361166374,15
ha.γ_team_raw[23],1.0034274069637068,3804.9512507827785,2199.441357927706,38
ha.γ_team_raw[24],1.0037732544382856,4728.690687394509,2410.9541021263267,7
ha.γ_team_raw[25],1.0034969518461585,4900.600330546427,2611.812037521862,17
ha.γ_team_raw[2],1.0044346693495327,4280.618065518669,2355.782354332924,6
ha.γ_team_raw[3],1.0035548091577702,4039.1806388956306,2368.446983181201,16
ha.γ_team_raw[4],1.0046347431314242,4400.8901269191365,2563.172189951686,22
ha.γ_team_raw[5],1.0033596118546517,4087.7073997292596,2496.245437868352,1
ha.γ_team_raw[6],1.0030543716121307,3647.0279652368636,2515.024675509782,32
ha.γ_team_raw[7],1.0046598311199935,3744.942755921355,1924.2349343780938,4
ha.γ_team_raw[8],1.0053791659940892,3886.2954874129314,2500.7319530719274,35
ha.γ_team_raw[9],1.0039384742503104,4494.557249662475,2435.34477703877,12
ha.σ_γ,1.0034187412819413,1200.8257820196252,1359.217061389621,6
midweek.w,1.0040475663601738,4600.105775484672,2310.1194763183107,7
rest_diff.w,1.005330670545828,5390.200382594578,2338.3930036409547,5
turf_asym.w,1.0025266174415914,4221.263460172196,2481.5577799659704,35
turf_gen.w,1.0026268395567,3281.6141058379294,2568.969364709022,18
turf_pace.w,1.0042150994971013,2686.4789173606596,2523.7333437397833,11
