site,max_rhat,min_ess_bulk,min_ess_tail,worst_rhat_fold
ha.γ_base,1.0032729917338967,3177.247634010449,2430.2909549381143,18
ha.γ_team_raw[10],1.0056450785591349,3754.5558674642,2255.0182076688566,30
ha.γ_team_raw[11],1.0085898301194396,3765.5674110087457,2459.701800827067,8
ha.γ_team_raw[12],1.0066129008311546,3851.288415347569,2482.3067991465014,23
ha.γ_team_raw[13],1.004530399834049,4094.0919113613727,2482.2582650379177,22
ha.γ_team_raw[14],1.0042226843021735,4949.5919591147795,2276.7132701793435,40
ha.γ_team_raw[15],1.0038797132257755,3683.9063905404,2466.5224656412124,26
ha.γ_team_raw[16],1.0041640721561294,2958.3865501784794,2387.1181525978545,37
ha.γ_team_raw[17],1.00594813157276,4210.796916505921,2457.3780362237485,21
ha.γ_team_raw[18],1.0040280263287418,3463.9869011114606,2446.3711940420603,3
ha.γ_team_raw[19],1.0032717703307878,4186.22263342714,2441.6958985564056,14
ha.γ_team_raw[1],1.00415739353703,4393.836540562227,2397.7804247194695,32
ha.γ_team_raw[20],1.0046949825326774,3390.114293357899,2380.0473920491268,33
ha.γ_team_raw[21],1.0059185000949855,4337.768840987516,2424.7517771307807,9
ha.γ_team_raw[22],1.0055028397724233,4040.841107773286,2114.7149438684064,24
ha.γ_team_raw[23],1.005824764607635,3646.1745889044305,2341.764250922916,5
ha.γ_team_raw[24],1.0032590598200601,4295.23899552645,2477.323860106253,2
ha.γ_team_raw[25],1.0024135157086034,4715.606101742521,2642.030505371043,12
ha.γ_team_raw[2],1.0041952480698035,4318.134849590884,2026.9548499642879,23
ha.γ_team_raw[3],1.0049957247528432,4148.513859484214,2396.0669554716123,3
ha.γ_team_raw[4],1.003177296899358,4764.491499840497,2535.692495809319,4
ha.γ_team_raw[5],1.00479798856099,4178.379913476577,2115.6595087797878,20
ha.γ_team_raw[6],1.0046691883596492,3857.078644644664,2615.987113282418,26
ha.γ_team_raw[7],1.0029173389994186,3892.036181495091,2456.315820934719,30
ha.γ_team_raw[8],1.0067315461567714,4476.385273149938,2359.6681362834497,22
ha.γ_team_raw[9],1.0046510085017082,4068.5707732512305,2374.2230653911843,7
ha.σ_γ,1.00458119459146,1209.121205842766,1204.6777418128252,1
turf_asym.w,1.004504941839178,4254.4783187532375,2377.1327198439903,12
