fold,site,mean,sd,q05,q50,q95,p_positive,prior_mean,prior_sd,prior_p_positive,contraction,p_below_0p02,prior_p_below_0p02
1,turf_asym.w,0.04338031832090911,0.044868071670066505,-0.029883071297679312,0.043599733667852414,0.1165103671105516,0.83325,0.05,0.05,0.841344746068543,0.10263856659866999,NaN,NaN
1,turf_gen.w,-0.052465932223273885,0.03993091221275967,-0.12056613139959635,-0.05149460176763194,0.011660514849893519,0.08725,0.0,0.05,0.5,0.20138175574480666,NaN,NaN
1,turf_pace.w,0.0032863575168746244,0.037008424627796806,-0.05743180293231275,0.0034742385485803692,0.06464764028000164,0.531,0.0,0.05,0.5,0.2598315074440639,NaN,NaN
1,midweek.w,0.050198593524728025,0.043299531242307954,-0.02084446171842389,0.050516186143454586,0.12042418428926682,0.881,0.05,0.05,0.841344746068543,0.13400937515384093,NaN,NaN
1,rest_diff.w,6.89794890782039e-5,0.010546698737015909,-0.017489903035333907,-0.00011212484863482909,0.017091990212217675,0.4955,0.02,0.02,0.841344746068543,0.47266506314920453,NaN,NaN
1,ha.γ_base,0.14088327594351785,0.03657649306196602,0.08057115711967484,0.14080023270810355,0.20156230257926433,0.99975,0.15,0.05,0.9986501019683699,0.2684701387606797,NaN,NaN
1,ha.σ_γ,0.03412451985790899,0.025301205358400917,0.003003279894881172,0.029487235277394875,0.08345709185145392,1.0,0.03989422804014327,0.030140513749454357,1.0,0.16055825827258996,0.35275,0.31084348322064836
2,turf_asym.w,0.03897864585337409,0.043487429307702316,-0.032988114741016816,0.03830739780482383,0.1123339667945856,0.8145,0.05,0.05,0.841344746068543,0.13025141384595373,NaN,NaN
2,turf_gen.w,-0.04060485770946958,0.039704851966442106,-0.10485370452202543,-0.04000683609855067,0.024722496265927596,0.15425,0.0,0.05,0.5,0.20590296067115788,NaN,NaN
2,turf_pace.w,0.001875000722602696,0.03790471836878584,-0.0605827362034099,0.0019141167502306942,0.06486449980520137,0.52,0.0,0.05,0.5,0.24190563262428322,NaN,NaN
2,midweek.w,0.04952590048033263,0.04555233836076952,-0.022984181209996936,0.04916314055675982,0.1256693058345953,0.863,0.05,0.05,0.841344746068543,0.08895323278460954,NaN,NaN
2,rest_diff.w,0.0019324660991243696,0.012147462502012969,-0.0177081002862516,0.001841993696221354,0.021629881025381503,0.55775,0.02,0.02,0.841344746068543,0.39262687489935155,NaN,NaN
2,ha.γ_base,0.1445283864093562,0.035450102147767226,0.0862273720789326,0.14412048602906685,0.20371194628716707,1.0,0.15,0.05,0.9986501019683699,0.2909979570446555,NaN,NaN
2,ha.σ_γ,0.030269545517021813,0.022794304012259313,0.0027590225001579193,0.025171968643455764,0.0745211315026942,1.0,0.03989422804014327,0.030140513749454357,1.0,0.24373206768341948,0.40575,0.31084348322064836
3,turf_asym.w,0.03746831502043156,0.044195007470240986,-0.03586595853043031,0.03744804501468882,0.11026942035441979,0.80175,0.05,0.05,0.841344746068543,0.11609985059518035,NaN,NaN
3,turf_gen.w,-0.03754162516288899,0.039604815850211125,-0.10349838517095344,-0.037909371810564724,0.027397294216956403,0.17125,0.0,0.05,0.5,0.20790368299577755,NaN,NaN
3,turf_pace.w,-0.009761295033647699,0.03763456747158251,-0.0731271802027322,-0.009973781669160822,0.051320070865251054,0.39625,0.0,0.05,0.5,0.24730865056834983,NaN,NaN
3,midweek.w,0.050517836934673654,0.04647648346849405,-0.02452482940490971,0.050253009726704864,0.12849804060658715,0.85675,0.05,0.05,0.841344746068543,0.0704703306301191,NaN,NaN
3,rest_diff.w,0.0017956723276401196,0.011854519943565745,-0.017606476950717126,0.0017526117010205513,0.021679274938963926,0.558,0.02,0.02,0.841344746068543,0.4072740028217128,NaN,NaN
3,ha.γ_base,0.14036656690635915,0.03612135823893925,0.0811087235181471,0.14036631972717836,0.1995105811552011,1.0,0.15,0.05,0.9986501019683699,0.277572835221215,NaN,NaN
3,ha.σ_γ,0.030643793759367436,0.022902809854665983,0.002424964702894644,0.02597466256926662,0.07505501353271156,1.0,0.03989422804014327,0.030140513749454357,1.0,0.24013206791869635,0.3955,0.31084348322064836
4,turf_asym.w,0.03101252797201318,0.04455146391848685,-0.04289029487115652,0.030764392590178012,0.10558568772622698,0.75575,0.05,0.05,0.841344746068543,0.10897072163026311,NaN,NaN
4,turf_gen.w,-0.033034836043906154,0.03934325946857149,-0.09926583423307325,-0.033134519719320764,0.03208604971116277,0.1975,0.0,0.05,0.5,0.2131348106285702,NaN,NaN
4,turf_pace.w,-0.0022116149722028276,0.03815513243767981,-0.06305607615018959,-0.0026697280416980228,0.061996664249773056,0.471,0.0,0.05,0.5,0.23689735124640388,NaN,NaN
