site,max_rhat,min_ess_bulk,min_ess_tail,worst_rhat_fold
ha.γ_base,1.003926205466936,3057.2984876298037,2753.5524543275674,10
ha.γ_team_raw[10],1.0040357947737117,4147.155262240597,2215.730179331959,32
ha.γ_team_raw[11],1.0025600073410943,4459.661422796869,1910.3448049856313,42
ha.γ_team_raw[12],1.0064565039366729,4622.842144678377,2316.3406378955174,8
ha.γ_team_raw[13],1.003742291883034,4369.961099189639,2429.094556859619,33
ha.γ_team_raw[14],1.0038397218648123,4357.257289236974,2513.0136749567073,38
ha.γ_team_raw[15],1.0058567944430652,3605.32591638779,2506.1859796339127,3
ha.γ_team_raw[16],1.0037895259005503,3877.4767814503484,2454.4782348312824,32
ha.γ_team_raw[17],1.0038938036059468,4610.245006442668,2203.0426444113255,32
ha.γ_team_raw[18],1.0040936716316675,4525.94276887172,2421.741347000238,19
ha.γ_team_raw[19],1.0044644604729476,4188.732725697096,2237.410671806275,25
ha.γ_team_raw[1],1.0028034671657229,4460.884863741261,2530.0401146640856,10
ha.γ_team_raw[20],1.002838987440068,4259.869889823751,2612.3041830813104,26
ha.γ_team_raw[21],1.0038337663279422,4478.136232005211,2555.2652342600254,25
ha.γ_team_raw[22],1.0050438315719659,4386.69667008801,2076.137895762389,10
ha.γ_team_raw[23],1.0035003278505052,4317.963004697665,2506.9504691116485,27
ha.γ_team_raw[24],1.0036169786847062,4194.88344182636,2560.3957871287726,18
ha.γ_team_raw[25],1.004081934844287,4172.453574339036,1939.043568468845,10
ha.γ_team_raw[2],1.0045246914168025,3907.3130003465913,2367.645363331764,9
ha.γ_team_raw[3],1.003781043579395,4254.055226355358,2298.3787353971934,23
ha.γ_team_raw[4],1.0047281747774912,4090.2365416290118,2393.0808912345747,17
ha.γ_team_raw[5],1.0060483203259685,4476.792747577526,2474.4243010447403,17
ha.γ_team_raw[6],1.0037362722050294,4466.362107767559,2487.2308522446065,4
ha.γ_team_raw[7],1.0061642112896259,4143.460864792529,2422.4939176012635,12
ha.γ_team_raw[8],1.0044568880636267,4216.071537929377,2453.8314025067443,13
ha.γ_team_raw[9],1.0060310515957485,3748.4331815831483,2381.938643062083,22
ha.σ_γ,1.0033089197845244,1402.1478434741089,1302.271649798629,34
midweek.w,1.00440972263462,4752.887295656283,2354.4822829311483,15
rest_diff.w,1.0047027006001066,5316.074142273674,2142.2631645390866,26
turf_asym.w,1.0032026822914915,3917.0826824924657,2626.740444491113,20
turf_gen.w,1.0040069432552183,3458.9889553359008,2614.366719345969,28
turf_pace.w,1.0027501698272638,2717.9887132841654,2585.7377162722296,42
