arm,match_id,group,line,selection,side,effective_odds,p_model,p_market,edge,risk,score,outcome,net_pnl,fixture
flat_raw,16362618,OverUnder,2.5,under_25,lay,2.587553579933323,0.49107771878770473,0.383556747839196,0.10752097094850871,12.630051242215625,4-1,lose,-12.630051242215625,clyde-fc v kelty-hearts-fc
flat_raw,16362609,OverUnder,2.5,under_25,lay,2.3513513513513513,0.5103890362900799,0.42387921329713263,0.0865098229929473,12.116482571815169,5-1,lose,-12.116482571815169,the-spartans-fc v forfar-athletic
flat_raw,16362612,1X2,0.0,away,back,4.5,0.33575582086620087,0.21621621621621623,0.11953960464998464,10.97116000726644,7-3,lose,-10.97116000726644,edinburgh-city-fc v stirling-albion
flat_raw,16362609,1X2,0.0,away,back,5.1,0.31042751780969197,0.19020605656127476,0.1202214612484172,10.43737107894429,5-1,lose,-10.43737107894429,the-spartans-fc v forfar-athletic
flat_raw,16362438,1X2,0.0,away,back,4.5,0.32500926745655834,0.21766784452296822,0.10734142293359011,9.85779485368791,3-1,lose,-9.85779485368791,east-kilbride v peterhead
flat_raw,16362607,1X2,0.0,away,back,4.5,0.31630421216359084,0.21741406386320014,0.0988901483003907,9.106723260003204,3-1,lose,-9.106723260003204,stranraer v dumbarton
flat_raw,16362438,OverUnder,2.5,under_25,back,2.74,0.4787183380707345,0.3583138173302107,0.12040452074052377,8.420011808608331,3-1,lose,-8.420011808608331,east-kilbride v peterhead
flat_raw,16362605,1X2,0.0,home,back,2.62,0.42875243558954734,0.3721998512967366,0.05655258429281074,8.324961791258211,2-0,win,13.216709339801536,annan-athletic v elgin-city
flat_raw,16362605,OverUnder,2.5,under_25,back,2.44,0.47943740942001073,0.4058441558441559,0.07359325357585483,7.6592742811381775,2-0,win,10.808767865542196,annan-athletic v elgin-city
flat_raw,16362439,1X2,0.0,away,back,3.85,0.3274547650593731,0.2527359074953541,0.07471885756401903,6.066920864081837,2-1,lose,-6.066920864081837,montrose v cove-rangers
flat_raw,16362618,1X2,0.0,away,back,3.85,0.3190829500838719,0.25082164589502454,0.06826130418884735,5.882436533875658,4-1,lose,-5.882436533875658,clyde-fc v kelty-hearts-fc
flat_raw,16362438,1X2,0.0,draw,back,4.4,0.2527201593259305,0.22261484098939932,0.030105318336531184,3.4612604625229397,3-1,lose,-3.4612604625229397,east-kilbride v peterhead
flat_raw,16362607,1X2,0.0,draw,back,4.2,0.25218708659266836,0.23294363985342872,0.01924344673923964,3.3152860670515234,3-1,lose,-3.3152860670515234,stranraer v dumbarton
flat_raw,16362612,1X2,0.0,draw,back,4.0,0.2535914870172096,0.24324324324324326,0.01034824377396637,3.2561948867206545,7-3,lose,-3.2561948867206545,edinburgh-city-fc v stirling-albion
flat_raw,16362607,OverUnder,2.5,under_25,back,2.38,0.4789831766604813,0.41234567901234565,0.06663749764813565,3.1381026405206454,3-1,lose,-3.1381026405206454,stranraer v dumbarton
flat_raw,16362612,OverUnder,2.5,under_25,back,2.24,0.47930729181770865,0.4371859296482412,0.042121362169467436,3.123456512023459,7-3,lose,-3.123456512023459,edinburgh-city-fc v stirling-albion
flat_raw,16362437,1X2,0.0,away,back,3.2,0.34073027397414357,0.3032960387057756,0.03743423526836798,2.4463591889482643,1-0,lose,-2.4463591889482643,airdrieonians v alloa-athletic
flat_raw,16362609,1X2,0.0,draw,back,4.0,0.2591543441859827,0.24251272211562527,0.016641622070357437,2.155385446456622,5-1,lose,-2.155385446456622,the-spartans-fc v forfar-athletic
flat_raw,16362440,1X2,0.0,home,back,2.48,0.4196450144859022,0.39220255905215834,0.02744245543374385,1.9122514646534294,1-1,lose,-1.9122514646534294,queen-of-the-south v east-fife
flat_optB,16362609,OverUnder,2.5,under_25,lay,2.3513513513513513,0.47584167009236233,0.42387921329713263,0.051962456795229706,11.681313759802503,5-1,lose,-11.681313759802503,the-spartans-fc v forfar-athletic
flat_optB,16362618,OverUnder,2.5,under_25,lay,2.587553579933323,0.4334338605788039,0.383556747839196,0.049877112739607876,9.96734529324696,4-1,lose,-9.96734529324696,clyde-fc v kelty-hearts-fc
flat_optB,16362438,OverUnder,2.5,under_25,back,2.74,0.4294774519488358,0.3583138173302107,0.07116363461862507,9.27336430952862,3-1,lose,-9.27336430952862,east-kilbride v peterhead
flat_optB,16362438,1X2,0.0,away,back,4.5,0.2706964822847555,0.21766784452296822,0.05302863776178729,6.09866745872122,3-1,lose,-6.09866745872122,east-kilbride v peterhead
flat_optB,16362609,1X2,0.0,away,back,5.1,0.24601947870196064,0.19020605656127476,0.05581342214068588,5.97096272699336,5-1,lose,-5.97096272699336,the-spartans-fc v forfar-athletic
flat_optB,16362605,OverUnder,2.5,under_25,back,2.44,0.43596410905060345,0.4058441558441559,0.03011995320644756,4.971444729682672,2-0,win,7.015702802528185,annan-athletic v elgin-city
flat_optB,16362612,1X2,0.0,away,back,4.5,0.26394941792831017,0.21621621621621623,0.04773320171209394,4.938124388912587,7-3,lose,-4.938124388912587,edinburgh-city-fc v stirling-albion
flat_optB,16362607,1X2,0.0,away,back,4.5,0.2590978508432573,0.21741406386320014,0.041683786980057175,4.36236854947847,3-1,lose,-4.36236854947847,stranraer v dumbarton
flat_optB,16362607,OverUnder,2.5,under_25,back,2.38,0.44386881567204994,0.41234567901234565,0.0315231366597043,3.2252355100478236,3-1,lose,-3.2252355100478236,stranraer v dumbarton
flat_optB,16362618,1X2,0.0,away,back,3.85,0.2833760064175073,0.25082164589502454,0.032554360522482784,3.0005188043548245,4-1,lose,-3.0005188043548245,clyde-fc v kelty-hearts-fc
flat_optB,16362605,1X2,0.0,home,back,2.62,0.39612366221640444,0.3721998512967366,0.02392381091966783,2.808999965333077,2-0,win,4.459568344962793,annan-athletic v elgin-city
flat_optB,16362439,1X2,0.0,away,back,3.85,0.2840010889123711,0.2527359074953541,0.03126518141701701,2.7362748064596043,2-1,lose,-2.7362748064596043,montrose v cove-rangers
flat_optB,16362612,OverUnder,2.5,under_25,back,2.24,0.46078736711521584,0.4371859296482412,0.02360143746697463,2.6398911724694893,7-3,lose,-2.6398911724694893,edinburgh-city-fc v stirling-albion
flat_optB,16362437,1X2,0.0,away,back,3.2,0.32420724292486697,0.3032960387057756,0.020911204219091373,1.0649092909016646,1-0,lose,-1.0649092909016646,airdrieonians v alloa-athletic
flat_optB,16362438,1X2,0.0,draw,back,4.4,0.23568772187719808,0.22261484098939932,0.01307288088779876,1.0407222437799064,3-1,lose,-1.0407222437799064,east-kilbride v peterhead
ctx_raw,16362618,OverUnder,2.5,under_25,lay,2.587553579933323,0.4978970634717075,0.383556747839196,0.11434031563251146,12.918075092664752,4-1,lose,-12.918075092664752,clyde-fc v kelty-hearts-fc
ctx_raw,16362609,OverUnder,2.5,under_25,lay,2.3513513513513513,0.5199655022147215,0.42387921329713263,0.09608628891758886,12.453446119509984,5-1,lose,-12.453446119509984,the-spartans-fc v forfar-athletic
ctx_raw,16362609,1X2,0.0,away,back,5.1,0.3138623976718957,0.19020605656127476,0.12365634111062096,10.725249841514207,5-1,lose,-10.725249841514207,the-spartans-fc v forfar-athletic
