fold,site,mean,sd,q05,q50,q95,p_positive,prior_mean,prior_sd,prior_p_positive,contraction,p_below_0p02,prior_p_below_0p02,model
1,turf_asym.w,0.049573834945158414,0.0434762609829254,-0.021340987725635443,0.04956474535175835,0.12220401628847365,0.875,0.05,0.05,0.841344746068543,0.13047478034149207,NaN,NaN,m05_joint_td_turf_asym
1,ha.γ_base,0.12536858064098202,0.032643473352511686,0.06987969304384983,0.12558462670108422,0.17700491146278635,1.0,0.15,0.05,0.9986501019683699,0.34713053294976637,NaN,NaN,m05_joint_td_turf_asym
1,ha.σ_γ,0.038874866731992225,0.028171073043250845,0.0029371283905995685,0.034219983859549025,0.09190967831052023,1.0,0.03989422804014327,0.030140513749454357,1.0,0.06534197534171649,0.3115,0.31084348322064836,m05_joint_td_turf_asym
2,turf_asym.w,0.04746586363887879,0.0444852715721192,-0.026131680001909116,0.047735362321664504,0.12049236472527042,0.8555,0.05,0.05,0.841344746068543,0.1102945685576161,NaN,NaN,m05_joint_td_turf_asym
2,ha.γ_base,0.13399530871915077,0.034194470690001415,0.07861803031131354,0.1335883783490471,0.1894135183027625,1.0,0.15,0.05,0.9986501019683699,0.3161105861999718,NaN,NaN,m05_joint_td_turf_asym
2,ha.σ_γ,0.03272680397639819,0.024797085565664945,0.0025449497925737028,0.02750187842684154,0.08040739756585547,1.0,0.03989422804014327,0.030140513749454357,1.0,0.17728391188707415,0.37825,0.31084348322064836,m05_joint_td_turf_asym
1,turf_asym.w,0.056744864001233304,0.04379238960429769,-0.017011520325784305,0.05695269915780117,0.12854962598317715,0.90575,0.05,0.05,0.841344746068543,0.12415220791404624,NaN,NaN,m05_joint_td_turf_dual
1,turf_gen.w,-0.04506798338950949,0.0406626663075791,-0.11181361851634988,-0.0453709730281108,0.020393818266411616,0.14225,0.0,0.05,0.5,0.18674667384841803,NaN,NaN,m05_joint_td_turf_dual
1,turf_pace.w,-0.006535992259941489,0.03941183480279953,-0.07198448453063283,-0.006582139226600219,0.05931992151635205,0.4335,0.0,0.05,0.5,0.21176330394400944,NaN,NaN,m05_joint_td_turf_dual
1,ha.γ_base,0.14452662934445148,0.036219836304279635,0.08659739549157539,0.1442511349507401,0.20523588359378975,0.99975,0.15,0.05,0.9986501019683699,0.2756032739144073,NaN,NaN,m05_joint_td_turf_dual
1,ha.σ_γ,0.03710090613577155,0.02719863383880958,0.003078293902913336,0.03194750165980226,0.08802031148597513,1.0,0.03989422804014327,0.030140513749454357,1.0,0.097605499863055,0.333,0.31084348322064836,m05_joint_td_turf_dual
2,turf_asym.w,0.052210896496329755,0.043938175703593534,-0.020310252985088848,0.051229356147474404,0.12627635398824955,0.88575,0.05,0.05,0.841344746068543,0.12123648592812941,NaN,NaN,m05_joint_td_turf_dual
2,turf_gen.w,-0.035425104004775096,0.04084830862644834,-0.10172109572827566,-0.035457961944290205,0.032145595545353164,0.19275,0.0,0.05,0.5,0.18303382747103325,NaN,NaN,m05_joint_td_turf_dual
2,turf_pace.w,-0.005910017783505076,0.03911426141237668,-0.07113575947238346,-0.005503410690269616,0.0581446471451534,0.44425,0.0,0.05,0.5,0.21771477175246645,NaN,NaN,m05_joint_td_turf_dual
2,ha.γ_base,0.14806379487974972,0.03754467163466377,0.08716151783017155,0.14801362845034247,0.21162787145411482,1.0,0.15,0.05,0.9986501019683699,0.24910656730672465,NaN,NaN,m05_joint_td_turf_dual
2,ha.σ_γ,0.03171520761092574,0.02403693718549059,0.002506489718581865,0.0269681445415628,0.07741257234096764,1.0,0.03989422804014327,0.030140513749454357,1.0,0.20250406528237308,0.38525,0.31084348322064836,m05_joint_td_turf_dual
1,turf_asym.w,0.057325893684309306,0.04252658043518039,-0.014585355694359687,0.057827583670430435,0.12669334826927273,0.90475,0.05,0.05,0.841344746068543,0.14946839129639222,NaN,NaN,m05_joint_td_contextual
1,turf_gen.w,-0.045672263599529625,0.03896910362424067,-0.11198789342222412,-0.04523232605581116,0.01754445896009116,0.11725,0.0,0.05,0.5,0.2206179275151866,NaN,NaN,m05_joint_td_contextual
1,turf_pace.w,-0.005840771465677362,0.03845723216473225,-0.07056250271100643,-0.005126164258069654,0.05796739787810644,0.4445,0.0,0.05,0.5,0.23085535670535506,NaN,NaN,m05_joint_td_contextual
1,midweek.w,0.05054905354132336,0.045558212310669886,-0.025070253282020824,0.05078506049044235,0.12238711086291808,0.86675,0.05,0.05,0.841344746068543,0.08883575378660236,NaN,NaN,m05_joint_td_contextual
1,rest_diff.w,-0.000996223534227701,0.010727615443543642,-0.018827926544622647,-0.0009662708361785384,0.016627884052951427,0.464,0.02,0.02,0.841344746068543,0.46361922782281795,NaN,NaN,m05_joint_td_contextual
1,ha.γ_base,0.1414483070861252,0.036141430231159385,0.08058121776648026,0.14109285492651574,0.20118562329465264,1.0,0.15,0.05,0.9986501019683699,0.27717139537681235,NaN,NaN,m05_joint_td_contextual
1,ha.σ_γ,0.03798723190638843,0.02835327750851849,0.0024496667355222218,0.032867217971020796,0.0918459360631724,1.0,0.03989422804014327,0.030140513749454357,1.0,0.05929680747290578,0.32275,0.31084348322064836,m05_joint_td_contextual
2,turf_asym.w,0.05332952104263705,0.04353881103672188,-0.016739120525294682,0.052952906156437135,0.12525436939390538,0.8915,0.05,0.05,0.841344746068543,0.1292237792655625,NaN,NaN,m05_joint_td_contextual
2,turf_gen.w,-0.03478661938655972,0.04065758418839765,-0.10267697605948242,-0.03496015948348184,0.032061786644943295,0.19575,0.0,0.05,0.5,0.18684831623204712,NaN,NaN,m05_joint_td_contextual
2,turf_pace.w,-0.006607577036531123,0.04002542298435428,-0.07230418328490991,-0.006885158491667506,0.0585500474278136,0.434,0.0,0.05,0.5,0.1994915403129145,NaN,NaN,m05_joint_td_contextual
2,midweek.w,0.05031436004107095,0.04572139946362453,-0.024169210329850945,0.05050846236265804,0.12434838150257826,0.864,0.05,0.05,0.841344746068543,0.08557201072750942,NaN,NaN,m05_joint_td_contextual
2,rest_diff.w,0.0011319353688603656,0.012168130445667362,-0.01901902450836875,0.0011428833443028726,0.021310756823470008,0.536,0.02,0.02,0.841344746068543,0.3915934777166319,NaN,NaN,m05_joint_td_contextual
2,ha.γ_base,0.14462511250400018,0.03704729882398728,0.08325917163691197,0.1448131436182078,0.20578604805085376,1.0,0.15,0.05,0.9986501019683699,0.2590540235202544,NaN,NaN,m05_joint_td_contextual
2,ha.σ_γ,0.03106782236263944,0.02363684756636258,0.0028543884438189076,0.025806035861352293,0.07603312687894745,1.0,0.03989422804014327,0.030140513749454357,1.0,0.2157782125797213,0.39675,0.31084348322064836,m05_joint_td_contextual
