site,max_rhat,min_ess_bulk,min_ess_tail,worst_rhat_fold,model
ha.γ_base,1.0008608388618174,4546.059404678696,2881.913359591269,1,m05_joint_td_turf_asym
ha.γ_team_raw[10],1.0015908264380098,4997.479150247663,2886.833211969531,2,m05_joint_td_turf_asym
ha.γ_team_raw[11],1.002629117841552,6031.293075331612,2861.800864753938,1,m05_joint_td_turf_asym
ha.γ_team_raw[12],1.0041196676390889,5680.582861043004,2775.9136846067463,2,m05_joint_td_turf_asym
ha.γ_team_raw[13],1.0016423056048367,6811.752244372198,2593.9584208028205,2,m05_joint_td_turf_asym
ha.γ_team_raw[14],1.002034292842633,4633.152744190782,2653.743691506004,1,m05_joint_td_turf_asym
ha.γ_team_raw[15],1.0017493134427422,5962.535085237854,3014.176096956475,2,m05_joint_td_turf_asym
ha.γ_team_raw[16],1.0035603972611042,4728.798909239593,2790.661841108704,2,m05_joint_td_turf_asym
ha.γ_team_raw[17],1.0028104789267245,6334.24691105647,2776.088873122531,2,m05_joint_td_turf_asym
ha.γ_team_raw[18],1.0023914161306349,5507.624996280396,2702.6854038709043,2,m05_joint_td_turf_asym
ha.γ_team_raw[19],1.0008758491176244,6632.34056020752,2643.218496667121,1,m05_joint_td_turf_asym
ha.γ_team_raw[1],1.0017903339085112,5526.349202342847,2942.983698868859,1,m05_joint_td_turf_asym
ha.γ_team_raw[20],1.0016521359499173,5518.83245683764,2601.9973666948085,2,m05_joint_td_turf_asym
ha.γ_team_raw[21],1.0046870568079895,5221.43365460519,2837.120053438952,1,m05_joint_td_turf_asym
ha.γ_team_raw[22],1.0001049053638142,5320.295591963914,2844.526857827296,2,m05_joint_td_turf_asym
ha.γ_team_raw[23],1.0025472621403004,4522.710225765737,2589.9603725876855,2,m05_joint_td_turf_asym
ha.γ_team_raw[24],1.0033879944135196,5810.636359653482,2890.595553265486,2,m05_joint_td_turf_asym
ha.γ_team_raw[25],1.0005475207524643,5556.760516981981,2812.144529430005,2,m05_joint_td_turf_asym
ha.γ_team_raw[2],1.000918097942809,5891.385445322384,2690.756060104223,1,m05_joint_td_turf_asym
ha.γ_team_raw[3],1.0020939743363588,5448.709175245216,2990.030595924018,1,m05_joint_td_turf_asym
ha.γ_team_raw[4],1.0023854128043157,5683.311506372958,2746.429040686834,1,m05_joint_td_turf_asym
ha.γ_team_raw[5],1.001089316121187,5482.180831495684,2939.923235724633,1,m05_joint_td_turf_asym
ha.γ_team_raw[6],1.0010512913197824,5426.411973628426,2813.4738692719657,2,m05_joint_td_turf_asym
ha.γ_team_raw[7],1.0037733005767269,5973.902877277072,2608.079389766233,2,m05_joint_td_turf_asym
ha.γ_team_raw[8],1.0027060170376163,5354.509972683442,2755.7494911852114,2,m05_joint_td_turf_asym
ha.γ_team_raw[9],1.0007600319040724,6017.751801531441,2670.417283676111,2,m05_joint_td_turf_asym
ha.σ_γ,1.0008977858450867,1757.108804434808,1696.250841727552,1,m05_joint_td_turf_asym
turf_asym.w,1.0008891339152721,4819.84506168367,2839.241700022952,2,m05_joint_td_turf_asym
ha.γ_base,1.0014183388851077,3816.8082253169455,2957.730033069483,2,m05_joint_td_turf_dual
ha.γ_team_raw[10],1.0034236527925016,6606.624773869124,2993.136262630218,1,m05_joint_td_turf_dual
ha.γ_team_raw[11],1.0010411299754391,5340.530137446451,3111.794830005528,2,m05_joint_td_turf_dual
ha.γ_team_raw[12],1.000849341181134,5720.183639839588,2905.38144834171,2,m05_joint_td_turf_dual
ha.γ_team_raw[13],1.0010352211495455,5408.535525561328,2911.242949154461,1,m05_joint_td_turf_dual
ha.γ_team_raw[14],1.0027529023089479,4948.395338357834,3268.0171500638253,1,m05_joint_td_turf_dual
ha.γ_team_raw[15],1.0000233747668037,5820.326719686614,2915.274085651702,1,m05_joint_td_turf_dual
ha.γ_team_raw[16],1.000342088892463,4837.42443658323,3021.969015727825,2,m05_joint_td_turf_dual
ha.γ_team_raw[17],1.0014800353275775,4863.274130247179,3130.52419222508,1,m05_joint_td_turf_dual
ha.γ_team_raw[18],1.0012369722050123,5385.795897801205,2952.803458346169,2,m05_joint_td_turf_dual
ha.γ_team_raw[19],1.0034315557085998,5371.658185823138,2911.4869978837482,1,m05_joint_td_turf_dual
ha.γ_team_raw[1],1.0011990188130933,5490.201902261219,2949.974547702801,1,m05_joint_td_turf_dual
ha.γ_team_raw[20],1.0013817039076762,4472.124531220817,2842.4498119491914,2,m05_joint_td_turf_dual
ha.γ_team_raw[21],1.0018721003377151,5587.08892489514,3068.7190181320475,1,m05_joint_td_turf_dual
ha.γ_team_raw[22],1.0007218128207058,5198.327515409734,3151.788977608092,2,m05_joint_td_turf_dual
ha.γ_team_raw[23],1.0034191887852693,4522.362805566772,2780.330478912947,2,m05_joint_td_turf_dual
ha.γ_team_raw[24],1.0018964408487205,5025.761647369257,2776.4177576720995,2,m05_joint_td_turf_dual
ha.γ_team_raw[25],1.0011505695572318,5010.229751607284,2643.096110083156,2,m05_joint_td_turf_dual
ha.γ_team_raw[2],1.0017672630277694,5167.34235817622,2910.528155568286,1,m05_joint_td_turf_dual
ha.γ_team_raw[3],1.0017983723346306,4929.893383659245,2837.2837295293607,2,m05_joint_td_turf_dual
ha.γ_team_raw[4],0.9997556186428208,5082.23666158643,3241.6861243171734,1,m05_joint_td_turf_dual
ha.γ_team_raw[5],1.0004240530978088,5003.338404726189,2863.3261508840983,1,m05_joint_td_turf_dual
ha.γ_team_raw[6],1.0010313501492392,6058.873475529548,2493.743412848359,1,m05_joint_td_turf_dual
ha.γ_team_raw[7],1.000683249428331,5900.352796950943,2925.9085972151142,1,m05_joint_td_turf_dual
ha.γ_team_raw[8],1.0008580448600113,5182.646749841101,2837.0644757316486,1,m05_joint_td_turf_dual
ha.γ_team_raw[9],1.0010076795553444,6143.8543114273,2478.1780879823586,1,m05_joint_td_turf_dual
ha.σ_γ,1.0036810582699371,1661.0774309447818,1524.068609534912,1,m05_joint_td_turf_dual
turf_asym.w,1.0018307651361074,4906.748373080496,2889.6505286508714,2,m05_joint_td_turf_dual
turf_gen.w,1.0013380327729056,3449.7544141288845,2646.042442422335,2,m05_joint_td_turf_dual
turf_pace.w,1.0008094916883379,3317.6461327016104,2721.2628052997215,1,m05_joint_td_turf_dual
ha.γ_base,1.0006686106200586,3622.4345115294627,3040.2234537477334,1,m05_joint_td_contextual
ha.γ_team_raw[10],1.001919410576114,5169.729675690409,3035.276651456341,2,m05_joint_td_contextual
ha.γ_team_raw[11],1.0021043352224377,5657.502277907086,2779.8173850422195,2,m05_joint_td_contextual
ha.γ_team_raw[12],1.0019966304030752,5154.259371216376,2726.9689405651893,1,m05_joint_td_contextual
ha.γ_team_raw[13],1.0001952895230437,5850.543668098123,2761.208812185314,1,m05_joint_td_contextual
ha.γ_team_raw[14],1.0018778972925935,5450.661787494142,2802.080675467003,1,m05_joint_td_contextual
ha.γ_team_raw[15],1.0016458024199084,5367.255005119407,2923.8145311233134,2,m05_joint_td_contextual
ha.γ_team_raw[16],1.0012165186683837,4363.669494439946,2649.739360242879,2,m05_joint_td_contextual
ha.γ_team_raw[17],1.0004073630094221,6140.608755687504,3079.9671361589376,2,m05_joint_td_contextual
ha.γ_team_raw[18],1.0001227125292407,5542.11308431426,2391.204349420195,2,m05_joint_td_contextual
ha.γ_team_raw[19],1.000866221028765,5420.296819138072,2866.0810882068736,1,m05_joint_td_contextual
ha.γ_team_raw[1],1.002255115789058,6305.254172304021,2993.9959074889052,1,m05_joint_td_contextual
ha.γ_team_raw[20],1.0036345327785559,5035.377969323782,2794.1418158119714,2,m05_joint_td_contextual
ha.γ_team_raw[21],1.0005486214299262,5031.66223853166,3086.7909084248017,2,m05_joint_td_contextual
ha.γ_team_raw[22],1.0005980701266701,5292.005756943947,2700.701261957294,2,m05_joint_td_contextual
ha.γ_team_raw[23],1.0021588752555706,5399.53882354232,2613.9702936860717,2,m05_joint_td_contextual
ha.γ_team_raw[24],1.0003843711504568,5611.225800509999,3291.5046182042433,2,m05_joint_td_contextual
ha.γ_team_raw[25],1.0005052940650851,5400.146573254859,3002.6373765113262,2,m05_joint_td_contextual
ha.γ_team_raw[2],1.0039259529087834,5093.461387819101,2750.969006277531,2,m05_joint_td_contextual
ha.γ_team_raw[3],1.0012715790705549,5017.059015166464,2723.0829490804003,2,m05_joint_td_contextual
ha.γ_team_raw[4],1.001072497675221,5614.518952178139,2695.9936071903544,1,m05_joint_td_contextual
ha.γ_team_raw[5],1.0007883074733053,5500.618391258103,2810.3480582296465,1,m05_joint_td_contextual
ha.γ_team_raw[6],1.0039850949380653,6253.54347795645,2653.312975585413,2,m05_joint_td_contextual
ha.γ_team_raw[7],1.0044721322031984,5683.221577530457,2837.469085942041,1,m05_joint_td_contextual
ha.γ_team_raw[8],1.0019468562138671,6188.40239950515,2752.118915080225,2,m05_joint_td_contextual
ha.γ_team_raw[9],1.0030142230148578,6155.848570725184,2849.81084352648,1,m05_joint_td_contextual
ha.σ_γ,1.0022577618156354,1426.9866781363753,1439.4450789276943,2,m05_joint_td_contextual
midweek.w,1.0019607475863477,5442.121557090794,2924.3768768701934,1,m05_joint_td_contextual
rest_diff.w,1.0016945510142876,6341.32529803738,3063.4342021437246,1,m05_joint_td_contextual
turf_asym.w,1.0007711245370632,4733.180673712717,2931.7449789084253,1,m05_joint_td_contextual
turf_gen.w,1.0008572445216193,3642.8722180037134,2848.053651024772,1,m05_joint_td_contextual
turf_pace.w,1.0012293476855865,3476.0898071051497,2681.600877496041,2,m05_joint_td_contextual
