fold,n_train,n_oos,n_history,n_target,n_teams,last_train,first_oos,ordered
1,720,20,2,0,23,2024-05-04,2024-08-03,true
2,740,19,2,1,25,2024-08-10,2024-08-17,true
3,759,10,2,2,25,2024-08-24,2024-08-31,true
4,769,20,2,3,25,2024-08-31,2024-09-14,true
5,789,20,2,4,25,2024-09-21,2024-09-28,true
6,809,11,2,5,25,2024-10-05,2024-10-12,true
7,820,15,2,6,25,2024-10-19,2024-10-26,true
8,835,20,2,7,25,2024-11-02,2024-11-09,true
9,855,2,2,8,25,2024-11-16,2024-11-23,true
10,857,22,2,9,25,2024-11-30,2024-12-03,true
11,879,22,2,10,25,2024-12-14,2024-12-17,true
12,901,14,2,11,25,2024-12-28,2025-01-04,true
13,915,16,2,12,25,2025-01-11,2025-01-14,true
14,931,22,2,13,25,2025-01-25,2025-01-28,true
15,953,20,2,14,25,2025-02-08,2025-02-11,true
16,973,24,2,15,25,2025-02-22,2025-02-25,true
17,997,23,2,16,25,2025-03-08,2025-03-11,true
18,1020,20,2,17,25,2025-03-22,2025-03-29,true
19,1040,20,2,18,25,2025-04-05,2025-04-12,true
20,1060,20,2,19,25,2025-04-19,2025-04-26,true
21,720,20,2,0,22,2025-05-03,2025-08-02,true
22,740,19,2,1,23,2025-08-09,2025-08-16,true
23,759,10,2,2,23,2025-08-23,2025-08-30,true
24,769,20,2,3,23,2025-08-30,2025-09-13,true
25,789,20,2,4,23,2025-09-20,2025-09-27,true
26,809,11,2,5,23,2025-10-04,2025-10-07,true
27,820,15,2,6,23,2025-10-18,2025-10-24,true
28,835,19,2,7,23,2025-11-01,2025-11-08,true
29,854,11,2,8,23,2025-11-15,2025-11-22,true
30,865,19,2,9,23,2025-11-25,2025-12-06,true
31,884,20,2,10,23,2025-12-13,2025-12-20,true
32,904,10,2,11,23,2025-12-27,2026-01-03,true
33,914,13,2,12,23,2026-01-10,2026-01-17,true
34,927,16,2,13,23,2026-01-24,2026-01-27,true
35,943,24,2,14,23,2026-02-07,2026-02-10,true
36,967,26,2,15,23,2026-02-21,2026-02-24,true
37,993,25,2,16,23,2026-03-07,2026-03-10,true
38,1018,20,2,17,23,2026-03-21,2026-03-24,true
39,1038,22,2,18,23,2026-04-04,2026-04-07,true
40,1060,10,2,19,23,2026-04-18,2026-04-25,true
