team,mean,sd,q05,q50,q95,p_above_base,fold
annan-athletic,0.1454539049761837,0.06926695193396855,0.04944971114170086,0.13684016255139508,0.27586039713652416,0.69425,1
stranraer,0.13682731904592266,0.06517181956578992,0.044030651465982035,0.13076063467666904,0.25244221427758845,0.6395,1
peterhead,0.1292608729833272,0.06349188032394533,0.03306826370858368,0.12490215398714412,0.23862410237608236,0.5955,1
bonnyrigg-rose,0.12771338296160256,0.062884161947824,0.03473778850575715,0.12343788101719705,0.23523173545286125,0.58425,1
elgin-city,0.12751087733819005,0.06254540528233224,0.03345017205987483,0.12280985034288977,0.2369378997852089,0.5845,1
montrose,0.12667150005066546,0.06470313473338381,0.029589778541777873,0.1232974560387406,0.23979224313301628,0.57425,1
forfar-athletic,0.1255033280560876,0.062018359148948314,0.030518718514620204,0.1225934020446422,0.2330382424265559,0.566,1
airdrieonians,0.1250897304134492,0.07230998007039488,0.017252732415251958,0.12146127043653188,0.25036657731604134,0.5485,1
queen-of-the-south,0.12087493879178816,0.06309749321796043,0.019855436035281365,0.11898751096853014,0.22762937367921318,0.53525,1
cove-rangers,0.12074939602839432,0.06468261914446245,0.021845008201389515,0.11827754351843281,0.23040157998963054,0.54625,1
dumbarton,0.12012570010255842,0.06393382603900989,0.02379755847569034,0.11786101413380938,0.23036191619839858,0.5335,1
stirling-albion,0.11943797327305354,0.06193881594596269,0.022690720428499445,0.1170189702616895,0.2261424357857988,0.52875,1
edinburgh-city-fc,0.11592613672506721,0.06467871419956515,0.013145806861946094,0.11450668623949796,0.22009678426241697,0.50925,1
dunfermline-athletic,0.11556254893310648,0.07340255092269096,0.002735506968312758,0.11554607640005711,0.23015015632460967,0.506,1
albion-rovers,0.11271026621338621,0.0710276963528976,-0.0022701716730643942,0.11270813691947408,0.2290448238064163,0.48525,1
hamilton-academical,0.1123289324189414,0.06255741369832901,0.008913161385006496,0.11267851751942441,0.210921578702142,0.47775,1
falkirk-fc,0.1085645046331312,0.06286809785000164,0.005587062799501364,0.1085878772136542,0.20596682239574332,0.4555,1
stenhousemuir,0.09686493131187253,0.0651950372204546,-0.018242124878027236,0.10184183928874047,0.19217050873021116,0.37525,1
clyde-fc,0.09435887975261996,0.06637611999752534,-0.02557490082448752,0.10020332519601585,0.1934601457407633,0.3735,1
alloa-athletic,0.09396318464695952,0.06534764980300449,-0.023319385221420602,0.09877501103669703,0.18978673849093572,0.37625,1
east-fife,0.0879849808387647,0.07070537590257625,-0.04115455957213023,0.09699063873613148,0.18469833850795336,0.349,1
kelty-hearts-fc,0.08460023566780266,0.06919448014675735,-0.04304764116344974,0.09341545651059589,0.18101788742674993,0.3125,1
the-spartans-fc,0.0806216299492537,0.07392339332434167,-0.0639814592745913,0.09069604420505056,0.18110343019377606,0.3045,1
annan-athletic,0.14119153351487598,0.0636570836365857,0.04567672185632714,0.13669351794074203,0.2556534812278361,0.61175,2
elgin-city,0.1388890396080629,0.06191700414431639,0.045403839418201856,0.13587219603525408,0.24538008758295474,0.597,2
stranraer,0.13412111295625642,0.06025823885826865,0.038164805616046696,0.13366943037415702,0.23416115127920228,0.55875,2
peterhead,0.1335521071014326,0.0621752015096665,0.034740979136580384,0.13269135041903465,0.23373730943703735,0.56375,2
montrose,0.131661902972871,0.06200054062413747,0.03557783907717152,0.1296827047906467,0.2374925311231429,0.54725,2
dumbarton,0.13094651821257247,0.06075697701998017,0.034184729091150765,0.12975401738645767,0.23110034341635383,0.54025,2
airdrieonians,0.13051249160392006,0.0687781886745286,0.02407291708474513,0.12938655756068404,0.24579947122339355,0.54175,2
bonnyrigg-rose,0.12976612171082624,0.06110059741640029,0.03351930269977334,0.12761501194478828,0.23436996307059316,0.53675,2
queen-of-the-south,0.1295842439820771,0.06186986510396803,0.03415498940002216,0.12916960880408596,0.23072701343802376,0.53275,2
inverness-caledonian-thistle,0.1277737900323058,0.06573238807129629,0.025118512937278563,0.12731946538811864,0.23323685126694266,0.5235,2
forfar-athletic,0.126829262382145,0.061850615231247234,0.027321168333821037,0.1267650551723567,0.2259202072027391,0.51075,2
cove-rangers,0.12673343336734247,0.061388150719182945,0.02869071170292638,0.12609517841799744,0.22786774160229598,0.50825,2
hamilton-academical,0.12600691670667238,0.06083687329763229,0.02919505142903661,0.1251423862143686,0.22542694882139203,0.5035,2
dunfermline-athletic,0.12553514552083633,0.06642293932078293,0.020237247929033336,0.12591177886284444,0.23104391823042644,0.498,2
edinburgh-city-fc,0.12458593393196057,0.06037346529852046,0.026793940332330058,0.1250914953746915,0.22120722671087129,0.49575,2
albion-rovers,0.12409098444598872,0.06424026211347461,0.022497984189051988,0.1238374512820716,0.2235609320670134,0.49375,2
falkirk-fc,0.12282813978406724,0.06047200477088154,0.022862832962626287,0.12478583877404598,0.21765476633008585,0.48725,2
arbroath,0.12250439480393747,0.06827695320408655,0.015250463359252956,0.12393982656695421,0.2268633091103715,0.49275,2
stirling-albion,0.12152665588643131,0.05869208917980475,0.025975396311461767,0.12191967657181105,0.2151612433409067,0.47075,2
kelty-hearts-fc,0.11796233899167735,0.06111624925423759,0.016332604195558872,0.1199120723343303,0.2133897478264428,0.44075,2
clyde-fc,0.11782355369492706,0.0611727927992983,0.015442907670036816,0.12001999657145941,0.21398463680356308,0.43625,2
stenhousemuir,0.11510031537503906,0.061528754889365316,0.013233699536610482,0.11780231534482692,0.2091187451797632,0.4265,2
alloa-athletic,0.11093419163456766,0.06319561940710383,0.002445535160898695,0.11547820130424291,0.20508598534953967,0.39225,2
the-spartans-fc,0.10897370376343031,0.06364669856396347,-0.0022672346400281337,0.11309179641817348,0.20496964998680184,0.389,2
east-fife,0.1088026717317826,0.06600835280831938,-0.0033607152084451507,0.11329112460911386,0.2068407095974996,0.39125,2
annan-athletic,0.14011293109105258,0.06480382447029072,0.043421694480537835,0.13574521095073783,0.25476979746813877,0.63725,3
elgin-city,0.1373426685882805,0.06531057330155858,0.03798410588845955,0.13364429099483618,0.24655129131259118,0.61725,3
dumbarton,0.1323919432239257,0.06275418792180294,0.03361884740997841,0.13042588487797152,0.23991998564375755,0.58125,3
peterhead,0.13164931598653618,0.06230724535880691,0.03397319425990746,0.1285649552709118,0.23726833888152743,0.57775,3
bonnyrigg-rose,0.12992794421366033,0.06253376311049008,0.031536174803751815,0.12678341406886362,0.236898364887093,0.55575,3
cove-rangers,0.1294210079350385,0.06157687036986048,0.03290502845347201,0.12661077604802964,0.23447140836662664,0.56475,3
queen-of-the-south,0.12787051681727557,0.06292827244941783,0.028184724889308833,0.12520160231948993,0.23610640077632988,0.539,3
stranraer,0.1277117630112805,0.06340309016316167,0.0278204892768582,0.12588335288733088,0.23027938745076174,0.548,3
airdrieonians,0.12757030906780203,0.07031046556061603,0.024802856019091317,0.12447441785515607,0.2409371913138239,0.54625,3
edinburgh-city-fc,0.12665138769040388,0.06288549194493785,0.028090518305209707,0.12479116605788819,0.23267349033694756,0.53425,3
montrose,0.1249138716896699,0.06147887539290246,0.02654939985864261,0.12426883220105778,0.22685863814293716,0.53375,3
inverness-caledonian-thistle,0.12380976533260123,0.06627353971839875,0.021599250176985694,0.12247009211228949,0.22936955397847383,0.517,3
hamilton-academical,0.1235780257339955,0.0628871015289362,0.023415618377058856,0.1236282483960886,0.22435071989703728,0.5185,3
albion-rovers,0.12183802338832718,0.06712188374786206,0.013505131228595429,0.12187297599790933,0.23329860681990078,0.4925,3
