fold,gamma_base_mean,gamma_base_sd,gamma_base_q05,gamma_base_q95,sigma_mean,sigma_sd,sigma_q05,sigma_q50,sigma_q95,p_sigma_below_0p02,prior_p_sigma_below_0p02
1,0.12352029028252938,0.04101685123832666,0.056359157330007625,0.18928307781748405,0.05668481481224498,0.03925086225988356,0.005689698170309976,0.05127595830317185,0.13043375429758935,0.203,0.15851941887820598
2,0.13307499922553018,0.04489917011737052,0.05905085546630772,0.20713298387067494,0.04529238161423499,0.03400451214382014,0.003686196398797921,0.03804915263991717,0.10954534414718255,0.2755,0.15851941887820598
3,0.12929893859424754,0.04518141372312227,0.05503504592383452,0.20189235419327395,0.05132941427881497,0.03694479016944465,0.004186561479318742,0.044513512238366665,0.12109690293863612,0.2295,0.15851941887820598
4,0.14328727664973864,0.043231005259469824,0.069395918594324,0.21340412603890918,0.047501362506366725,0.03465296341869277,0.004083426739465235,0.04071620737751963,0.1147743013868012,0.24825,0.15851941887820598
5,0.15297581629721702,0.042882219334300434,0.08200648622749122,0.22310082496557648,0.04863196282715758,0.03518172810814141,0.004252206740968788,0.04244573161467541,0.11486116609766452,0.24875,0.15851941887820598
6,0.1265849059749483,0.04465164015935157,0.05338240754045703,0.2003718317855827,0.056080143324710716,0.03900017114694428,0.0054361526323753314,0.049548261088519986,0.1290930178456779,0.206,0.15851941887820598
7,0.12978674487061653,0.042765061599841725,0.05985661530271438,0.20102634954251264,0.05507304710354211,0.0412022911729297,0.0037895076745377756,0.047640512792509526,0.1343086384531489,0.22925,0.15851941887820598
8,0.13042729132957467,0.043963401537524094,0.058329603196822136,0.20168582504708893,0.05027758511305928,0.03610355713389403,0.004283665262272164,0.043714116545103335,0.11707751746111913,0.2365,0.15851941887820598
9,0.12610244521661873,0.04371414845154812,0.05521642828885885,0.19818888353291933,0.04547167756374841,0.0340009723747248,0.003446244220323026,0.039337134677151143,0.11002051885025836,0.276,0.15851941887820598
10,0.1271585042026518,0.043810905896392735,0.05437304063692816,0.19885629923944628,0.044659898301775795,0.034202657696786765,0.003811488305261585,0.03753689931847486,0.11062578301021327,0.2795,0.15851941887820598
11,0.11023980733642992,0.043858845408497195,0.04031106443326421,0.18294362890648708,0.04894982283515765,0.03644833783390195,0.0042862398441094445,0.04236791786558888,0.11997462546004693,0.2515,0.15851941887820598
12,0.12981084990081507,0.04323478464267594,0.05615613984781862,0.20052534827158686,0.048011910080495594,0.03539498321523409,0.003959728522403487,0.041157497971315876,0.11641270435288234,0.2575,0.15851941887820598
13,0.14090351176670035,0.040989485573738174,0.07566593667369566,0.20809495659239235,0.04304893242753052,0.032479679388131184,0.003391654903255977,0.037029957776819576,0.10407416099247421,0.29175,0.15851941887820598
14,0.14143818942661188,0.04223893378136517,0.06990982281985207,0.21019783602064068,0.0528132492054704,0.03717332563983428,0.004135477814521801,0.04806755047272866,0.12123332516084029,0.227,0.15851941887820598
15,0.14724205851239444,0.04196599527343846,0.0790541160239293,0.2169518274625546,0.0513909745843053,0.03664179854909317,0.00402270420463481,0.045500450868600675,0.12018496630676195,0.2285,0.15851941887820598
16,0.14809951453214615,0.04022253824881778,0.08293309119049638,0.21615907048905825,0.0450068788078404,0.034321965753014896,0.003089184897164033,0.0384184887055761,0.10813046518249399,0.28525,0.15851941887820598
17,0.14083018527496866,0.040011617561155406,0.07493292466407146,0.20678026543899022,0.04101500345530214,0.030945315342468232,0.003484425152279329,0.034576691995576385,0.10072629998676233,0.3005,0.15851941887820598
18,0.13484040759614818,0.039742923207132165,0.06986275085413807,0.20056588884964527,0.043671657665369186,0.03204834922920338,0.00342624422045403,0.037979122582147806,0.10320253426831039,0.283,0.15851941887820598
19,0.11965733893103228,0.03918576512747137,0.05475734552086029,0.18418943382595834,0.044184916412499574,0.0320058816599259,0.004161957154157289,0.037887911040856245,0.106782050931476,0.2685,0.15851941887820598
20,0.13895496375824914,0.04039597806194964,0.07258682944495837,0.20504628161084273,0.053127164585527055,0.03578385210147207,0.005041449051546045,0.048046019857984776,0.11850807890603855,0.19825,0.15851941887820598
21,0.15406119141102076,0.03987686885330662,0.08830178970416644,0.21950159574674605,0.05165326434024257,0.03540343753293506,0.004935022582437376,0.04644701907173132,0.11639107336468724,0.21075,0.15851941887820598
22,0.14146642949898589,0.04453677526372584,0.06940319484541355,0.2168417898882236,0.04526603469500355,0.03323228281732262,0.0034781694353067097,0.03949283424229278,0.10853926417240023,0.2625,0.15851941887820598
23,0.15074935274691115,0.044809187721935095,0.0784031858435495,0.2259060107194422,0.05023761430165911,0.03606453268692729,0.003701838248326819,0.044543995478134785,0.1194213863193836,0.23675,0.15851941887820598
24,0.15071864971118631,0.04479599590834196,0.07750366804840639,0.2261351073059088,0.05908692140035895,0.04001137673995378,0.005702930812433353,0.05307491452106536,0.13162592940554252,0.19025,0.15851941887820598
25,0.1255214366951721,0.045001132245114886,0.050309771906934427,0.19934871271444127,0.059894945636740075,0.040994868611407,0.005397000815242919,0.05398402428261302,0.13658016455595756,0.18875,0.15851941887820598
26,0.13896805813199822,0.045567562669891246,0.06443735360454433,0.2149412000185265,0.07690507725958623,0.04426010134390109,0.009234326442075058,0.07480773012322418,0.15142047458152882,0.115,0.15851941887820598
27,0.1318094710621178,0.04661354944471512,0.05600793024509267,0.2097595366472023,0.08384974721491116,0.04630796179759692,0.0103662229699599,0.08358653971784231,0.1618799760978669,0.095,0.15851941887820598
28,0.13172672691765383,0.042788407451500844,0.062366455218683114,0.20380525619276263,0.0592944192855521,0.04077805699404183,0.004100380671408013,0.05414207221195303,0.13411046747215924,0.1955,0.15851941887820598
29,0.12663606261801827,0.041948307645201646,0.05603753276667737,0.19558531358979903,0.05796601877606774,0.039289970960669045,0.0054508247103543725,0.05208508855027731,0.12847319006869543,0.18775,0.15851941887820598
30,0.11602112864121765,0.04359678287728092,0.04596261535807237,0.18862596032959356,0.06374815101012671,0.03967836056804082,0.0070504408871679995,0.06015541755520447,0.13394669735498227,0.154,0.15851941887820598
31,0.11752424426629962,0.04106442306384737,0.05151822888757786,0.185914586084142,0.06389778681240194,0.04027333164910818,0.006404976882180896,0.06076371582571836,0.13561677416014717,0.16175,0.15851941887820598
32,0.10029918901057297,0.04076809330416682,0.03340516353456737,0.16785709619481562,0.059352049542867616,0.0384900215550503,0.005951323577394469,0.05477742857546977,0.12674579413234618,0.17725,0.15851941887820598
33,0.10458122006645783,0.04111609198253899,0.03589741689896721,0.17175498843006826,0.05840842049917645,0.03860987631548892,0.004806547523190854,0.054139157951064755,0.12794766383978645,0.18675,0.15851941887820598
34,0.09890590166667772,0.04256540442723981,0.02888313226158161,0.16807896016156734,0.06725387034130131,0.04172039922846056,0.0066510303018506795,0.06437809622355511,0.14156318965850676,0.151,0.15851941887820598
35,0.09255764245137522,0.0422275882769807,0.02332737714686903,0.16258765315574722,0.07567393420194864,0.041242448943083355,0.00949720712015746,0.07567830051976926,0.14510272877188468,0.10025,0.15851941887820598
36,0.0891183165605172,0.0426560209922062,0.01709556886538287,0.15851433948777138,0.07108429037153556,0.04075600339618329,0.007644805672589643,0.0697902792787797,0.14056270127936904,0.12675,0.15851941887820598
37,0.09246340933813997,0.03978322153553796,0.027730540467106348,0.15753964112567254,0.07149063138612186,0.04103242088311933,0.008424006086281223,0.06975353364067563,0.14224552129221232,0.1155,0.15851941887820598
38,0.10661196600586219,0.038294777123882094,0.04305932300613944,0.16960552317326452,0.06025908935883489,0.038731833972074525,0.005649858400565601,0.0565619090992545,0.12852567383670935,0.17575,0.15851941887820598
39,0.11502310368006026,0.03778326187022609,0.05233847191369302,0.17805038578992236,0.054973860802241106,0.035556625024643844,0.005557804925785576,0.05145671056150561,0.11869128492526174,0.19025,0.15851941887820598
40,0.119912181042309,0.03651454004106055,0.05903386938677761,0.18052841179711615,0.04200432482598389,0.029501103155106782,0.0044436945323427035,0.03693566795148545,0.09709806098524254,0.2755,0.15851941887820598
