fold,gamma_base_mean,gamma_base_sd,gamma_base_q05,gamma_base_q95,sigma_mean,sigma_sd,sigma_q05,sigma_q50,sigma_q95,p_sigma_below_0p02,prior_p_sigma_below_0p02
1,0.12031825775199018,0.03913667006741859,0.05821731379410014,0.18693804967632263,0.11760647904503807,0.039040699714634995,0.054273940400714614,0.117018060809956,0.1828039181689642,0.006,0.15851941887820598
2,0.12464300454126001,0.035510153129463796,0.06889334932722743,0.18266799866220712,0.10045327763491718,0.04093242751933024,0.027501286328227105,0.10122234003966857,0.16570125195001437,0.0365,0.15851941887820598
3,0.12388706675400087,0.03651813668166203,0.06454140422767027,0.1843425154684996,0.11018642634951174,0.03891513108023947,0.04385281609599936,0.11001455774734423,0.17356141231117284,0.01775,0.15851941887820598
4,0.1263731531592007,0.03470262765376095,0.06837464053864116,0.18339082289207434,0.10374564828174888,0.03889179988990538,0.03627360272558405,0.10414000170845039,0.16579929646651262,0.02075,0.15851941887820598
5,0.13190180220252468,0.03433370518132812,0.07449966985594655,0.18880643023866867,0.10725465060424637,0.03818608867688854,0.04041137043505705,0.10804041551219075,0.1695292187374355,0.0195,0.15851941887820598
6,0.12197806744517277,0.036031569938292075,0.06284721687103641,0.18176862409453368,0.11630143387149405,0.03663893196553407,0.05572103561893305,0.11654338004013784,0.17631317389873694,0.0085,0.15851941887820598
7,0.12246177114014706,0.0364548820237046,0.06431489158573306,0.18050715626840313,0.11795576335295933,0.037490075284154455,0.05755212224659977,0.11730065064512141,0.1802320486934714,0.003,0.15851941887820598
8,0.12155198140605719,0.03516338891578112,0.0643125381833848,0.17913588624738447,0.1117870010928757,0.038430015922420215,0.04547700223494108,0.11232460788900006,0.17383459326002443,0.01625,0.15851941887820598
9,0.11921869441098291,0.03391654801903773,0.06313485135146449,0.17431888488631667,0.10951428893060079,0.0380264232600139,0.0452294524676479,0.10927650447756931,0.17208080667577044,0.01375,0.15851941887820598
10,0.1195163395249904,0.033943522332245075,0.06403936331008833,0.17510052948590293,0.11057088916955062,0.03829296307553118,0.04591461523876842,0.11190446673151397,0.17185484066907705,0.01625,0.15851941887820598
11,0.11251025941201086,0.03403388219943371,0.0574361408389539,0.1683013154048572,0.10598518196787113,0.038865851287552156,0.04007040216061807,0.105755980695832,0.17182932156737954,0.017,0.15851941887820598
