fold,gamma_base_mean,gamma_base_sd,gamma_base_q05,gamma_base_q95,sigma_mean,sigma_sd,sigma_q05,sigma_q50,sigma_q95,p_sigma_below_0p02,prior_p_sigma_below_0p02
1,0.11478791275687286,0.039051736441419904,0.050459853640228446,0.17806294504063422,0.049400399990341355,0.03592939804726836,0.004176481731715386,0.04342488332509855,0.11569818646108093,0.25575,0.15851941887820598
2,0.12539631727728054,0.04462095930613756,0.053275619946361555,0.19789440341279438,0.03878706109152784,0.029469099256456518,0.0031383586778070986,0.03241539964711934,0.09546481623061753,0.327,0.15851941887820598
3,0.12092463842516261,0.043638426790701366,0.04829408186533302,0.1917131162982397,0.0427247937933992,0.03195001034158034,0.0034560598793207165,0.03648833764590747,0.10307160346861671,0.2935,0.15851941887820598
4,0.13236873336885743,0.04224475103316854,0.06340423593002247,0.20218920371297072,0.03897112938037621,0.030285207946770143,0.002971872982826811,0.032469897338625854,0.09773534304804321,0.32525,0.15851941887820598
5,0.14506005195526608,0.042037630007978805,0.07488547495557367,0.21322873142899823,0.04289642811332321,0.031519403761771425,0.0037000826011608897,0.036551745338327266,0.10176174968553711,0.279,0.15851941887820598
6,0.12148484045410177,0.0430027680912016,0.05257117393672873,0.1931837916683354,0.046375646433578596,0.034214707259704547,0.003950764077937457,0.03985855495677547,0.11158035456334782,0.2615,0.15851941887820598
7,0.12454518889995103,0.044249174102566305,0.051505844353785246,0.19755285625469274,0.04892003804962718,0.03538170340739097,0.004340448760807773,0.042925140872337245,0.11690076638689842,0.24075,0.15851941887820598
8,0.12447011988568944,0.04324192648031799,0.05356740065898686,0.19559501926493128,0.042160765496290414,0.031583995474123376,0.0031224874002903384,0.036187423795755694,0.10022359118723133,0.29675,0.15851941887820598
9,0.1185236885023617,0.04415162511049201,0.04694826623646303,0.19110904824268962,0.040029454298188286,0.03046840644426136,0.003248723448142798,0.033336313472444354,0.09801374292035782,0.31175,0.15851941887820598
10,0.12143741606574995,0.04379071585961168,0.05046428604963611,0.1942904857710512,0.04051492174079358,0.030208574558207076,0.0034685855940478805,0.0343611832827818,0.09788090190931514,0.30875,0.15851941887820598
11,0.10720816095193865,0.04218120341325969,0.037142940783679634,0.17626456542103627,0.03987819884383823,0.029698909039777437,0.0032816632503139633,0.03454835067325668,0.09565965933560566,0.31025,0.15851941887820598
12,0.12420228283273904,0.04092599810518404,0.05629530481361255,0.19026943999752471,0.038369473508799816,0.028393410238737406,0.0032409209245660973,0.032823232515627215,0.09336210364905807,0.3195,0.15851941887820598
13,0.13603140475040432,0.041039042478996736,0.069862530060666,0.2024321452550907,0.03512325031453578,0.027393276054987013,0.0025620458353733454,0.029198580659478175,0.0883604903380723,0.3595,0.15851941887820598
14,0.13629135593219555,0.04162090329598831,0.0700760181307994,0.2034079812833182,0.04035611279358218,0.030158097863744227,0.003231936326118711,0.03483572839086435,0.09731487303075305,0.30825,0.15851941887820598
15,0.1422795845252466,0.04000120274354388,0.07711004422366603,0.20952683601060362,0.042280523824683724,0.031179686974357225,0.003161946045461367,0.036984123808849974,0.10104233336560482,0.293,0.15851941887820598
16,0.1445891861032336,0.03906653460274084,0.08107426764849632,0.20887093049844707,0.03722955340030309,0.028742208291269333,0.0026461139770238024,0.031058098734952064,0.0947550337027957,0.34025,0.15851941887820598
17,0.13787718049800063,0.04046850715484027,0.07091762473852938,0.20336341056992693,0.035458880929216965,0.026776577895657662,0.003170491568272715,0.02983201675029646,0.08787219788476806,0.35125,0.15851941887820598
18,0.13447315727843692,0.039364181802181375,0.06892118663434237,0.2003457470559385,0.03808872246960195,0.028838262422842303,0.0029129766183818556,0.03255036227784557,0.09421981199551722,0.32875,0.15851941887820598
19,0.11838707051802971,0.03776448128604732,0.05709978062222522,0.18150744235719568,0.04233341832426579,0.030041742062781023,0.0034444994374752055,0.037682785914185946,0.09736748219844542,0.282,0.15851941887820598
20,0.13819708795205773,0.03840840119525477,0.07539236911917087,0.20211691962600012,0.052458416015482685,0.03505662831942075,0.004563970831005098,0.04857466019997423,0.11523894072978086,0.20675,0.15851941887820598
