site,max_rhat,min_ess_bulk,min_ess_tail,worst_rhat_fold
ha.γ_base,1.0041138881298661,2293.2931165708733,2244.659110546098,11
ha.γ_team_raw[10],1.0036584104421926,4374.411591110658,2333.9653128967657,4
ha.γ_team_raw[11],1.0047861401606646,3815.0318802725983,2228.832379984647,28
ha.γ_team_raw[12],1.0036912215131113,3598.210062321331,2371.7348641720027,21
ha.γ_team_raw[13],1.0039277772305197,3738.461960859117,2428.6988248270454,17
ha.γ_team_raw[14],1.0047440710405267,4015.7015862898656,2471.753563404528,34
ha.γ_team_raw[15],1.0034738459628267,2783.7076622032596,2344.4507476617196,12
ha.γ_team_raw[16],1.004170070165559,2610.682237068274,2056.5830439729066,21
ha.γ_team_raw[17],1.0038947262825109,4113.004528521525,2305.4721565776795,23
ha.γ_team_raw[18],1.0034768251822974,3021.136668032407,2407.5874099013645,34
ha.γ_team_raw[19],1.0030435900293524,3438.483747247576,2188.439828534677,33
ha.γ_team_raw[1],1.0039709333359441,4120.444621404273,2500.3788366042113,27
ha.γ_team_raw[20],1.0058944003465426,3770.483791092099,2365.621555638114,21
ha.γ_team_raw[21],1.0038665416760224,3992.8582740848537,2505.125237593769,36
ha.γ_team_raw[22],1.005349011612159,3492.926185737958,2271.5675289864953,4
ha.γ_team_raw[23],1.0035190148831992,3612.8068901640618,2133.4929704919723,2
ha.γ_team_raw[24],1.001839081234925,4045.625823483145,2613.7142140798383,5
ha.γ_team_raw[25],1.0040616710238077,4084.435340130644,2685.600191099154,10
ha.γ_team_raw[2],1.0046907364356914,3687.2614311161683,2328.301370729403,24
ha.γ_team_raw[3],1.0035423731844213,3393.2085984218807,2127.8899717016798,22
ha.γ_team_raw[4],1.0034108319760016,3842.8666161894257,2429.6292293547704,38
ha.γ_team_raw[5],1.0059354404843392,4143.803788837517,2583.4403761101225,20
ha.γ_team_raw[6],1.0031715660310134,3843.600805675135,2357.6087185160145,18
ha.γ_team_raw[7],1.0026666024801987,4171.113293944669,2393.006481762812,13
ha.γ_team_raw[8],1.0032739481437583,3471.493821683581,2522.011326196569,19
ha.γ_team_raw[9],1.0036423144475168,3777.1772329217447,2555.9236763288013,12
ha.σ_γ,1.0070222533514361,969.3025649509998,675.5733217986392,7
