team,mean,sd,q05,q50,q95,p_above_base,model,fold
annan-athletic,0.15957742392163562,0.075601558034234,0.05507303892823886,0.14840576212746043,0.30128000000454813,0.70225,m05_joint_production_wealth_hier_ha,1
stranraer,0.15245355452374867,0.07641627270525059,0.04662608736215932,0.14240228985075482,0.29325742847736347,0.6535,m05_joint_production_wealth_hier_ha,1
forfar-athletic,0.14161763034935665,0.07199151853562437,0.03434638369015391,0.13558862121876653,0.26920543456802626,0.603,m05_joint_production_wealth_hier_ha,1
stirling-albion,0.1415867056242276,0.07229976744919595,0.035686291538099976,0.134796737555543,0.27038214440862113,0.60125,m05_joint_production_wealth_hier_ha,1
elgin-city,0.13898739076592687,0.07116630094384356,0.030035473447515306,0.1339273470572999,0.26309486680918726,0.58925,m05_joint_production_wealth_hier_ha,1
falkirk-fc,0.13703700802969576,0.06847584775736741,0.03262107190110244,0.13351099697076707,0.2583207843379173,0.5785,m05_joint_production_wealth_hier_ha,1
queen-of-the-south,0.13664876532033668,0.06969464734561641,0.02997542395086735,0.13303077814311332,0.2571822670832715,0.5795,m05_joint_production_wealth_hier_ha,1
airdrieonians,0.13528946267287772,0.07763553912282688,0.018375480968421107,0.12981713761044425,0.27070090483414433,0.5695,m05_joint_production_wealth_hier_ha,1
bonnyrigg-rose,0.13114990025435447,0.06997727322970533,0.024776828483319104,0.12873781768782788,0.25126523765719855,0.53625,m05_joint_production_wealth_hier_ha,1
peterhead,0.12803558206395257,0.06886531211380183,0.02050842869841007,0.12670268534896406,0.24595073484063878,0.53025,m05_joint_production_wealth_hier_ha,1
dumbarton,0.12753122593152666,0.06922900896341468,0.023905363771022148,0.12545178392237152,0.24286643736891386,0.52825,m05_joint_production_wealth_hier_ha,1
cove-rangers,0.123255566223075,0.07052878079271717,0.008246394357219576,0.12341658919562848,0.23371490834201278,0.50175,m05_joint_production_wealth_hier_ha,1
dunfermline-athletic,0.12297879522353372,0.07938757841123936,-0.002979864046732773,0.12294237372910588,0.25144256663583253,0.50275,m05_joint_production_wealth_hier_ha,1
montrose,0.12140397353791799,0.06936011169495113,0.0072100879253495335,0.12053187805573051,0.2320182782274392,0.48975,m05_joint_production_wealth_hier_ha,1
albion-rovers,0.11920529668471092,0.0773574961462034,-0.009841131888982568,0.12099603509026546,0.2406391679442101,0.4805,m05_joint_production_wealth_hier_ha,1
hamilton-academical,0.11877426775329727,0.06785031795506812,0.008281883922853756,0.1202355054322136,0.2272734469838028,0.469,m05_joint_production_wealth_hier_ha,1
stenhousemuir,0.11846403948420338,0.06883551662182884,0.008027410154681955,0.1195933757878862,0.2278721283573569,0.469,m05_joint_production_wealth_hier_ha,1
edinburgh-city-fc,0.11664712082259411,0.06767950416921627,0.005450241537235388,0.11911506029267711,0.22063937836075265,0.461,m05_joint_production_wealth_hier_ha,1
clyde-fc,0.10097839757043141,0.07224505238112687,-0.026623315289407288,0.10716888663689966,0.20655158407027935,0.37675,m05_joint_production_wealth_hier_ha,1
east-fife,0.09715036739987785,0.07494191578219478,-0.041402410398301476,0.10474754949407797,0.20455384436392823,0.35625,m05_joint_production_wealth_hier_ha,1
alloa-athletic,0.08915988179925663,0.077622946048042,-0.056567888915025816,0.09908607300416031,0.196666730749223,0.326,m05_joint_production_wealth_hier_ha,1
the-spartans-fc,0.07864765789614757,0.08432603739870999,-0.08150406331631935,0.0915722984672501,0.1893255692541803,0.28625,m05_joint_production_wealth_hier_ha,1
kelty-hearts-fc,0.07495353602457398,0.08362859545068628,-0.0785875608146622,0.08915913712137216,0.1875183393603634,0.2705,m05_joint_production_wealth_hier_ha,1
stranraer,0.1501348951057445,0.06899654765620934,0.048263338464883385,0.14455386179635454,0.2688793522998391,0.5995,m05_joint_production_wealth_hier_ha,2
annan-athletic,0.14975908747248023,0.06950964410436819,0.04712612653713883,0.1455594247875735,0.270922899870902,0.5995,m05_joint_production_wealth_hier_ha,2
falkirk-fc,0.1494325869668193,0.06916146525224925,0.0458051375072283,0.14358664708011531,0.2650021576083904,0.59425,m05_joint_production_wealth_hier_ha,2
