site,max_rhat,min_ess_bulk,min_ess_tail,worst_rhat_fold,model
ha.γ_base,1.0020102383229914,3644.4404614772943,2695.730864326763,2,m05_joint_production_wealth_hier_ha
ha.γ_team_raw[10],1.0024047255529256,5797.94380148397,2764.8764563681984,2,m05_joint_production_wealth_hier_ha
ha.γ_team_raw[11],1.000825421203581,4509.3926005858975,2914.693516751922,1,m05_joint_production_wealth_hier_ha
ha.γ_team_raw[12],1.0016823708692546,4608.468483787299,2677.2889237442228,1,m05_joint_production_wealth_hier_ha
ha.γ_team_raw[13],1.0018218363619706,4532.254229612171,2441.4493998893245,2,m05_joint_production_wealth_hier_ha
ha.γ_team_raw[14],1.0007281419458716,3991.9800289186387,2680.5434889453986,1,m05_joint_production_wealth_hier_ha
ha.γ_team_raw[15],1.0008118317304933,4516.920954671684,2767.6786115547393,2,m05_joint_production_wealth_hier_ha
ha.γ_team_raw[16],1.0021239411098337,3616.2760254457144,2599.780683320362,2,m05_joint_production_wealth_hier_ha
ha.γ_team_raw[17],1.0008461578804488,4916.940849178441,3015.7194764287383,2,m05_joint_production_wealth_hier_ha
ha.γ_team_raw[18],1.0004857258786437,4782.444831966269,2822.784189837265,2,m05_joint_production_wealth_hier_ha
ha.γ_team_raw[19],1.0010021304390315,4550.568317563012,2985.08373341492,2,m05_joint_production_wealth_hier_ha
ha.γ_team_raw[1],1.0020554939091988,4768.312967954071,2696.988482119712,2,m05_joint_production_wealth_hier_ha
ha.γ_team_raw[20],1.0013464816536033,5129.593024255104,2800.278447190357,1,m05_joint_production_wealth_hier_ha
ha.γ_team_raw[21],1.0006279178483315,4609.3865529941895,3177.269581814627,2,m05_joint_production_wealth_hier_ha
ha.γ_team_raw[22],1.0019571149480373,4352.73858501587,2882.0747057196804,1,m05_joint_production_wealth_hier_ha
ha.γ_team_raw[23],1.0002336784952257,4167.967818378671,2824.7873256446433,1,m05_joint_production_wealth_hier_ha
ha.γ_team_raw[24],1.0003330905222074,5984.799114939676,3012.4340902026333,2,m05_joint_production_wealth_hier_ha
ha.γ_team_raw[25],1.00141849485415,4187.200968212205,2905.5434066468765,2,m05_joint_production_wealth_hier_ha
ha.γ_team_raw[2],1.0011303462513046,4474.243503321771,2757.1629981864985,2,m05_joint_production_wealth_hier_ha
ha.γ_team_raw[3],1.0013863788724795,4154.44593124065,2852.483639505567,2,m05_joint_production_wealth_hier_ha
ha.γ_team_raw[4],1.0007514216030418,4406.153959744886,2616.382841889968,1,m05_joint_production_wealth_hier_ha
ha.γ_team_raw[5],1.0004769727645353,4659.1105126535585,2640.3569486118095,1,m05_joint_production_wealth_hier_ha
ha.γ_team_raw[6],1.000377208531655,4619.042785336326,2824.8245731599636,1,m05_joint_production_wealth_hier_ha
ha.γ_team_raw[7],1.0022612453367634,5239.475883741976,2443.106895863651,2,m05_joint_production_wealth_hier_ha
ha.γ_team_raw[8],1.004443192021906,5266.62574857856,2558.468088374942,2,m05_joint_production_wealth_hier_ha
ha.γ_team_raw[9],1.001380906542816,4868.272261218086,2813.4231186011534,1,m05_joint_production_wealth_hier_ha
ha.σ_γ,1.0041296348038893,1166.0704030399631,1818.3049450114663,1,m05_joint_production_wealth_hier_ha
ha.γ_base,1.0008978902263808,3698.2402886188115,3013.5175749314517,1,m12_joint_hybrid_synergy_hier_ha
ha.γ_team_raw[10],1.0000795168390224,4774.627063136234,2709.878391523762,1,m12_joint_hybrid_synergy_hier_ha
ha.γ_team_raw[11],1.002190706649653,5911.511203228004,2845.0552612431234,2,m12_joint_hybrid_synergy_hier_ha
ha.γ_team_raw[12],1.001292997212092,4729.987021608715,2579.41029462043,2,m12_joint_hybrid_synergy_hier_ha
ha.γ_team_raw[13],1.0020684585634057,5631.950563562597,2716.115491924981,1,m12_joint_hybrid_synergy_hier_ha
ha.γ_team_raw[14],1.0013249572633305,5425.2878829015335,2760.427441102974,1,m12_joint_hybrid_synergy_hier_ha
ha.γ_team_raw[15],1.0033793112876612,4943.57868998885,2617.3886691164867,2,m12_joint_hybrid_synergy_hier_ha
ha.γ_team_raw[16],1.002992777504372,5452.058123862955,2713.7696935508475,2,m12_joint_hybrid_synergy_hier_ha
ha.γ_team_raw[17],1.0014293429055674,5091.835859594616,2586.6540470074165,1,m12_joint_hybrid_synergy_hier_ha
ha.γ_team_raw[18],1.0014268674657054,5186.0054087945455,2691.0091661857764,2,m12_joint_hybrid_synergy_hier_ha
ha.γ_team_raw[19],1.0050177306853292,5511.335654857103,2527.3922234225997,2,m12_joint_hybrid_synergy_hier_ha
ha.γ_team_raw[1],1.0016191527573293,5591.782514162301,2707.213557082949,2,m12_joint_hybrid_synergy_hier_ha
ha.γ_team_raw[20],1.0016965233061106,4916.98719644136,2774.7864093952503,1,m12_joint_hybrid_synergy_hier_ha
ha.γ_team_raw[21],1.0034014620377263,5745.497031943029,2650.239509542389,1,m12_joint_hybrid_synergy_hier_ha
