target,component,log_rate,share_of_total,lo,hi
delta_mkt,intercept (home adv. / league mean),0.10994606131578616,0.1162078890668308,0.06842447276535056,0.1555954272665354
delta_mkt,goal history,0.2598237781000608,0.27462168649820934,0.22230948268578601,0.2968708310121872
delta_mkt,wealth,0.021997830199387156,0.023250686572383144,0.009005775876269918,0.04298956461522247
delta_mkt,lineup (RAPM),0.032179796186325896,0.03401255252494304,0.023075406525377165,0.04289849888799846
delta_mkt,proxy xG,0.2556485321883504,0.27020864515840903,0.21360928140221813,0.2926153876844242
delta_mkt,rest & schedule,-0.0014922825956952966,-0.0015772735126803699,-0.004086059159882056,0.002996464240859628
delta_mkt,unexplained residual,0.26801158020810434,0.28327581369190513,0.22047245051401082,0.3131599727797291
delta_mkt,TOTAL,0.9461152956023193,1.0,0.8998765462346905,1.0016444823508466
gap,intercept (home adv. / league mean),0.025042010211742002,0.048028380259815706,0.0099160733182049,0.043992939761356764
gap,goal history,0.04652767871200708,0.08923600888633929,0.01784635019620983,0.07585120602947705
gap,wealth,0.008512695339916124,0.01632660339024004,0.002036303446501788,0.02357646429069338
gap,lineup (RAPM),0.014830628998060124,0.02844384628024365,0.009656236785193882,0.021234427753315115
gap,proxy xG,0.1598466007028205,0.3065717670777972,0.12965961939185783,0.18936131399651535
gap,rest & schedule,-0.0013709288238287522,-0.002629321300616502,-0.004021412668184192,0.0026050843771999806
gap,unexplained residual,0.2680115802081042,0.5140227154061806,0.22047245051401054,0.3131599727797291
gap,TOTAL,0.5214002653488213,1.0,0.46764435853138697,0.5783811186842831
