target,feature,group,coef_per_sd,se,t
delta_mkt,delta_goal,goal history,0.010280650487337622,0.0285094774333061,0.3606046624806699
delta_mkt,goal_form_sup,goal history,0.10069466511818947,0.034549024401899095,2.9145443861695406
delta_mkt,delta_ppg,goal history,0.0848132034720927,0.01656371523885053,5.120421490533816
delta_mkt,delta_prod_wealth,wealth,0.057293297610155856,0.022348064069337453,2.563680569037066
delta_mkt,delta_wealth_logsum,wealth,-0.02904002723287702,0.02001165121133384,-1.4511559753964653
delta_mkt,delta_lineup,lineup (RAPM),-0.044741709279431385,0.011888739750483822,-3.763368550279737
delta_mkt,pxg_form_sup,proxy xG,0.20753378725117538,0.016743142259492323,12.395151640876527
delta_mkt,delta_rest,rest & schedule,0.0017482810823621832,0.008179197257559162,0.21374726972704233
delta_mkt,log_dist_z,rest & schedule,0.018785685378510004,0.011557237696526803,1.6254476953567811
gap,delta_goal,goal history,-0.24491571399332812,0.02850947743330607,-8.59067706752164
gap,goal_form_sup,goal history,0.10069466511818945,0.03454902440189904,2.9145443861695446
gap,delta_ppg,goal history,0.0848132034720927,0.016563715238850526,5.120421490533817
gap,delta_prod_wealth,wealth,0.057293297610155856,0.02234806406933746,2.5636805690370656
gap,delta_wealth_logsum,wealth,-0.029040027232877,0.02001165121133384,-1.4511559753964645
gap,delta_lineup,lineup (RAPM),-0.04474170927943138,0.011888739750483823,-3.7633685502797363
gap,pxg_form_sup,proxy xG,0.20753378725117538,0.016743142259492316,12.395151640876533
gap,delta_rest,rest & schedule,0.00174828108236218,0.008179197257559162,0.21374726972704194
gap,log_dist_z,rest & schedule,0.018785685378510004,0.011557237696526801,1.6254476953567814
